Accuracy_LR,Accuracy_SVM,Accuracy_RF,Accuracy_Voting,Accuracy_Stacking,Balanced_Accuracy_LR,Balanced_Accuracy_SVM,Balanced_Accuracy_RF,Balanced_Accuracy_Voting,Balanced_Accuracy_Stacking,Precision_LR,Precision_SVM,Precision_RF,Precision_Voting,Precision_Stacking,Recall_LR,Recall_SVM,Recall_RF,Recall_Voting,Recall_Stacking,F1_LR,F1_SVM,F1_RF,F1_Voting,F1_Stacking,ROC_AUC_LR,ROC_AUC_SVM,ROC_AUC_RF,ROC_AUC_Voting,ROC_AUC_Stacking,MCC_LR,MCC_SVM,MCC_RF,MCC_Voting,MCC_Stacking
[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         0.83333333 1.         0.83333333 1.         1.
 1.         1.         1.         1.        ]","[0.83333333 0.83333333 0.83333333 0.83333333 1.         0.83333333
 0.83333333 0.83333333 1.         0.66666667]","[1.         1.         1.         0.83333333 1.         1.
 1.         1.         1.         1.        ]","[1.         1.         1.         0.83333333 1.         1.
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1.   0.75 1.   0.75 1.   1.   1.   1.   1.   1.  ],"[0.83333333 0.75       0.75       0.75       1.         0.75
 0.75       0.75       1.         0.5       ]",[1.   1.   1.   0.75 1.   1.   1.   1.   1.   1.  ],[1.   1.   1.   0.75 1.   1.   1.   1.   1.   1.  ],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 0.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1.  0.5 1.  0.5 1.  1.  1.  1.  1.  1. ],"[0.66666667 0.5        0.5        0.5        1.         0.5
 0.5        0.5        1.         0.        ]",[1.  1.  1.  0.5 1.  1.  1.  1.  1.  1. ],[1.  1.  1.  0.5 1.  1.  1.  1.  1.  1. ],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         0.66666667 1.         0.66666667 1.         1.
 1.         1.         1.         1.        ]","[0.8        0.66666667 0.66666667 0.66666667 1.         0.66666667
 0.66666667 0.66666667 1.         0.        ]","[1.         1.         1.         0.66666667 1.         1.
 1.         1.         1.         1.        ]","[1.         1.         1.         0.66666667 1.         1.
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1.    1.    1.    0.625 1.    1.    1.    1.    1.    1.   ],[1.     0.9375 0.875  0.875  1.     1.     0.875  1.     1.     0.875 ],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         0.63245553 1.         0.63245553 1.         1.
 1.         1.         1.         1.        ]","[0.70710678 0.63245553 0.63245553 0.63245553 1.         0.63245553
 0.63245553 0.63245553 1.         0.        ]","[1.         1.         1.         0.63245553 1.         1.
 1.         1.         1.         1.        ]","[1.         1.         1.         0.63245553 1.         1.
 1.         1.         1.         1.        ]"
[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         0.83333333 1.         1.         1.
 1.         0.83333333 1.         0.83333333]","[0.66666667 1.         1.         0.83333333 0.83333333 0.83333333
 0.83333333 0.83333333 1.         0.83333333]","[1.         1.         1.         1.         1.         1.
 1.         1.         1.         0.83333333]","[1.         1.         1.         1.         1.         1.
 1.         1.         1.         0.83333333]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1.   1.   0.75 1.   1.   1.   1.   0.75 1.   0.75],"[0.66666667 1.         1.         0.75       0.875      0.75
 0.75       0.75       1.         0.75      ]",[1.   1.   1.   1.   1.   1.   1.   1.   1.   0.75],[1.   1.   1.   1.   1.   1.   1.   1.   1.   0.75],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         1.         1.         0.66666667 1.
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1.  1.  0.5 1.  1.  1.  1.  0.5 1.  0.5],"[0.33333333 1.         1.         0.5        1.         0.5
 0.5        0.5        1.         0.5       ]",[1.  1.  1.  1.  1.  1.  1.  1.  1.  0.5],[1.  1.  1.  1.  1.  1.  1.  1.  1.  0.5],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         0.66666667 1.         1.         1.
 1.         0.66666667 1.         0.66666667]","[0.5        1.         1.         0.66666667 0.8        0.66666667
 0.66666667 0.66666667 1.         0.66666667]","[1.         1.         1.         1.         1.         1.
 1.         1.         1.         0.66666667]","[1.         1.         1.         1.         1.         1.
 1.         1.         1.         0.66666667]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1.    1.    1.    1.    1.    1.    1.    1.    1.    0.875],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         0.63245553 1.         1.         1.
 1.         0.63245553 1.         0.63245553]","[0.4472136  1.         1.         0.63245553 0.70710678 0.63245553
 0.63245553 0.63245553 1.         0.63245553]","[1.         1.         1.         1.         1.         1.
 1.         1.         1.         0.63245553]","[1.         1.         1.         1.         1.         1.
 1.         1.         1.         0.63245553]"
"[1.         1.         1.         1.         0.83333333 1.
 1.         1.         1.         1.        ]","[1.         1.         1.         0.83333333 0.83333333 1.
 1.         1.         1.         1.        ]","[0.66666667 0.83333333 1.         0.66666667 0.66666667 1.
 1.         1.         0.66666667 0.83333333]","[1.         1.         1.         1.         0.83333333 1.
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         0.83333333 1.
 1.         1.         1.         1.        ]",[1.   1.   1.   1.   0.75 1.   1.   1.   1.   1.  ],[1.   1.   1.   0.75 0.75 1.   1.   1.   1.   1.  ],"[0.66666667 0.75       1.         0.5        0.5        1.
 1.         1.         0.5        0.75      ]",[1.   1.   1.   1.   0.75 1.   1.   1.   1.   1.  ],[1.   1.   1.   1.   0.75 1.   1.   1.   1.   1.  ],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 0. 0. 1. 1. 1. 0. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1.  1.  1.  1.  0.5 1.  1.  1.  1.  1. ],[1.  1.  1.  0.5 0.5 1.  1.  1.  1.  1. ],"[0.33333333 0.5        1.         0.         0.         1.
 1.         1.         0.         0.5       ]",[1.  1.  1.  1.  0.5 1.  1.  1.  1.  1. ],[1.  1.  1.  1.  0.5 1.  1.  1.  1.  1. ],"[1.         1.         1.         1.         0.66666667 1.
 1.         1.         1.         1.        ]","[1.         1.         1.         0.66666667 0.66666667 1.
 1.         1.         1.         1.        ]","[0.5        0.66666667 1.         0.         0.         1.
 1.         1.         0.         0.66666667]","[1.         1.         1.         1.         0.66666667 1.
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         0.66666667 1.
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1.   1.   1.   1.   0.75 1.   1.   1.   1.   1.  ],[1.     0.75   1.     1.     0.8125 1.     1.     1.     1.     1.    ],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         1.         1.         0.63245553 1.
 1.         1.         1.         1.        ]","[1.         1.         1.         0.63245553 0.63245553 1.
 1.         1.         1.         1.        ]","[0.4472136  0.63245553 1.         0.         0.         1.
 1.         1.         0.         0.63245553]","[1.         1.         1.         1.         0.63245553 1.
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         0.63245553 1.
 1.         1.         1.         1.        ]"
[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.83333333 1.         1.         1.         0.83333333 1.
 1.         1.         1.         1.        ]","[0.83333333 1.         0.83333333 0.83333333 0.66666667 1.
 1.         0.83333333 1.         0.83333333]","[1.         1.         1.         1.         0.83333333 1.
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         0.83333333 1.
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.83333333 1.         1.         1.         0.75       1.
 1.         1.         1.         1.        ]","[0.83333333 1.         0.75       0.75       0.5        1.
 1.         0.75       1.         0.75      ]",[1.   1.   1.   1.   0.75 1.   1.   1.   1.   1.  ],[1.   1.   1.   1.   0.75 1.   1.   1.   1.   1.  ],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 0. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.66666667 1.         1.         1.         0.5        1.
 1.         1.         1.         1.        ]","[0.66666667 1.         0.5        0.5        0.         1.
 1.         0.5        1.         0.5       ]",[1.  1.  1.  1.  0.5 1.  1.  1.  1.  1. ],[1.  1.  1.  1.  0.5 1.  1.  1.  1.  1. ],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.8        1.         1.         1.         0.66666667 1.
 1.         1.         1.         1.        ]","[0.8        1.         0.66666667 0.66666667 0.         1.
 1.         0.66666667 1.         0.66666667]","[1.         1.         1.         1.         0.66666667 1.
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         0.66666667 1.
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1.    1.    1.    1.    0.875 1.    1.    1.    1.    1.   ],[1.    1.    1.    1.    0.875 1.    1.    1.    1.    1.   ],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.70710678 1.         1.         1.         0.63245553 1.
 1.         1.         1.         1.        ]","[0.70710678 1.         0.63245553 0.63245553 0.         1.
 1.         0.63245553 1.         0.63245553]","[1.         1.         1.         1.         0.63245553 1.
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         0.63245553 1.
 1.         1.         1.         1.        ]"
[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         1.         1.         1.         0.83333333
 0.83333333 1.         1.         0.83333333]","[0.66666667 0.83333333 1.         0.83333333 0.83333333 0.66666667
 0.83333333 0.66666667 1.         0.83333333]","[1.         1.         1.         1.         1.         0.83333333
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         1.         0.83333333
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1.   1.   1.   1.   1.   0.75 0.75 1.   1.   0.75],"[0.66666667 0.875      1.         0.75       0.75       0.5
 0.75       0.5        1.         0.75      ]",[1.   1.   1.   1.   1.   0.75 1.   1.   1.   1.  ],[1.   1.   1.   1.   1.   0.75 1.   1.   1.   1.  ],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         0.66666667 1.         1.         1.         0.
 1.         0.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1.  1.  1.  1.  1.  0.5 0.5 1.  1.  0.5],"[0.33333333 1.         1.         0.5        0.5        0.
 0.5        0.         1.         0.5       ]",[1.  1.  1.  1.  1.  0.5 1.  1.  1.  1. ],[1.  1.  1.  1.  1.  0.5 1.  1.  1.  1. ],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         1.         1.         1.         0.66666667
 0.66666667 1.         1.         0.66666667]","[0.5        0.8        1.         0.66666667 0.66666667 0.
 0.66666667 0.         1.         0.66666667]","[1.         1.         1.         1.         1.         0.66666667
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         1.         0.66666667
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1.    1.    1.    1.    1.    0.875 1.    1.    1.    1.   ],[1.    1.    1.    1.    0.75  1.    0.875 1.    1.    1.   ],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         1.         1.         1.         0.63245553
 0.63245553 1.         1.         0.63245553]","[0.4472136  0.70710678 1.         0.63245553 0.63245553 0.
 0.63245553 0.         1.         0.63245553]","[1.         1.         1.         1.         1.         0.63245553
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         1.         0.63245553
 1.         1.         1.         1.        ]"
[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.66666667 1.         1.         1.         1.         1.
 1.         1.         0.83333333 1.        ]","[0.83333333 1.         0.83333333 0.66666667 0.83333333 0.83333333
 0.83333333 1.         0.83333333 0.66666667]","[0.83333333 1.         1.         1.         1.         1.
 1.         1.         1.         1.        ]","[0.83333333 1.         1.         1.         1.         1.
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.66666667 1.         1.         1.         1.         1.
 1.         1.         0.75       1.        ]","[0.83333333 1.         0.75       0.5        0.75       0.75
 0.75       1.         0.75       0.5       ]","[0.83333333 1.         1.         1.         1.         1.
 1.         1.         1.         1.        ]","[0.83333333 1.         1.         1.         1.         1.
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 0. 1. 1. 1. 1. 1. 0.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.33333333 1.         1.         1.         1.         1.
 1.         1.         0.5        1.        ]","[0.66666667 1.         0.5        0.         0.5        0.5
 0.5        1.         0.5        0.        ]","[0.66666667 1.         1.         1.         1.         1.
 1.         1.         1.         1.        ]","[0.66666667 1.         1.         1.         1.         1.
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.5        1.         1.         1.         1.         1.
 1.         1.         0.66666667 1.        ]","[0.8        1.         0.66666667 0.         0.66666667 0.66666667
 0.66666667 1.         0.66666667 0.        ]",[0.8 1.  1.  1.  1.  1.  1.  1.  1.  1. ],[0.8 1.  1.  1.  1.  1.  1.  1.  1.  1. ],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.88888889 1.         1.         1.         1.         1.
 1.         1.         1.         1.        ]","[0.88888889 1.         1.         1.         1.         1.
 0.875      1.         1.         0.8125    ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.4472136  1.         1.         1.         1.         1.
 1.         1.         0.63245553 1.        ]","[0.70710678 1.         0.63245553 0.         0.63245553 0.63245553
 0.63245553 1.         0.63245553 0.        ]","[0.70710678 1.         1.         1.         1.         1.
 1.         1.         1.         1.        ]","[0.70710678 1.         1.         1.         1.         1.
 1.         1.         1.         1.        ]"
[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.66666667 1.         0.83333333 1.         1.         1.
 1.         1.         1.         1.        ]","[0.66666667 0.83333333 1.         0.83333333 0.83333333 0.66666667
 1.         1.         0.83333333 1.        ]","[0.83333333 1.         1.         1.         1.         1.
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.66666667 1.         0.75       1.         1.         1.
 1.         1.         1.         1.        ]","[0.66666667 0.75       1.         0.75       0.75       0.625
 1.         1.         0.75       1.        ]","[0.83333333 1.         1.         1.         1.         1.
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1.  1.  1.  1.  1.  0.5 1.  1.  1.  1. ],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.33333333 1.         0.5        1.         1.         1.
 1.         1.         1.         1.        ]","[0.33333333 0.5        1.         0.5        0.5        0.5
 1.         1.         0.5        1.        ]","[0.66666667 1.         1.         1.         1.         1.
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.5        1.         0.66666667 1.         1.         1.
 1.         1.         1.         1.        ]","[0.5        0.66666667 1.         0.66666667 0.66666667 0.5
 1.         1.         0.66666667 1.        ]",[0.8 1.  1.  1.  1.  1.  1.  1.  1.  1. ],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1.    1.    1.    0.875 1.    0.75  1.    1.    1.    1.   ],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.4472136  1.         0.63245553 1.         1.         1.
 1.         1.         1.         1.        ]","[0.4472136  0.63245553 1.         0.63245553 0.63245553 0.25
 1.         1.         0.63245553 1.        ]","[0.70710678 1.         1.         1.         1.         1.
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.66666667 1.         0.83333333 1.         1.         1.
 1.         1.         0.83333333 1.        ]","[0.83333333 0.83333333 0.66666667 1.         0.83333333 0.83333333
 1.         0.83333333 0.66666667 0.83333333]","[1.         1.         0.83333333 1.         1.         1.
 1.         1.         1.         1.        ]","[1.         1.         0.83333333 1.         1.         1.
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.66666667 1.         0.75       1.         1.         1.
 1.         1.         0.75       1.        ]","[0.83333333 0.75       0.625      1.         0.75       0.75
 1.         0.75       0.5        0.75      ]",[1.   1.   0.75 1.   1.   1.   1.   1.   1.   1.  ],[1.   1.   0.75 1.   1.   1.   1.   1.   1.   1.  ],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1.  1.  0.5 1.  1.  1.  1.  1.  0.  1. ],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.33333333 1.         0.5        1.         1.         1.
 1.         1.         0.5        1.        ]","[0.66666667 0.5        0.5        1.         0.5        0.5
 1.         0.5        0.         0.5       ]",[1.  1.  0.5 1.  1.  1.  1.  1.  1.  1. ],[1.  1.  0.5 1.  1.  1.  1.  1.  1.  1. ],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.5        1.         0.66666667 1.         1.         1.
 1.         1.         0.66666667 1.        ]","[0.8        0.66666667 0.5        1.         0.66666667 0.66666667
 1.         0.66666667 0.         0.66666667]","[1.         1.         0.66666667 1.         1.         1.
 1.         1.         1.         1.        ]","[1.         1.         0.66666667 1.         1.         1.
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1.   1.   0.75 1.   1.   1.   1.   1.   1.   1.  ],[1.    1.    0.625 1.    1.    1.    1.    1.    1.    1.   ],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.4472136  1.         0.63245553 1.         1.         1.
 1.         1.         0.63245553 1.        ]","[0.70710678 0.63245553 0.25       1.         0.63245553 0.63245553
 1.         0.63245553 0.         0.63245553]","[1.         1.         0.63245553 1.         1.         1.
 1.         1.         1.         1.        ]","[1.         1.         0.63245553 1.         1.         1.
 1.         1.         1.         1.        ]"
[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         0.83333333 0.83333333 1.         1.
 0.83333333 1.         1.         0.83333333]","[1.         1.         0.66666667 0.83333333 1.         0.83333333
 0.83333333 1.         1.         0.66666667]","[1.         1.         1.         0.83333333 1.         1.
 1.         1.         1.         1.        ]","[1.         1.         1.         0.83333333 1.         1.
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1.   1.   0.75 0.75 1.   1.   0.75 1.   1.   0.75],[1.   1.   0.5  0.75 1.   0.75 0.75 1.   1.   0.5 ],[1.   1.   1.   0.75 1.   1.   1.   1.   1.   1.  ],[1.   1.   1.   0.75 1.   1.   1.   1.   1.   1.  ],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 0. 1. 1. 1. 1. 1. 1. 0.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1.  1.  0.5 0.5 1.  1.  0.5 1.  1.  0.5],[1.  1.  0.  0.5 1.  0.5 0.5 1.  1.  0. ],[1.  1.  1.  0.5 1.  1.  1.  1.  1.  1. ],[1.  1.  1.  0.5 1.  1.  1.  1.  1.  1. ],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         0.66666667 0.66666667 1.         1.
 0.66666667 1.         1.         0.66666667]","[1.         1.         0.         0.66666667 1.         0.66666667
 0.66666667 1.         1.         0.        ]","[1.         1.         1.         0.66666667 1.         1.
 1.         1.         1.         1.        ]","[1.         1.         1.         0.66666667 1.         1.
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1.    1.    1.    0.875 1.    1.    1.    1.    1.    1.   ],[1.     1.     0.75   1.     1.     0.9375 0.8125 1.     1.     1.    ],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         0.63245553 0.63245553 1.         1.
 0.63245553 1.         1.         0.63245553]","[1.         1.         0.         0.63245553 1.         0.63245553
 0.63245553 1.         1.         0.        ]","[1.         1.         1.         0.63245553 1.         1.
 1.         1.         1.         1.        ]","[1.         1.         1.         0.63245553 1.         1.
 1.         1.         1.         1.        ]"
"[1.         1.         1.         1.         1.         1.
 1.         1.         0.83333333 1.        ]","[0.83333333 0.83333333 1.         1.         1.         1.
 1.         0.83333333 0.83333333 1.        ]","[0.5        0.83333333 1.         0.83333333 1.         1.
 1.         0.83333333 0.83333333 1.        ]","[1.         1.         1.         1.         1.         1.
 1.         0.83333333 0.83333333 1.        ]","[1.         1.         1.         1.         1.         1.
 1.         0.83333333 0.83333333 1.        ]",[1.   1.   1.   1.   1.   1.   1.   1.   0.75 1.  ],"[0.83333333 0.75       1.         1.         1.         1.
 1.         0.75       0.75       1.        ]",[0.5  0.75 1.   0.75 1.   1.   1.   0.75 0.75 1.  ],[1.   1.   1.   1.   1.   1.   1.   0.75 0.75 1.  ],[1.   1.   1.   1.   1.   1.   1.   0.75 0.75 1.  ],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[0. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1.  1.  1.  1.  1.  1.  1.  1.  0.5 1. ],"[0.66666667 0.5        1.         1.         1.         1.
 1.         0.5        0.5        1.        ]",[0.  0.5 1.  0.5 1.  1.  1.  0.5 0.5 1. ],[1.  1.  1.  1.  1.  1.  1.  0.5 0.5 1. ],[1.  1.  1.  1.  1.  1.  1.  0.5 0.5 1. ],"[1.         1.         1.         1.         1.         1.
 1.         1.         0.66666667 1.        ]","[0.8        0.66666667 1.         1.         1.         1.
 1.         0.66666667 0.66666667 1.        ]","[0.         0.66666667 1.         0.66666667 1.         1.
 1.         0.66666667 0.66666667 1.        ]","[1.         1.         1.         1.         1.         1.
 1.         0.66666667 0.66666667 1.        ]","[1.         1.         1.         1.         1.         1.
 1.         0.66666667 0.66666667 1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1.   1.   1.   1.   1.   1.   1.   0.75 1.   1.  ],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         1.         1.         1.         1.
 1.         1.         0.63245553 1.        ]","[0.70710678 0.63245553 1.         1.         1.         1.
 1.         0.63245553 0.63245553 1.        ]","[0.         0.63245553 1.         0.63245553 1.         1.
 1.         0.63245553 0.63245553 1.        ]","[1.         1.         1.         1.         1.         1.
 1.         0.63245553 0.63245553 1.        ]","[1.         1.         1.         1.         1.         1.
 1.         0.63245553 0.63245553 1.        ]"
