_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-3.8,M12826,M1,1,0,Transcription Factor Targets,16,ATF1 Q6,,-3.8,15,7.2,30293,237,35,4,11,5.4,1315|2321|3326|85453,COPB1|FLT1|HSP90AB1|TSPYL5,0,0
1,-3.7,M18558,M1,1,0,Transcription Factor Targets,16,AP2 Q6,,-3.7,13,6.8,30293,259,35,4,11,5.4,6666|22893|51042|51228,SOX12|BAHD1|ZNF593|GLTP,0,0
1,-3.6,M16919,M1,1,0,Transcription Factor Targets,16,AP1FJ Q2,,-3.6,13,6.6,30293,271,35,4,11,5.4,22858|29979|51042|79990,CILK1|UBQLN1|ZNF593|PLEKHH3,0,0
1,-3.6,M13237,M1,1,0,Transcription Factor Targets,16,BACH2 01,,-3.6,13,6.6,30293,273,35,4,11,5.4,22858|29979|56257|79990,CILK1|UBQLN1|MEPCE|PLEKHH3,0,0
1,-3.4,M9955,M1,1,0,Transcription Factor Targets,16,TGAYRTCA ATF3 Q6,,-3.4,7.9,5.5,30293,549,35,5,14,5.9,2321|3326|29979|51042|51228,FLT1|HSP90AB1|UBQLN1|ZNF593|GLTP,0,0
1,-3.2,M30100,M1,1,0,Transcription Factor Targets,16,NR1I2 TARGET GENES,,-3.2,10,5.8,30293,342,35,4,11,5.4,3326|29979|56257|56894,HSP90AB1|UBQLN1|MEPCE|AGPAT3,0,0
1,-3.1,M30011,M1,1,0,Transcription Factor Targets,16,HOXB6 TARGET GENES,,-3.1,6.8,5,30293,638,35,5,14,5.9,8558|27077|51042|51249|51531,CDK10|B9D1|ZNF593|TMEM69|TRMO,0,0
1,-2.9,M10046,M1,1,0,Transcription Factor Targets,16,ATF B,,-2.9,14,5.9,30293,191,35,3,8.6,4.7,2321|3326|51042,FLT1|HSP90AB1|ZNF593,0,0
1,-2.7,M40848,M1,1,0,Transcription Factor Targets,16,ZNF236 TARGET GENES,,-2.7,12,5.6,30293,212,35,3,8.6,4.7,3326|27077|51205,HSP90AB1|B9D1|ACP6,0,0
1,-2.6,M17997,M1,1,0,Transcription Factor Targets,16,TGACGTCA ATF3 Q6,,-2.6,11,5.3,30293,235,35,3,8.6,4.7,2321|3326|51042,FLT1|HSP90AB1|ZNF593,0,0
1,-2.5,M19851,M1,1,0,Transcription Factor Targets,16,FOXO3 01,,-2.5,10,5.1,30293,251,35,3,8.6,4.7,984|6666|22858,CDK11B|SOX12|CILK1,0,0
1,-2.5,M7797,M1,1,0,Transcription Factor Targets,16,ZIC2 01,,-2.5,10,5,30293,252,35,3,8.6,4.7,6665|6666|56257,SOX15|SOX12|MEPCE,0,0
1,-2.5,M6342,M1,1,0,Transcription Factor Targets,16,CREB 02,,-2.5,10,4.9,30293,260,35,3,8.6,4.7,2321|6666|51042,FLT1|SOX12|ZNF593,0,0
1,-2.5,M16699,M1,1,0,Transcription Factor Targets,16,CREBP1CJUN 01,,-2.5,9.8,4.9,30293,264,35,3,8.6,4.7,2321|3326|51042,FLT1|HSP90AB1|ZNF593,0,0
1,-2.5,M3489,M1,1,0,Transcription Factor Targets,16,AMEF2 Q6,,-2.5,9.8,4.9,30293,265,35,3,8.6,4.7,2321|6665|56257,FLT1|SOX15|MEPCE,0,0
1,-2.5,M9376,M1,1,0,Transcription Factor Targets,16,AP1 Q2,,-2.5,9.8,4.9,30293,265,35,3,8.6,4.7,22858|29979|79990,CILK1|UBQLN1|PLEKHH3,0,0
