"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","1-acylglycerol-3-phosphate O-acyltransferase activity","GO:0003841","0.18814329266337634","0.725511259731611","21","32","2","20212","AGPAT3,LPCAT1"
"GO:MF","lysophosphatidic acid acyltransferase activity","GO:0042171","0.20675315380603368","0.6845478570106717","22","32","2","20212","AGPAT3,LPCAT1"
"GO:MF","lysophospholipid acyltransferase activity","GO:0071617","0.20675315380603368","0.6845478570106717","22","32","2","20212","AGPAT3,LPCAT1"
"GO:MF","cyclin-dependent protein serine/threonine kinase activity","GO:0004693","0.36087955235634284","0.4426377246193094","29","32","2","20212","CDK11B,CDK10"
"GO:MF","cyclin-dependent protein kinase activity","GO:0097472","0.36087955235634284","0.4426377246193094","29","32","2","20212","CDK11B,CDK10"
"GO:MF","acylglycerol O-acyltransferase activity","GO:0016411","0.4125069512872094","0.3845687286165028","31","32","2","20212","AGPAT3,LPCAT1"
"GO:MF","nucleotide binding","GO:0000166","1","0","2187","32","6","20212","ACOX1,CDK11B,FLT1,CDK10,HSP90AB1,CILK1"
"GO:MF","purine ribonucleoside triphosphate binding","GO:0035639","1","0","1853","32","5","20212","CDK11B,FLT1,CDK10,HSP90AB1,CILK1"
"GO:MF","pre-mRNA binding","GO:0036002","1","0","316","32","1","20212","RBM4"
"GO:MF","small molecule binding","GO:0036094","1","0","6357","32","14","20212","RBM4,ACOX1,CDK11B,LPCAT1,FLT1,CHRND,CDK10,ZCCHC17,GLTP,EBF4,ANTXR1,ZNF593,HSP90AB1,CILK1"
"GO:MF","signaling receptor activity","GO:0038023","1","0","1491","32","4","20212","FLT1,CHRND,B9D1,ANTXR1"
"GO:MF","acetylcholine binding","GO:0042166","1","0","11","32","1","20212","CHRND"
"GO:MF","peptide binding","GO:0042277","1","0","327","32","1","20212","HSP90AB1"
"GO:MF","histone binding","GO:0042393","1","0","251","32","1","20212","TSPYL5"
