Accuracy_LR,Accuracy_SVM,Accuracy_RF,Accuracy_Voting,Accuracy_Stacking,Balanced_Accuracy_LR,Balanced_Accuracy_SVM,Balanced_Accuracy_RF,Balanced_Accuracy_Voting,Balanced_Accuracy_Stacking,Precision_LR,Precision_SVM,Precision_RF,Precision_Voting,Precision_Stacking,Recall_LR,Recall_SVM,Recall_RF,Recall_Voting,Recall_Stacking,F1_LR,F1_SVM,F1_RF,F1_Voting,F1_Stacking,ROC_AUC_LR,ROC_AUC_SVM,ROC_AUC_RF,ROC_AUC_Voting,ROC_AUC_Stacking,MCC_LR,MCC_SVM,MCC_RF,MCC_Voting,MCC_Stacking
[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.9        1.         1.         0.9        1.         1.
 1.         1.         0.88888889 1.        ]","[0.9        1.         0.9        0.4        0.8        0.9
 1.         0.88888889 0.77777778 1.        ]","[1.         1.         1.         1.         1.         1.
 1.         1.         0.88888889 1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[0.9   1.    1.    0.9   1.    1.    1.    1.    0.875 1.   ],[0.9   1.    0.9   0.4   0.8   0.9   1.    0.875 0.75  1.   ],[1.    1.    1.    1.    1.    1.    1.    1.    0.875 1.   ],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.83333333 1.         1.         0.83333333 1.         1.
 1.         1.         1.         1.        ]","[1.         1.         0.83333333 0.44444444 0.8        1.
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1.   1.   1.   1.   1.   1.   1.   1.   0.75 1.  ],[0.8  1.   1.   0.8  0.8  0.8  1.   0.75 0.5  1.  ],[1.   1.   1.   1.   1.   1.   1.   1.   0.75 1.  ],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.90909091 1.         1.         0.90909091 1.         1.
 1.         1.         0.85714286 1.        ]","[0.88888889 1.         0.90909091 0.57142857 0.8        0.88888889
 1.         0.85714286 0.66666667 1.        ]","[1.         1.         1.         1.         1.         1.
 1.         1.         0.85714286 1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1.   1.   1.   0.96 1.   1.   1.   1.   1.   1.  ],[1.   1.   1.   0.62 0.92 0.9  1.   1.   0.95 1.  ],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.81649658 1.         1.         0.81649658 1.         1.
 1.         1.         0.79056942 1.        ]","[ 0.81649658  1.          0.81649658 -0.33333333  0.6         0.81649658
  1.          0.79056942  0.5976143   1.        ]","[1.         1.         1.         1.         1.         1.
 1.         1.         0.79056942 1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
"[1.         0.5        1.         0.7        0.9        0.8
 1.         0.33333333 0.88888889 0.55555556]","[1.         0.6        1.         0.8        0.9        0.8
 1.         0.33333333 0.88888889 0.66666667]","[0.9        0.7        1.         1.         1.         0.9
 0.9        0.55555556 0.88888889 0.55555556]","[1.         0.6        1.         0.8        1.         0.9
 1.         0.44444444 0.88888889 0.66666667]","[1.         0.6        1.         0.8        1.         0.9
 1.         0.44444444 0.88888889 0.66666667]",[1.    0.5   1.    0.7   0.9   0.8   1.    0.3   0.875 0.55 ],[1.    0.6   1.    0.8   0.9   0.8   1.    0.3   0.875 0.675],[0.9   0.7   1.    1.    1.    0.9   0.875 0.525 0.875 0.55 ],[1.    0.6   1.    0.8   1.    0.9   1.    0.4   0.875 0.675],[1.    0.6   1.    0.8   1.    0.9   1.    0.4   0.875 0.675],"[1.         0.5        1.         0.66666667 0.83333333 0.71428571
 1.         0.         1.         0.5       ]","[1.         0.6        1.         0.71428571 1.         0.71428571
 1.         0.         1.         0.6       ]","[1.         0.75       1.         1.         1.         0.83333333
 1.         0.5        1.         0.5       ]","[1.         0.6        1.         0.71428571 1.         0.83333333
 1.         0.         1.         0.6       ]","[1.         0.6        1.         0.71428571 1.         0.83333333
 1.         0.         1.         0.6       ]",[1.   0.4  1.   0.8  1.   1.   1.   0.   0.75 0.5 ],[1.   0.6  1.   1.   0.8  1.   1.   0.   0.75 0.75],[0.8  0.6  1.   1.   1.   1.   0.75 0.25 0.75 0.5 ],[1.   0.6  1.   1.   1.   1.   1.   0.   0.75 0.75],[1.   0.6  1.   1.   1.   1.   1.   0.   0.75 0.75],"[1.         0.44444444 1.         0.72727273 0.90909091 0.83333333
 1.         0.         0.85714286 0.5       ]","[1.         0.6        1.         0.83333333 0.88888889 0.83333333
 1.         0.         0.85714286 0.66666667]","[0.88888889 0.66666667 1.         1.         1.         0.90909091
 0.85714286 0.33333333 0.85714286 0.5       ]","[1.         0.6        1.         0.83333333 1.         0.90909091
 1.         0.         0.85714286 0.66666667]","[1.         0.6        1.         0.83333333 1.         0.90909091
 1.         0.         0.85714286 0.66666667]",[1.   0.76 1.   0.84 1.   0.96 1.   0.6  0.95 0.6 ],[1.   0.64 1.   0.88 0.96 0.92 1.   0.6  0.75 0.65],"[1.         0.68       1.         1.         1.         1.
 0.95833333 0.55       0.875      0.65      ]",[1.   0.76 1.   0.88 1.   1.   1.   0.6  0.95 0.65],[1.   0.76 1.   0.92 1.   1.   1.   0.6  0.85 0.7 ],"[ 1.          0.          1.          0.40824829  0.81649658  0.65465367
  1.         -0.47809144  0.79056942  0.1       ]","[ 1.          0.2         1.          0.65465367  0.81649658  0.65465367
  1.         -0.47809144  0.79056942  0.35      ]","[0.81649658 0.40824829 1.         1.         1.         0.81649658
 0.80178373 0.05976143 0.79056942 0.1       ]","[ 1.          0.2         1.          0.65465367  1.          0.81649658
  1.         -0.31622777  0.79056942  0.35      ]","[ 1.          0.2         1.          0.65465367  1.          0.81649658
  1.         -0.31622777  0.79056942  0.35      ]"
[1.  1.  1.  1.  0.9 1.  1.  1.  1.  1. ],[1.  1.  1.  1.  0.9 0.9 1.  1.  1.  1. ],[0.9 0.8 0.8 0.9 0.9 0.9 0.9 1.  1.  1. ],[1.  1.  1.  1.  0.9 0.9 1.  1.  1.  1. ],[1.  1.  1.  1.  0.9 1.  1.  1.  1.  1. ],[1.  1.  1.  1.  0.9 1.  1.  1.  1.  1. ],[1.  1.  1.  1.  0.9 0.9 1.  1.  1.  1. ],[0.9   0.8   0.8   0.9   0.9   0.9   0.875 1.    1.    1.   ],[1.  1.  1.  1.  0.9 0.9 1.  1.  1.  1. ],[1.  1.  1.  1.  0.9 1.  1.  1.  1.  1. ],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         0.71428571 0.8        1.         1.         1.
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1.  1.  1.  1.  0.8 1.  1.  1.  1.  1. ],[1.  1.  1.  1.  0.8 0.8 1.  1.  1.  1. ],[0.8  1.   0.8  0.8  0.8  0.8  0.75 1.   1.   1.  ],[1.  1.  1.  1.  0.8 0.8 1.  1.  1.  1. ],[1.  1.  1.  1.  0.8 1.  1.  1.  1.  1. ],"[1.         1.         1.         1.         0.88888889 1.
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         0.88888889 0.88888889
 1.         1.         1.         1.        ]","[0.88888889 0.83333333 0.8        0.88888889 0.88888889 0.88888889
 0.85714286 1.         1.         1.        ]","[1.         1.         1.         1.         0.88888889 0.88888889
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         0.88888889 1.
 1.         1.         1.         1.        ]",[1.   1.   1.   1.   0.88 1.   1.   1.   1.   1.  ],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         0.96       0.96       1.         0.92
 0.91666667 1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         1.         1.         0.81649658 1.
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         0.81649658 0.81649658
 1.         1.         1.         1.        ]","[0.81649658 0.65465367 0.6        0.81649658 0.81649658 0.81649658
 0.80178373 1.         1.         1.        ]","[1.         1.         1.         1.         0.81649658 0.81649658
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         0.81649658 1.
 1.         1.         1.         1.        ]"
[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         1.         0.9        1.         1.
 1.         1.         1.         0.88888889]","[1.         0.9        1.         1.         0.9        0.8
 0.8        0.88888889 0.88888889 0.77777778]","[1.         1.         1.         1.         1.         1.
 1.         1.         1.         0.88888889]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1.    1.    1.    0.9   1.    1.    1.    1.    1.    0.875],"[1.         0.9        1.         1.         0.9        0.8
 0.83333333 0.875      0.9        0.775     ]",[1.    1.    1.    1.    1.    1.    1.    1.    1.    0.875],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         1.         0.83333333 1.         1.
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         0.83333333 0.8
 0.66666667 1.         0.8        0.75      ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1.   1.   1.   1.   1.   1.   1.   1.   1.   0.75],[1.   0.8  1.   1.   1.   0.8  1.   0.75 1.   0.75],[1.   1.   1.   1.   1.   1.   1.   1.   1.   0.75],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         1.         0.90909091 1.         1.
 1.         1.         1.         0.85714286]","[1.         0.88888889 1.         1.         0.90909091 0.8
 0.8        0.85714286 0.88888889 0.75      ]","[1.         1.         1.         1.         1.         1.
 1.         1.         1.         0.85714286]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1.     1.     1.     1.     1.     0.8    0.9375 0.95   1.     0.85  ],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         1.         0.81649658 1.         1.
 1.         1.         1.         0.79056942]","[1.         0.81649658 1.         1.         0.81649658 0.6
 0.66666667 0.79056942 0.8        0.55      ]","[1.         1.         1.         1.         1.         1.
 1.         1.         1.         0.79056942]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
"[1.         1.         0.9        1.         1.         1.
 1.         0.88888889 1.         1.        ]","[0.9        1.         0.9        1.         1.         1.
 1.         0.88888889 0.88888889 0.88888889]","[0.9        1.         0.8        0.9        1.         0.8
 0.9        0.88888889 0.77777778 0.88888889]","[0.9        1.         0.9        1.         1.         1.
 1.         0.88888889 1.         1.        ]","[0.9        1.         0.9        1.         1.         1.
 1.         0.88888889 1.         1.        ]",[1.    1.    0.9   1.    1.    1.    1.    0.875 1.    1.   ],[0.9   1.    0.9   1.    1.    1.    1.    0.875 0.9   0.9  ],[0.9   1.    0.8   0.9   1.    0.8   0.875 0.875 0.8   0.875],[0.9   1.    0.9   1.    1.    1.    1.    0.875 1.    1.   ],[0.9   1.    0.9   1.    1.    1.    1.    0.875 1.    1.   ],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.83333333 1.         1.         1.         1.         1.
 1.         1.         0.8        0.8       ]","[0.83333333 1.         0.8        1.         1.         0.8
 1.         1.         0.66666667 1.        ]","[0.83333333 1.         1.         1.         1.         1.
 1.         1.         1.         1.        ]","[0.83333333 1.         1.         1.         1.         1.
 1.         1.         1.         1.        ]",[1.   1.   0.8  1.   1.   1.   1.   0.75 1.   1.  ],[1.   1.   0.8  1.   1.   1.   1.   0.75 1.   1.  ],[1.   1.   0.8  0.8  1.   0.8  0.75 0.75 1.   0.75],[1.   1.   0.8  1.   1.   1.   1.   0.75 1.   1.  ],[1.   1.   0.8  1.   1.   1.   1.   0.75 1.   1.  ],"[1.         1.         0.88888889 1.         1.         1.
 1.         0.85714286 1.         1.        ]","[0.90909091 1.         0.88888889 1.         1.         1.
 1.         0.85714286 0.88888889 0.88888889]","[0.90909091 1.         0.8        0.88888889 1.         0.8
 0.85714286 0.85714286 0.8        0.85714286]","[0.90909091 1.         0.88888889 1.         1.         1.
 1.         0.85714286 1.         1.        ]","[0.90909091 1.         0.88888889 1.         1.         1.
 1.         0.85714286 1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1.   1.   0.92 1.   1.   1.   1.   1.   1.   1.  ],[0.92 1.   0.86 0.96 1.   0.92 1.   0.95 1.   0.95],[1.   1.   0.92 1.   1.   1.   1.   1.   1.   1.  ],[1.   1.   0.96 1.   1.   1.   1.   1.   1.   1.  ],"[1.         1.         0.81649658 1.         1.         1.
 1.         0.79056942 1.         1.        ]","[0.81649658 1.         0.81649658 1.         1.         1.
 1.         0.79056942 0.8        0.8       ]","[0.81649658 1.         0.6        0.81649658 1.         0.6
 0.80178373 0.79056942 0.63245553 0.79056942]","[0.81649658 1.         0.81649658 1.         1.         1.
 1.         0.79056942 1.         1.        ]","[0.81649658 1.         0.81649658 1.         1.         1.
 1.         0.79056942 1.         1.        ]"
[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         1.         1.         0.7        1.
 1.         1.         0.88888889 1.        ]",[0.9 0.9 1.  0.8 0.6 1.  0.7 1.  1.  1. ],[1.  1.  1.  1.  0.9 1.  1.  1.  1.  1. ],[1.  1.  1.  1.  0.9 1.  1.  1.  1.  1. ],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1.  1.  1.  1.  0.7 1.  1.  1.  0.9 1. ],"[0.9        0.9        1.         0.8        0.6        1.
 0.66666667 1.         1.         1.        ]",[1.  1.  1.  1.  0.9 1.  1.  1.  1.  1. ],[1.  1.  1.  1.  0.9 1.  1.  1.  1.  1. ],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         1.         1.         0.66666667 1.
 1.         1.         0.8        1.        ]","[1.         1.         1.         0.8        0.57142857 1.
 0.66666667 1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1.  1.  1.  1.  0.8 1.  1.  1.  1.  1. ],[0.8 0.8 1.  0.8 0.8 1.  0.5 1.  1.  1. ],[1.  1.  1.  1.  0.8 1.  1.  1.  1.  1. ],[1.  1.  1.  1.  0.8 1.  1.  1.  1.  1. ],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         1.         1.         0.72727273 1.
 1.         1.         0.88888889 1.        ]","[0.88888889 0.88888889 1.         0.8        0.66666667 1.
 0.57142857 1.         1.         1.        ]","[1.         1.         1.         1.         0.88888889 1.
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         0.88888889 1.
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1.   1.   1.   1.   0.84 1.   1.   1.   1.   1.  ],[1.    1.    1.    0.96  0.72  1.    0.875 1.    1.    1.   ],[1.   1.   1.   1.   0.92 1.   1.   1.   1.   1.  ],[1.   1.   1.   1.   0.96 1.   1.   1.   1.   1.  ],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         1.         1.         0.40824829 1.
 1.         1.         0.8        1.        ]","[0.81649658 0.81649658 1.         0.6        0.21821789 1.
 0.35634832 1.         1.         1.        ]","[1.         1.         1.         1.         0.81649658 1.
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         0.81649658 1.
 1.         1.         1.         1.        ]"
[1.  1.  1.  0.9 1.  0.9 1.  1.  1.  1. ],[1.  0.9 0.9 0.8 0.8 0.9 0.7 1.  1.  1. ],"[1.         0.7        0.8        0.7        0.7        0.9
 0.6        0.66666667 0.88888889 0.88888889]",[1.  0.9 0.9 0.9 1.  0.9 0.9 1.  1.  1. ],[1.  1.  0.9 0.9 1.  0.9 0.9 1.  1.  1. ],[1.  1.  1.  0.9 1.  0.9 1.  1.  1.  1. ],"[1.         0.9        0.9        0.8        0.8        0.9
 0.70833333 1.         1.         1.        ]",[1.    0.7   0.8   0.7   0.7   0.9   0.625 0.675 0.9   0.9  ],"[1.         0.9        0.9        0.9        1.         0.9
 0.91666667 1.         1.         1.        ]","[1.         1.         0.9        0.9        1.         0.9
 0.91666667 1.         1.         1.        ]","[1.         1.         1.         0.83333333 1.         1.
 1.         1.         1.         1.        ]","[1.         0.83333333 1.         0.71428571 0.8        1.
 0.6        1.         1.         1.        ]","[1.         0.66666667 1.         0.66666667 0.75       1.
 0.5        0.6        0.8        0.8       ]","[1.         0.83333333 1.         0.83333333 1.         1.
 0.8        1.         1.         1.        ]","[1.         1.         1.         0.83333333 1.         1.
 0.8        1.         1.         1.        ]",[1.  1.  1.  1.  1.  0.8 1.  1.  1.  1. ],[1.   1.   0.8  1.   0.8  0.8  0.75 1.   1.   1.  ],[1.   0.8  0.6  0.8  0.6  0.8  0.75 0.75 1.   1.  ],[1.  1.  0.8 1.  1.  0.8 1.  1.  1.  1. ],[1.  1.  0.8 1.  1.  0.8 1.  1.  1.  1. ],"[1.         1.         1.         0.90909091 1.         0.88888889
 1.         1.         1.         1.        ]","[1.         0.90909091 0.88888889 0.83333333 0.8        0.88888889
 0.66666667 1.         1.         1.        ]","[1.         0.72727273 0.75       0.72727273 0.66666667 0.88888889
 0.6        0.66666667 0.88888889 0.88888889]","[1.         0.90909091 0.88888889 0.90909091 1.         0.88888889
 0.88888889 1.         1.         1.        ]","[1.         1.         0.88888889 0.90909091 1.         0.88888889
 0.88888889 1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         1.         0.88       0.96       1.
 0.91666667 1.         1.         1.        ]",[1.     0.92   0.84   0.88   0.92   0.96   0.8125 0.85   1.     1.    ],"[1.         1.         1.         0.96       1.         1.
 0.95833333 1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         1.         0.81649658 1.         0.81649658
 1.         1.         1.         1.        ]","[1.         0.81649658 0.81649658 0.65465367 0.6        0.81649658
 0.40824829 1.         1.         1.        ]","[1.         0.40824829 0.65465367 0.40824829 0.40824829 0.81649658
 0.25       0.35       0.8        0.8       ]","[1.         0.81649658 0.81649658 0.81649658 1.         0.81649658
 0.81649658 1.         1.         1.        ]","[1.         1.         0.81649658 0.81649658 1.         0.81649658
 0.81649658 1.         1.         1.        ]"
[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[0.9 1.  1.  1.  1.  1.  0.9 1.  1.  1. ],"[0.9        1.         0.7        0.9        0.9        0.9
 0.9        0.88888889 0.88888889 1.        ]",[0.9 1.  1.  1.  1.  1.  1.  1.  1.  1. ],[0.9 1.  1.  1.  1.  1.  1.  1.  1.  1. ],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.9        1.         1.         1.         1.         1.
 0.91666667 1.         1.         1.        ]","[0.9        1.         0.7        0.9        0.9        0.9
 0.91666667 0.9        0.9        1.        ]",[0.9 1.  1.  1.  1.  1.  1.  1.  1.  1. ],[0.9 1.  1.  1.  1.  1.  1.  1.  1.  1. ],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1.  1.  1.  1.  1.  1.  0.8 1.  1.  1. ],"[1.         1.         0.75       0.83333333 1.         0.83333333
 0.8        0.8        0.8        1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[0.8 1.  1.  1.  1.  1.  1.  1.  1.  1. ],[0.8 1.  0.6 1.  0.8 1.  1.  1.  1.  1. ],[0.8 1.  1.  1.  1.  1.  1.  1.  1.  1. ],[0.8 1.  1.  1.  1.  1.  1.  1.  1.  1. ],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.88888889 1.         1.         1.         1.         1.
 0.88888889 1.         1.         1.        ]","[0.88888889 1.         0.66666667 0.90909091 0.88888889 0.90909091
 0.88888889 0.88888889 0.88888889 1.        ]","[0.88888889 1.         1.         1.         1.         1.
 1.         1.         1.         1.        ]","[0.88888889 1.         1.         1.         1.         1.
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.88       1.         0.9        1.         1.         0.96
 0.95833333 1.         0.975      1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.81649658 1.         1.         1.         1.         1.
 0.81649658 1.         1.         1.        ]","[0.81649658 1.         0.40824829 0.81649658 0.81649658 0.81649658
 0.81649658 0.8        0.8        1.        ]","[0.81649658 1.         1.         1.         1.         1.
 1.         1.         1.         1.        ]","[0.81649658 1.         1.         1.         1.         1.
 1.         1.         1.         1.        ]"
[1.  1.  1.  1.  1.  0.9 1.  1.  1.  1. ],[1.  1.  1.  1.  0.9 0.9 1.  1.  1.  1. ],"[0.8        0.9        0.9        0.9        1.         1.
 1.         0.66666667 0.77777778 0.77777778]",[1.  1.  1.  1.  1.  0.9 1.  1.  1.  1. ],[1.  1.  1.  1.  1.  0.9 1.  1.  1.  1. ],[1.  1.  1.  1.  1.  0.9 1.  1.  1.  1. ],[1.  1.  1.  1.  0.9 0.9 1.  1.  1.  1. ],[0.8   0.9   0.9   0.9   1.    1.    1.    0.675 0.775 0.75 ],[1.  1.  1.  1.  1.  0.9 1.  1.  1.  1. ],[1.  1.  1.  1.  1.  0.9 1.  1.  1.  1. ],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         1.         1.         0.83333333 0.83333333
 1.         1.         1.         1.        ]","[1.         0.83333333 0.83333333 0.83333333 1.         1.
 1.         0.6        0.75       1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1.  1.  1.  1.  1.  0.8 1.  1.  1.  1. ],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[0.6  1.   1.   1.   1.   1.   1.   0.75 0.75 0.5 ],[1.  1.  1.  1.  1.  0.8 1.  1.  1.  1. ],[1.  1.  1.  1.  1.  0.8 1.  1.  1.  1. ],"[1.         1.         1.         1.         1.         0.88888889
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         0.90909091 0.90909091
 1.         1.         1.         1.        ]","[0.75       0.90909091 0.90909091 0.90909091 1.         1.
 1.         0.66666667 0.75       0.66666667]","[1.         1.         1.         1.         1.         0.88888889
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         1.         0.88888889
 1.         1.         1.         1.        ]",[1.   1.   1.   1.   1.   0.96 1.   1.   1.   1.  ],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[0.84 1.   1.   1.   1.   1.   1.   0.9  0.9  1.  ],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         1.         1.         1.         0.81649658
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         0.81649658 0.81649658
 1.         1.         1.         1.        ]","[0.65465367 0.81649658 0.81649658 0.81649658 1.         1.
 1.         0.35       0.55       0.5976143 ]","[1.         1.         1.         1.         1.         0.81649658
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         1.         0.81649658
 1.         1.         1.         1.        ]"
[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1.  1.  1.  0.7 1.  1.  0.9 1.  1.  1. ],"[1.         0.9        1.         0.5        0.8        0.9
 0.8        0.88888889 0.88888889 1.        ]",[1.  1.  1.  0.9 1.  1.  1.  1.  1.  1. ],[1.  1.  1.  0.9 1.  1.  1.  1.  1.  1. ],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         1.         0.7        1.         1.
 0.91666667 1.         1.         1.        ]","[1.         0.9        1.         0.5        0.8        0.9
 0.83333333 0.9        0.9        1.        ]",[1.  1.  1.  0.9 1.  1.  1.  1.  1.  1. ],[1.  1.  1.  0.9 1.  1.  1.  1.  1.  1. ],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         1.         0.66666667 1.         1.
 0.8        1.         1.         1.        ]","[1.         1.         1.         0.5        0.8        1.
 0.66666667 0.8        0.8        1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1.  1.  1.  0.8 1.  1.  1.  1.  1.  1. ],[1.  0.8 1.  0.4 0.8 0.8 1.  1.  1.  1. ],[1.  1.  1.  0.8 1.  1.  1.  1.  1.  1. ],[1.  1.  1.  0.8 1.  1.  1.  1.  1.  1. ],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         1.         0.72727273 1.         1.
 0.88888889 1.         1.         1.        ]","[1.         0.88888889 1.         0.44444444 0.8        0.88888889
 0.8        0.88888889 0.88888889 1.        ]","[1.         1.         1.         0.88888889 1.         1.
 1.         1.         1.         1.        ]","[1.         1.         1.         0.88888889 1.         1.
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1.   1.   1.   0.92 1.   1.   1.   1.   1.   1.  ],"[1.         1.         1.         0.68       0.92       1.
 0.95833333 1.         0.975      1.        ]",[1.   1.   1.   0.96 1.   1.   1.   1.   1.   1.  ],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         1.         0.40824829 1.         1.
 0.81649658 1.         1.         1.        ]","[1.         0.81649658 1.         0.         0.6        0.81649658
 0.66666667 0.8        0.8        1.        ]","[1.         1.         1.         0.81649658 1.         1.
 1.         1.         1.         1.        ]","[1.         1.         1.         0.81649658 1.         1.
 1.         1.         1.         1.        ]"
