Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
Reactome Gene Sets,6,R-HSA-5661231,Metallothioneins bind metals,,-7.2,3.6e+02,33,30293,11,23,3,13,7,4490|4494|4495,MT1B|MT1F|MT1G,-3.1,MyList
GO Biological Processes,19,GO:0046686,response to cadmium ion,19_GO:0050896 response to stimulus,-6.9,88,19,30293,60,23,4,17,7.9,4490|4494|4495|5111,MT1B|MT1F|MT1G|PCNA,-3.1,MyList
Reactome Gene Sets,6,R-HSA-5660526,Response to metal ions,,-6.9,2.8e+02,29,30293,14,23,3,13,7,4490|4494|4495,MT1B|MT1F|MT1G,-3.1,MyList
GO Biological Processes,19,GO:0010273,detoxification of copper ion,19_GO:0098754 detoxification,-6.7,2.5e+02,27,30293,16,23,3,13,7,4490|4494|4495,MT1B|MT1F|MT1G,-3.1,MyList
GO Biological Processes,19,GO:1990169,stress response to copper ion,19_GO:0050896 response to stimulus,-6.7,2.5e+02,27,30293,16,23,3,13,7,4490|4494|4495,MT1B|MT1F|MT1G,-3.1,MyList
Hallmark Gene Sets,23,M5926,HALLMARK MYC TARGETS V1,,-6.4,33,12,30293,200,23,5,22,8.6,1207|2091|5111|6626|7284,CLNS1A|FBL|PCNA|SNRPA|TUFM,-2.9,MyList
GO Biological Processes,19,GO:0097501,stress response to metal ion,19_GO:0050896 response to stimulus,-6.3,1.9e+02,24,30293,21,23,3,13,7,4490|4494|4495,MT1B|MT1F|MT1G,-2.8,MyList
GO Biological Processes,19,GO:0061687,detoxification of inorganic compound,19_GO:0098754 detoxification,-6.2,1.8e+02,23,30293,22,23,3,13,7,4490|4494|4495,MT1B|MT1F|MT1G,-2.8,MyList
GO Biological Processes,19,GO:0071294,cellular response to zinc ion,19_GO:0050896 response to stimulus,-6.1,1.6e+02,22,30293,24,23,3,13,7,4490|4494|4495,MT1B|MT1F|MT1G,-2.8,MyList
GO Biological Processes,19,GO:0071280,cellular response to copper ion,19_GO:0050896 response to stimulus,-6,1.5e+02,21,30293,26,23,3,13,7,4490|4494|4495,MT1B|MT1F|MT1G,-2.7,MyList
GO Biological Processes,19,GO:0045926,negative regulation of growth,19_GO:0040007 growth,-6,27,11,30293,246,23,5,22,8.6,1410|4490|4494|4495|5270,CRYAB|MT1B|MT1F|MT1G|SERPINE2,-2.7,MyList
GO Biological Processes,19,GO:0010035,response to inorganic substance,19_GO:0050896 response to stimulus,-5.7,15,9,30293,525,23,6,26,9.2,1410|3040|4490|4494|4495|5111,CRYAB|HBA2|MT1B|MT1F|MT1G|PCNA,-2.5,MyList
GO Biological Processes,19,GO:0006882,intracellular zinc ion homeostasis,19_GO:0042592 homeostatic process,-5.6,1.1e+02,18,30293,36,23,3,13,7,4490|4494|4495,MT1B|MT1F|MT1G,-2.4,MyList
WikiPathways,27,WP3529,Zinc homeostasis,,-5.5,1.1e+02,18,30293,37,23,3,13,7,4490|4494|4495,MT1B|MT1F|MT1G,-2.4,MyList
GO Biological Processes,19,GO:0071276,cellular response to cadmium ion,19_GO:0050896 response to stimulus,-5.5,1.1e+02,18,30293,37,23,3,13,7,4490|4494|4495,MT1B|MT1F|MT1G,-2.4,MyList
GO Biological Processes,19,GO:0046688,response to copper ion,19_GO:0050896 response to stimulus,-5.5,1e+02,18,30293,38,23,3,13,7,4490|4494|4495,MT1B|MT1F|MT1G,-2.4,MyList
GO Biological Processes,19,GO:0098754,detoxification,19_GO:0098754 detoxification,-5.5,39,12,30293,136,23,4,17,7.9,3040|4490|4494|4495,HBA2|MT1B|MT1F|MT1G,-2.4,MyList
GO Biological Processes,19,GO:0010043,response to zinc ion,19_GO:0050896 response to stimulus,-5.1,77,15,30293,51,23,3,13,7,4490|4494|4495,MT1B|MT1F|MT1G,-2.1,MyList
WikiPathways,27,WP3286,Copper homeostasis,,-5.1,75,15,30293,53,23,3,13,7,4490|4494|4495,MT1B|MT1F|MT1G,-2,MyList
KEGG Pathway,24,hsa04978,Mineral absorption,,-4.9,66,14,30293,60,23,3,13,7,4490|4494|4495,MT1B|MT1F|MT1G,-1.9,MyList
GO Biological Processes,19,GO:0009636,response to toxic substance,19_GO:0050896 response to stimulus,-4.5,22,9.1,30293,236,23,4,17,7.9,3040|4490|4494|4495,HBA2|MT1B|MT1F|MT1G,-1.6,MyList
GO Biological Processes,19,GO:0042542,response to hydrogen peroxide,19_GO:0050896 response to stimulus,-4.2,39,11,30293,101,23,3,13,7,1410|3040|5111,CRYAB|HBA2|PCNA,-1.3,MyList
