_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-7.201851020400373,R-HSA-5661231,M1,1,0,Reactome Gene Sets,6,Metallothioneins bind metals,,-7.201851020400373,359.20553359683794,32.75352430113616,30293,11,23,3,13.043478260869565,7.02237263554129,4490|4494|4495,MT1B|MT1F|MT1G,-3.077918338223106,0,1,1,1,-7.201851020400373,359.20553359683794,
1,-6.921998503848408,GO:0046686,M1,1,0,GO Biological Processes,19,response to cadmium ion,19_GO:0050896 response to stimulus,-6.921998503848408,87.80579710144927,18.552627041158388,30293,60,23,4,17.391304347826086,7.903419644751181,4490|4494|4495|5111,MT1B|MT1F|MT1G|PCNA,-3.077918338223106,0,1,0,0,-7.201851020400373,359.20553359683794,
1,-6.858878906854746,R-HSA-5660526,M1,1,0,Reactome Gene Sets,6,Response to metal ions,,-6.858878906854746,282.2329192546584,29.012228573739154,30293,14,23,3,13.043478260869565,7.02237263554129,4490|4494|4495,MT1B|MT1F|MT1G,-3.077918338223106,0,1,0,0,-7.201851020400373,359.20553359683794,
1,-6.67222247359784,GO:0010273,M1,1,0,GO Biological Processes,19,detoxification of copper ion,19_GO:0098754 detoxification,-6.67222247359784,246.9538043478261,27.125565257093392,30293,16,23,3,13.043478260869565,7.02237263554129,4490|4494|4495,MT1B|MT1F|MT1G,-3.077918338223106,0,1,0,0,-7.201851020400373,359.20553359683794,
1,-6.67222247359784,GO:1990169,M1,1,0,GO Biological Processes,19,stress response to copper ion,19_GO:0050896 response to stimulus,-6.67222247359784,246.9538043478261,27.125565257093392,30293,16,23,3,13.043478260869565,7.02237263554129,4490|4494|4495,MT1B|MT1F|MT1G,-3.077918338223106,0,1,0,0,-7.201851020400373,359.20553359683794,
1,-6.297634359617862,GO:0097501,M1,1,0,GO Biological Processes,19,stress response to metal ion,19_GO:0050896 response to stimulus,-6.297634359617862,188.1552795031056,23.64900397834626,30293,21,23,3,13.043478260869565,7.02237263554129,4490|4494|4495,MT1B|MT1F|MT1G,-2.8494582599213665,0,1,0,0,-7.201851020400373,359.20553359683794,
1,-6.234180375361753,GO:0061687,M1,1,0,GO Biological Processes,19,detoxification of inorganic compound,19_GO:0098754 detoxification,-6.234180375361753,179.60276679841897,23.09977875850381,30293,22,23,3,13.043478260869565,7.02237263554129,4490|4494|4495,MT1B|MT1F|MT1G,-2.8439962226429434,0,1,0,0,-7.201851020400373,359.20553359683794,
1,-6.115920775014466,GO:0071294,M1,1,0,GO Biological Processes,19,cellular response to zinc ion,19_GO:0050896 response to stimulus,-6.115920775014466,164.6358695652174,22.105827383453036,30293,24,23,3,13.043478260869565,7.02237263554129,4490|4494|4495,MT1B|MT1F|MT1G,-2.776889144743038,0,1,0,0,-7.201851020400373,359.20553359683794,
1,-6.007588116306058,GO:0071280,M1,1,0,GO Biological Processes,19,cellular response to copper ion,19_GO:0050896 response to stimulus,-6.007588116306058,151.9715719063545,21.228477320137127,30293,26,23,3,13.043478260869565,7.02237263554129,4490|4494|4495,MT1B|MT1F|MT1G,-2.7427365441511697,0,1,0,0,-7.201851020400373,359.20553359683794,
1,-5.994617998703697,GO:0045926,M1,1,0,GO Biological Processes,19,negative regulation of growth,19_GO:0040007 growth,-5.994617998703697,26.770060091905265,11.186754515244532,30293,246,23,5,21.73913043478261,8.60061487037983,1410|4490|4494|4495|5270,CRYAB|MT1B|MT1F|MT1G|SERPINE2,-2.7427365441511697,0,1,0,0,-7.201851020400373,359.20553359683794,
1,-5.684235609763412,GO:0010035,M1,1,0,GO Biological Processes,19,response to inorganic substance,19_GO:0050896 response to stimulus,-5.684235609763412,15.052422360248448,8.95318790400002,30293,525,23,6,26.08695652173913,9.156053715170007,1410|3040|4490|4494|4495|5111,CRYAB|HBA2|MT1B|MT1F|MT1G|PCNA,-2.4701427161002845,0,1,0,0,-7.201851020400373,359.20553359683794,
1,-5.57101407062899,GO:0006882,M1,1,0,GO Biological Processes,19,intracellular zinc ion homeostasis,19_GO:0042592 homeostatic process,-5.57101407062899,109.7572463768116,17.997749486949647,30293,36,23,3,13.043478260869565,7.02237263554129,4490|4494|4495,MT1B|MT1F|MT1G,-2.4292280396427954,0,1,0,0,-7.201851020400373,359.20553359683794,
1,-5.534506337345714,GO:0071276,M1,1,0,GO Biological Processes,19,cellular response to cadmium ion,19_GO:0050896 response to stimulus,-5.534506337345714,106.79083431257345,17.74862976159313,30293,37,23,3,13.043478260869565,7.02237263554129,4490|4494|4495,MT1B|MT1F|MT1G,-2.4292280396427954,0,1,0,0,-7.201851020400373,359.20553359683794,
1,-5.534506337345714,WP3529,M1,1,0,WikiPathways,27,Zinc homeostasis,,-5.534506337345714,106.79083431257345,17.74862976159313,30293,37,23,3,13.043478260869565,7.02237263554129,4490|4494|4495,MT1B|MT1F|MT1G,-2.4292280396427954,0,1,0,0,-7.201851020400373,359.20553359683794,
1,-5.499005857359716,GO:0046688,M1,1,0,GO Biological Processes,19,response to copper ion,19_GO:0050896 response to stimulus,-5.499005857359716,103.98054919908468,17.50935325873267,30293,38,23,3,13.043478260869565,7.02237263554129,4490|4494|4495,MT1B|MT1F|MT1G,-2.4292280396427954,0,1,0,0,-7.201851020400373,359.20553359683794,
