_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-7.2,C0280324,M1,1,0,DisGeNET,35,Laryngeal Squamous Cell Carcinoma,,-7.2,18,11,30293,504,23,7,30,9.6,1401|1410|4490|4494|4495|4638|5111,CRP|CRYAB|MT1B|MT1F|MT1G|MYLK|PCNA,-3,0
1,-7.1,C0027697,M1,1,0,DisGeNET,35,Nephritis,,-7.1,27,12,30293,296,23,6,26,9.2,1285|1401|4490|4494|4495|6626,COL4A3|CRP|MT1B|MT1F|MT1G|SNRPA,-3,0
1,-7,C0206650,M1,1,0,DisGeNET,35,Fibroadenoma,,-7,44,14,30293,151,23,5,22,8.6,2091|4490|4494|4495|5111,FBL|MT1B|MT1F|MT1G|PCNA,-3,0
1,-6.8,C0025587,M1,1,0,DisGeNET,35,Metatarsalgia,,-6.8,2.6e+02,28,30293,15,23,3,13,7,4490|4494|4495,MT1B|MT1F|MT1G,-2.9,0
1,-6.7,C4285716,M1,1,0,DisGeNET,35,Melatonin deficiency,,-6.7,2.5e+02,27,30293,16,23,3,13,7,4490|4494|4495,MT1B|MT1F|MT1G,-2.9,0
1,-6.3,C1536085,M1,1,0,DisGeNET,35,Geographic Atrophy,,-6.3,62,16,30293,85,23,4,17,7.9,1285|1401|1410|1675,COL4A3|CRP|CRYAB|CFD,-2.6,0
1,-5.8,C1527311,M1,1,0,DisGeNET,35,Brain Edema,,-5.8,1.3e+02,20,30293,30,23,3,13,7,1401|4638|5270,CRP|MYLK|SERPINE2,-2.2,0
1,-5.5,C0022336,M1,1,0,DisGeNET,35,Creutzfeldt-Jakob disease,,-5.5,38,12,30293,137,23,4,17,7.9,1410|4490|4494|4495,CRYAB|MT1B|MT1F|MT1G,-1.9,0
1,-5.2,C0410158,M1,1,0,DisGeNET,35,Muscle damage,,-5.2,32,11,30293,163,23,4,17,7.9,1401|1410|4638|6638,CRP|CRYAB|MYLK|SNRPN,-1.7,0
1,-5.2,C3714542,M1,1,0,DisGeNET,35,"Lymphoma, Diffuse",,-5.2,81,15,30293,49,23,3,13,7,4490|4494|4495,MT1B|MT1F|MT1G,-1.7,0
1,-5,C0017658,M1,1,0,DisGeNET,35,Glomerulonephritis,,-5,17,8.7,30293,391,23,5,22,8.6,1285|1401|1675|5111|6626,COL4A3|CRP|CFD|PCNA|SNRPA,-1.6,0
1,-5,C0018023,M1,1,0,DisGeNET,35,Nodular Goiter,,-5,72,14,30293,55,23,3,13,7,4490|4494|4495,MT1B|MT1F|MT1G,-1.6,0
1,-5,C0752304,M1,1,0,DisGeNET,35,Hypoxic-Ischemic Encephalopathy,,-5,29,10,30293,182,23,4,17,7.9,1401|4490|4494|4495,CRP|MT1B|MT1F|MT1G,-1.6,0
1,-4.5,C0024143,M1,1,0,DisGeNET,35,Lupus Nephritis,,-4.5,13,7.5,30293,503,23,5,22,8.6,1401|4490|4494|4495|5111,CRP|MT1B|MT1F|MT1G|PCNA,-1.2,0
1,-4.5,C0162316,M1,1,0,DisGeNET,35,Iron deficiency anemia,,-4.5,48,12,30293,83,23,3,13,7,759|1401|3040,CA1|CRP|HBA2,-1.2,0
1,-4.5,C0039585,M1,1,0,DisGeNET,35,Androgen-Insensitivity Syndrome,,-4.5,21,8.8,30293,247,23,4,17,7.9,1401|4490|4494|4495,CRP|MT1B|MT1F|MT1G,-1.2,0
1,-4.1,C0022821,M1,1,0,DisGeNET,35,Kyphosis deformity of spine,,-4.1,17,7.9,30293,305,23,4,17,7.9,1401|4841|5111|6638,CRP|NONO|PCNA|SNRPN,-0.87,0
1,-4.1,C0020459,M1,1,0,DisGeNET,35,Hyperinsulinism,,-4.1,11,6.7,30293,620,23,5,22,8.6,1401|4490|4638|5111|6638,CRP|MT1B|MYLK|PCNA|SNRPN,-0.84,0
1,-4,C1145670,M1,1,0,DisGeNET,35,Respiratory Failure,,-4,17,7.7,30293,319,23,4,17,7.9,1401|1410|6638|7284,CRP|CRYAB|SNRPN|TUFM,-0.84,0
1,-4,C0033300,M1,1,0,DisGeNET,35,Progeria,,-4,33,9.7,30293,118,23,3,13,7,1401|5549|5831,CRP|PRELP|PYCR1,-0.84,0
1,-3.9,C0034067,M1,1,0,DisGeNET,35,Pulmonary Emphysema,,-3.9,15,7.3,30293,352,23,4,17,7.9,1401|2091|5111|5270,CRP|FBL|PCNA|SERPINE2,-0.72,0
1,-3.7,C0339573,M1,1,0,DisGeNET,35,"Glaucoma, Primary Open Angle",,-3.7,14,6.9,30293,383,23,4,17,7.9,1410|4490|4494|4495,CRYAB|MT1B|MT1F|MT1G,-0.61,0
1,-3.7,C0037315,M1,1,0,DisGeNET,35,Sleep Apnea Syndromes,,-3.7,27,8.6,30293,148,23,3,13,7,1401|1675|6638,CRP|CFD|SNRPN,-0.61,0
1,-3.6,C0271084,M1,1,0,DisGeNET,35,Exudative age-related macular degeneration,,-3.6,25,8.3,30293,158,23,3,13,7,1285|1401|1410,COL4A3|CRP|CRYAB,-0.55,0
1,-3.6,C0017601,M1,1,0,DisGeNET,35,Glaucoma,,-3.6,8.6,5.9,30293,769,23,5,22,8.6,1410|4490|4494|4495|4638,CRYAB|MT1B|MT1F|MT1G|MYLK,-0.55,0
1,-3.6,C1134719,M1,1,0,DisGeNET,35,Invasive Ductal Breast Carcinoma,,-3.6,13,6.6,30293,414,23,4,17,7.9,2091|4494|4638|5111,FBL|MT1F|MYLK|PCNA,-0.55,0
1,-3.6,C1862939,M1,1,0,DisGeNET,35,AMYOTROPHIC LATERAL SCLEROSIS 1,,-3.6,24,8.2,30293,164,23,3,13,7,4490|4494|4495,MT1B|MT1F|MT1G,-0.55,0
1,-3.6,C2267233,M1,1,0,DisGeNET,35,Neonatal Hypotonia,,-3.6,23,8,30293,169,23,3,13,7,4841|6638|7284,NONO|SNRPN|TUFM,-0.53,0
1,-3.5,C0206624,M1,1,0,DisGeNET,35,Hepatoblastoma,,-3.5,12,6.3,30293,452,23,4,17,7.9,4490|4494|4495|5111,MT1B|MT1F|MT1G|PCNA,-0.45,0
1,-3.4,C0595989,M1,1,0,DisGeNET,35,Carcinoma of larynx,,-3.4,12,6.3,30293,456,23,4,17,7.9,1410|4490|4494|4495,CRYAB|MT1B|MT1F|MT1G,-0.45,0
1,-3.4,C1858085,M1,1,0,DisGeNET,35,Malar flattening,,-3.4,21,7.5,30293,190,23,3,13,7,3040|4841|5831,HBA2|NONO|PYCR1,-0.42,0
1,-3.4,C0275518,M1,1,0,DisGeNET,35,Acute infectious disease,,-3.4,20,7.4,30293,198,23,3,13,7,759|1401|5270,CA1|CRP|SERPINE2,-0.38,0
1,-3.3,C0151468,M1,1,0,DisGeNET,35,Thyroid Gland Follicular Adenoma,,-3.3,20,7.3,30293,202,23,3,13,7,4495|5111|8857,MT1G|PCNA|FCGBP,-0.37,0
1,-3.2,C0030552,M1,1,0,DisGeNET,35,Paresis,,-3.2,18,7,30293,216,23,3,13,7,1401|1410|6638,CRP|CRYAB|SNRPN,-0.3,0
1,-3.2,C1306837,M1,1,0,DisGeNET,35,Papillary Renal Cell Carcinoma,,-3.2,18,6.9,30293,223,23,3,13,7,1410|4841|5831,CRYAB|NONO|PYCR1,-0.27,0
1,-3.2,C0040128,M1,1,0,DisGeNET,35,Thyroid Diseases,,-3.2,17,6.8,30293,230,23,3,13,7,4490|4494|4495,MT1B|MT1F|MT1G,-0.25,0
1,-3.1,C0010200,M1,1,0,DisGeNET,35,Coughing,,-3.1,17,6.7,30293,235,23,3,13,7,1401|1675|6638,CRP|CFD|SNRPN,-0.24,0
1,-3.1,C2347748,M1,1,0,DisGeNET,35,Adult Erythroleukemia,,-3.1,17,6.7,30293,236,23,3,13,7,3040|4841|5111,HBA2|NONO|PCNA,-0.24,0
1,-3.1,C4520840,M1,1,0,DisGeNET,35,Erythroleukemia (Erythroid/Myeloid),,-3.1,17,6.7,30293,237,23,3,13,7,3040|4841|5111,HBA2|NONO|PCNA,-0.24,0
1,-3,C3489532,M1,1,0,DisGeNET,35,Cone-Rod Dystrophy 2,,-3,16,6.4,30293,253,23,3,13,7,1401|4490|6638,CRP|MT1B|SNRPN,-0.18,0
1,-3,C0018213,M1,1,0,DisGeNET,35,Graves Disease,,-3,9,5.4,30293,585,23,4,17,7.9,4490|4494|4495|5111,MT1B|MT1F|MT1G|PCNA,-0.18,0
1,-3,C0020534,M1,1,0,DisGeNET,35,Orbital separation excessive,,-3,8.9,5.4,30293,590,23,4,17,7.9,3040|4638|4841|5831,HBA2|MYLK|NONO|PYCR1,-0.17,0
1,-3,C0271650,M1,1,0,DisGeNET,35,Impaired glucose tolerance,,-3,8.8,5.3,30293,596,23,4,17,7.9,1401|3040|4638|4841,CRP|HBA2|MYLK|NONO,-0.17,0
1,-2.9,C0016202,M1,1,0,DisGeNET,35,Flatfoot,,-2.9,14,6,30293,285,23,3,13,7,4638|4841|5831,MYLK|NONO|PYCR1,-0.064,0
1,-2.8,C0023440,M1,1,0,DisGeNET,35,Acute Erythroblastic Leukemia,,-2.8,13,5.8,30293,302,23,3,13,7,3040|4841|5111,HBA2|NONO|PCNA,-0.0013,0
1,-2.8,C0242383,M1,1,0,DisGeNET,35,Age related macular degeneration,,-2.8,7.7,4.9,30293,685,23,4,17,7.9,1285|1401|1410|1675,COL4A3|CRP|CRYAB|CFD,0,0
1,-2.7,C0221354,M1,1,0,DisGeNET,35,Frontal bossing,,-2.7,12,5.6,30293,321,23,3,13,7,3040|4841|5831,HBA2|NONO|PYCR1,0,0
1,-2.7,C0010417,M1,1,0,DisGeNET,35,Cryptorchidism,,-2.7,7.3,4.7,30293,725,23,4,17,7.9,3040|4638|5831|6638,HBA2|MYLK|PYCR1|SNRPN,0,0
1,-2.7,C0220641,M1,1,0,DisGeNET,35,Lip and Oral Cavity Carcinoma,,-2.7,7.2,4.7,30293,734,23,4,17,7.9,1285|1401|1410|5111,COL4A3|CRP|CRYAB|PCNA,0,0
1,-2.7,C0026106,M1,1,0,DisGeNET,35,Mild Mental Retardation,,-2.7,12,5.4,30293,340,23,3,13,7,4841|5831|51663,NONO|PYCR1|ZFR,0,0
1,-2.7,C0007787,M1,1,0,DisGeNET,35,Transient Ischemic Attack,,-2.7,11,5.4,30293,344,23,3,13,7,1401|4638|5111,CRP|MYLK|PCNA,0,0
1,-2.6,C0007107,M1,1,0,DisGeNET,35,Malignant neoplasm of larynx,,-2.6,11,5.3,30293,349,23,3,13,7,4490|4494|4495,MT1B|MT1F|MT1G,0,0
1,-2.6,C0153381,M1,1,0,DisGeNET,35,Malignant neoplasm of mouth,,-2.6,7,4.6,30293,756,23,4,17,7.9,1285|1401|1410|5111,COL4A3|CRP|CRYAB|PCNA,0,0
1,-2.6,C1704272,M1,1,0,DisGeNET,35,Benign Prostatic Hyperplasia,,-2.6,6.8,4.5,30293,770,23,4,17,7.9,1401|1675|5111|5831,CRP|CFD|PCNA|PYCR1,0,0
1,-2.6,C0349204,M1,1,0,DisGeNET,35,Nonorganic psychosis,,-2.6,11,5.1,30293,376,23,3,13,7,1401|3040|5831,CRP|HBA2|PYCR1,0,0
1,-2.5,C0011168,M1,1,0,DisGeNET,35,Deglutition Disorders,,-2.5,10,5,30293,389,23,3,13,7,1401|1410|5111,CRP|CRYAB|PCNA,0,0
1,-2.5,C0423110,M1,1,0,DisGeNET,35,Downward slant of palpebral fissure,,-2.5,10,5,30293,391,23,3,13,7,3040|4841|5831,HBA2|NONO|PYCR1,0,0
1,-2.5,C1290884,M1,1,0,DisGeNET,35,Inflammatory disorder,,-2.5,10,5,30293,391,23,3,13,7,1401|4638|5549,CRP|MYLK|PRELP,0,0
1,-2.5,C0149721,M1,1,0,DisGeNET,35,Left Ventricular Hypertrophy,,-2.5,9.8,4.9,30293,403,23,3,13,7,1285|1401|4841,COL4A3|CRP|NONO,0,0
1,-2.5,C0151517,M1,1,0,DisGeNET,35,Complete atrioventricular block,,-2.5,9.8,4.9,30293,403,23,3,13,7,1401|2091|4495,CRP|FBL|MT1G,0,0
1,-2.5,C0338106,M1,1,0,DisGeNET,35,Adenocarcinoma of colon,,-2.5,9.7,4.9,30293,406,23,3,13,7,1401|4841|5111,CRP|NONO|PCNA,0,0
1,-2.4,C0023267,M1,1,0,DisGeNET,35,Fibroid Tumor,,-2.4,9.6,4.8,30293,413,23,3,13,7,4638|5111|6638,MYLK|PCNA|SNRPN,0,0
1,-2.4,C0162429,M1,1,0,DisGeNET,35,Malnutrition,,-2.4,9.5,4.8,30293,417,23,3,13,7,1401|2091|5270,CRP|FBL|SERPINE2,0,0
1,-2.4,C0812413,M1,1,0,DisGeNET,35,Malignant Pleural Mesothelioma,,-2.4,9.4,4.8,30293,421,23,3,13,7,4490|4494|4495,MT1B|MT1F|MT1G,0,0
