Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
DisGeNET,35,C0280324,Laryngeal Squamous Cell Carcinoma,,-7.2,18,11,30293,504,23,7,30,9.6,1401|1410|4490|4494|4495|4638|5111,CRP|CRYAB|MT1B|MT1F|MT1G|MYLK|PCNA,-3,MyList
DisGeNET,35,C0027697,Nephritis,,-7.1,27,12,30293,296,23,6,26,9.2,1285|1401|4490|4494|4495|6626,COL4A3|CRP|MT1B|MT1F|MT1G|SNRPA,-3,MyList
DisGeNET,35,C0206650,Fibroadenoma,,-7,44,14,30293,151,23,5,22,8.6,2091|4490|4494|4495|5111,FBL|MT1B|MT1F|MT1G|PCNA,-3,MyList
DisGeNET,35,C0025587,Metatarsalgia,,-6.8,2.6e+02,28,30293,15,23,3,13,7,4490|4494|4495,MT1B|MT1F|MT1G,-2.9,MyList
DisGeNET,35,C4285716,Melatonin deficiency,,-6.7,2.5e+02,27,30293,16,23,3,13,7,4490|4494|4495,MT1B|MT1F|MT1G,-2.9,MyList
DisGeNET,35,C1536085,Geographic Atrophy,,-6.3,62,16,30293,85,23,4,17,7.9,1285|1401|1410|1675,COL4A3|CRP|CRYAB|CFD,-2.6,MyList
DisGeNET,35,C1527311,Brain Edema,,-5.8,1.3e+02,20,30293,30,23,3,13,7,1401|4638|5270,CRP|MYLK|SERPINE2,-2.2,MyList
DisGeNET,35,C0022336,Creutzfeldt-Jakob disease,,-5.5,38,12,30293,137,23,4,17,7.9,1410|4490|4494|4495,CRYAB|MT1B|MT1F|MT1G,-1.9,MyList
DisGeNET,35,C0410158,Muscle damage,,-5.2,32,11,30293,163,23,4,17,7.9,1401|1410|4638|6638,CRP|CRYAB|MYLK|SNRPN,-1.7,MyList
DisGeNET,35,C3714542,"Lymphoma, Diffuse",,-5.2,81,15,30293,49,23,3,13,7,4490|4494|4495,MT1B|MT1F|MT1G,-1.7,MyList
DisGeNET,35,C0017658,Glomerulonephritis,,-5,17,8.7,30293,391,23,5,22,8.6,1285|1401|1675|5111|6626,COL4A3|CRP|CFD|PCNA|SNRPA,-1.6,MyList
DisGeNET,35,C0018023,Nodular Goiter,,-5,72,14,30293,55,23,3,13,7,4490|4494|4495,MT1B|MT1F|MT1G,-1.6,MyList
DisGeNET,35,C0752304,Hypoxic-Ischemic Encephalopathy,,-5,29,10,30293,182,23,4,17,7.9,1401|4490|4494|4495,CRP|MT1B|MT1F|MT1G,-1.6,MyList
DisGeNET,35,C0024143,Lupus Nephritis,,-4.5,13,7.5,30293,503,23,5,22,8.6,1401|4490|4494|4495|5111,CRP|MT1B|MT1F|MT1G|PCNA,-1.2,MyList
DisGeNET,35,C0162316,Iron deficiency anemia,,-4.5,48,12,30293,83,23,3,13,7,759|1401|3040,CA1|CRP|HBA2,-1.2,MyList
DisGeNET,35,C0039585,Androgen-Insensitivity Syndrome,,-4.5,21,8.8,30293,247,23,4,17,7.9,1401|4490|4494|4495,CRP|MT1B|MT1F|MT1G,-1.2,MyList
