_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-2.2,GO:0045859,regulation of protein kinase activity,M1,1,0
1,-2.8,hsa04060,Cytokine-cytokine receptor interaction,M1,1,0
1,-2.5,GO:0019221,cytokine-mediated signaling pathway,M1,1,0
1,-3.3,R-HSA-397014,Muscle contraction,M1,1,0
1,-3.9,GO:0006941,striated muscle contraction,M1,1,0
1,-2.4,GO:0008015,blood circulation,M1,1,0
1,-2.1,GO:0018193,peptidyl-amino acid modification,M1,1,0
1,-1.7,GO:0008283,cell population proliferation,M1,1,0
1,-3.5,GO:0050731,positive regulation of peptidyl-tyrosine phosphorylation,M1,1,0
1,-2.5,GO:0032970,regulation of actin filament-based process,M1,1,0
1,-1.9,GO:0051338,regulation of transferase activity,M1,1,0
1,-3,GO:0001934,positive regulation of protein phosphorylation,M1,1,0
1,-2.3,R-HSA-5663202,Diseases of signal transduction by growth factor receptors and second messengers,M1,1,0
1,-3.4,GO:0048469,cell maturation,M1,1,0
1,-1.7,M5885,NABA MATRISOME ASSOCIATED,M1,1,0
1,-1.8,GO:0043408,regulation of MAPK cascade,M1,1,0
1,-2.2,GO:0043410,positive regulation of MAPK cascade,M1,1,0
1,-1.8,GO:0048232,male gamete generation,M1,1,0
1,-3.1,GO:0071695,anatomical structure maturation,M1,1,0
1,-2.2,GO:0022412,cellular process involved in reproduction in multicellular organism,M1,1,0
1,-2.5,GO:0031401,positive regulation of protein modification process,M1,1,0
1,-2,GO:0044057,regulation of system process,M1,1,0
1,-2.1,GO:0003013,circulatory system process,M1,1,0
1,-2.1,GO:0098609,cell-cell adhesion,M1,1,0
1,-2.3,GO:0042391,regulation of membrane potential,M1,1,0
1,-3.3,GO:0043269,regulation of monoatomic ion transport,M1,1,0
1,-3.7,GO:0006997,nucleus organization,M1,1,0
1,-2.1,GO:0032774,RNA biosynthetic process,M1,1,0
1,-2.6,GO:0007281,germ cell development,M1,1,0
1,-2.6,GO:0050808,synapse organization,M1,1,0
1,-1.7,GO:0044092,negative regulation of molecular function,M1,1,0
1,-2.7,GO:0045937,positive regulation of phosphate metabolic process,M1,1,0
1,-2.1,GO:0006351,DNA-templated transcription,M1,1,0
1,-2.8,GO:0003012,muscle system process,M1,1,0
1,-2.3,GO:0009410,response to xenobiotic stimulus,M1,1,0
1,-2.7,GO:0010562,positive regulation of phosphorus metabolic process,M1,1,0
1,-2.1,GO:0043549,regulation of kinase activity,M1,1,0
1,-1.9,GO:0007283,spermatogenesis,M1,1,0
1,-2.8,GO:0021700,developmental maturation,M1,1,0
1,-2.3,GO:0009611,response to wounding,M1,1,0
1,-3.1,GO:0050730,regulation of peptidyl-tyrosine phosphorylation,M1,1,0
1,-2.1,GO:0034330,cell junction organization,M1,1,0
1,-1.7,GO:0071345,cellular response to cytokine stimulus,M1,1,0
1,-1.6,GO:0009725,response to hormone,M1,1,0
1,-2.9,GO:0042327,positive regulation of phosphorylation,M1,1,0
1,-3.6,GO:0010959,regulation of metal ion transport,M1,1,0
1,-3.1,GO:0006936,muscle contraction,M1,1,0
