_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-3.937283011020389,GO:0006941,M1,1,0,GO Biological Processes,19,striated muscle contraction,19_GO:0032501 multicellular organismal process,-3.937283011020389,31.547916666666666,9.442433898702543,30286,120,24,3,12.5,6.750771560841522,1760|3741|7134,DMPK|KCNA5|TNNC1,0.0,0,1,1,1,-3.937283011020389,31.547916666666666,
1,-3.61276212626089,GO:0010959,M1,1,0,GO Biological Processes,19,regulation of metal ion transport,19_GO:0051179 localization,-3.61276212626089,12.81133671742809,6.645692939229605,30286,394,24,4,16.666666666666668,7.607257743127308,1760|2056|3690|3741,DMPK|EPO|ITGB3|KCNA5,0.0,0,1,0,0,-3.937283011020389,31.547916666666666,
1,-3.3227585976794973,GO:0043269,M1,1,0,GO Biological Processes,19,regulation of monoatomic ion transport,19_GO:0051179 localization,-3.3227585976794973,10.739716312056737,5.992956741664891,30286,470,24,4,16.666666666666668,7.607257743127308,1760|2056|3690|3741,DMPK|EPO|ITGB3|KCNA5,0.0,0,1,0,0,-3.937283011020389,31.547916666666666,
1,-3.254190368015625,R-HSA-397014,M1,1,0,Reactome Gene Sets,6,Muscle contraction,,-3.254190368015625,18.46707317073171,7.066779355180299,30286,205,24,3,12.5,6.750771560841522,1760|3741|7134,DMPK|KCNA5|TNNC1,0.0,0,1,0,0,-3.937283011020389,31.547916666666666,
1,-3.0662741681186954,GO:0006936,M1,1,0,GO Biological Processes,19,muscle contraction,19_GO:0032501 multicellular organismal process,-3.0662741681186954,15.906512605042018,6.501706209664447,30286,238,24,3,12.5,6.750771560841522,1760|3741|7134,DMPK|KCNA5|TNNC1,0.0,0,1,0,0,-3.937283011020389,31.547916666666666,
1,-2.7899388102480867,GO:0003012,M1,1,0,GO Biological Processes,19,muscle system process,19_GO:0032501 multicellular organismal process,-2.7899388102480867,12.746632996632997,5.729031750372101,30286,297,24,3,12.5,6.750771560841522,1760|3741|7134,DMPK|KCNA5|TNNC1,0.0,0,1,0,0,-3.937283011020389,31.547916666666666,
1,-2.3706484366494136,GO:0008015,M1,1,0,GO Biological Processes,19,blood circulation,19_GO:0032501 multicellular organismal process,-2.3706484366494136,9.056818181818182,4.671100689601572,30286,418,24,3,12.5,6.750771560841522,2056|3741|7134,EPO|KCNA5|TNNC1,0.0,0,1,0,0,-3.937283011020389,31.547916666666666,
1,-2.2922756801772666,GO:0042391,M1,1,0,GO Biological Processes,19,regulation of membrane potential,19_GO:0065007 biological regulation,-2.2922756801772666,8.48822869955157,4.48660376192465,30286,446,24,3,12.5,6.750771560841522,1738|1760|3741,DLD|DMPK|KCNA5,0.0,0,1,0,0,-3.937283011020389,31.547916666666666,
1,-2.136272689034483,GO:0003013,M1,1,0,GO Biological Processes,19,circulatory system process,19_GO:0032501 multicellular organismal process,-2.136272689034483,7.452263779527559,4.130159307849808,30286,508,24,3,12.5,6.750771560841522,2056|3741|7134,EPO|KCNA5|TNNC1,0.0,0,1,0,0,-3.937283011020389,31.547916666666666,
1,-2.018641509877357,GO:0044057,M1,1,0,GO Biological Processes,19,regulation of system process,19_GO:0032501 multicellular organismal process,-2.018641509877357,6.748217468805704,3.870118701061186,30286,561,24,3,12.5,6.750771560841522,1760|3741|7134,DMPK|KCNA5|TNNC1,0.0,0,1,0,0,-3.937283011020389,31.547916666666666,
