_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-5.2,C0027126,M1,1,0,DisGeNET,35,Myotonic Dystrophy,,-5.2,33,11,30286,155,24,4,17,7.6,250|268|1760|23531,ALPP|AMH|DMPK|MMD,-0.7,0
1,-4.7,C0024305,M1,1,0,DisGeNET,35,"Lymphoma, Non-Hodgkin",,-4.7,10,7.2,30286,733,24,6,25,8.8,250|308|1666|2056|3690|5925,ALPP|ANXA5|DECR1|EPO|ITGB3|RB1,-0.55,0
1,-4.3,C0004509,M1,1,0,DisGeNET,35,Azoospermia,,-4.3,20,8.5,30286,254,24,4,17,7.6,250|268|1760|7141,ALPP|AMH|DMPK|TNP1,-0.54,0
1,-4.3,C1536220,M1,1,0,DisGeNET,35,ST segment elevation myocardial infarction,,-4.3,19,8.3,30286,263,24,4,17,7.6,1666|1738|2056|3487,DECR1|DLD|EPO|IGFBP4,-0.54,0
1,-4.2,C0042510,M1,1,0,DisGeNET,35,Ventricular Fibrillation,,-4.2,39,11,30286,96,24,3,12,6.8,2056|3741|7134,EPO|KCNA5|TNNC1,-0.54,0
1,-4.2,C0040053,M1,1,0,DisGeNET,35,Thrombosis,,-4.2,39,11,30286,98,24,3,12,6.8,308|2056|3690,ANXA5|EPO|ITGB3,-0.54,0
1,-4.2,C0085278,M1,1,0,DisGeNET,35,Antiphospholipid Syndrome,,-4.2,38,10,30286,99,24,3,12,6.8,268|308|1666,AMH|ANXA5|DECR1,-0.54,0
1,-4,C0041948,M1,1,0,DisGeNET,35,Uremia,,-4,34,9.9,30286,110,24,3,12,6.8,250|1666|2056,ALPP|DECR1|EPO,-0.47,0
1,-4,C0032580,M1,1,0,DisGeNET,35,Adenomatous Polyposis Coli,,-4,10,6.6,30286,609,24,5,21,8.3,250|308|1738|2056|5925,ALPP|ANXA5|DLD|EPO|RB1,-0.47,0
1,-3.9,C0220620,M1,1,0,DisGeNET,35,Gastrointestinal Carcinoid Tumor,,-3.9,16,7.4,30286,323,24,4,17,7.6,250|268|3487|5925,ALPP|AMH|IGFBP4|RB1,-0.46,0
1,-3.8,C0031099,M1,1,0,DisGeNET,35,Periodontitis,,-3.8,9.3,6.2,30286,679,24,5,21,8.3,250|1666|1738|2056|10456,ALPP|DECR1|DLD|EPO|HAX1,-0.35,0
1,-3.8,C0042373,M1,1,0,DisGeNET,35,Vascular Diseases,,-3.8,9.2,6.1,30286,688,24,5,21,8.3,268|1666|1738|2056|23531,AMH|DECR1|DLD|EPO|MMD,-0.35,0
1,-3.7,C0019202,M1,1,0,DisGeNET,35,Hepatolenticular Degeneration,,-3.7,26,8.5,30286,146,24,3,12,6.8,250|308|5925,ALPP|ANXA5|RB1,-0.31,0
1,-3.6,C0278595,M1,1,0,DisGeNET,35,Adult Fibrosarcoma,,-3.6,13,6.7,30286,387,24,4,17,7.6,308|1666|1738|3690,ANXA5|DECR1|DLD|ITGB3,-0.3,0
1,-3.6,C0398623,M1,1,0,DisGeNET,35,Thrombophilia,,-3.6,24,8.1,30286,161,24,3,12,6.8,308|1738|3690,ANXA5|DLD|ITGB3,-0.29,0
1,-3.5,C0155626,M1,1,0,DisGeNET,35,Acute myocardial infarction,,-3.5,8.2,5.7,30286,766,24,5,21,8.3,308|1666|2056|3690|3741,ANXA5|DECR1|EPO|ITGB3|KCNA5,-0.29,0
1,-3.5,C0016057,M1,1,0,DisGeNET,35,Fibrosarcoma,,-3.5,12,6.5,30286,413,24,4,17,7.6,308|1666|1738|3690,ANXA5|DECR1|DLD|ITGB3,-0.29,0
1,-3.5,C0085409,M1,1,0,DisGeNET,35,"Polyendocrinopathies, Autoimmune",,-3.5,23,7.9,30286,166,24,3,12,6.8,268|308|2056,AMH|ANXA5|EPO,-0.29,0
1,-3.5,C0002895,M1,1,0,DisGeNET,35,"Anemia, Sickle Cell",,-3.5,12,6.3,30286,433,24,4,17,7.6,268|308|1666|2056,AMH|ANXA5|DECR1|EPO,-0.25,0
1,-3.4,C3250443,M1,1,0,DisGeNET,35,MYOTONIC DYSTROPHY 1,,-3.4,21,7.6,30286,178,24,3,12,6.8,250|268|1760,ALPP|AMH|DMPK,-0.25,0
1,-3.4,C0026985,M1,1,0,DisGeNET,35,Myelodysplasia,,-3.4,21,7.6,30286,181,24,3,12,6.8,1666|2056|10456,DECR1|EPO|HAX1,-0.25,0
1,-3.3,C0020473,M1,1,0,DisGeNET,35,Hyperlipidemia,,-3.3,11,6,30286,472,24,4,17,7.6,250|1666|1738|2056,ALPP|DECR1|DLD|EPO,-0.17,0
1,-3.3,C0520679,M1,1,0,DisGeNET,35,"Sleep Apnea, Obstructive",,-3.3,11,5.9,30286,480,24,4,17,7.6,308|1666|2056|23531,ANXA5|DECR1|EPO|MMD,-0.16,0
1,-3.2,C0279550,M1,1,0,DisGeNET,35,Adult Rhabdomyosarcoma,,-3.2,9.9,5.7,30286,509,24,4,17,7.6,250|1760|2056|5925,ALPP|DMPK|EPO|RB1,-0.14,0
1,-3.2,C0024668,M1,1,0,DisGeNET,35,"Mammary Neoplasms, Experimental",,-3.2,17,6.8,30286,218,24,3,12,6.8,2056|3690|5925,EPO|ITGB3|RB1,-0.14,0
1,-3.2,C0577631,M1,1,0,DisGeNET,35,Carotid Atherosclerosis,,-3.2,17,6.8,30286,219,24,3,12,6.8,308|1666|3690,ANXA5|DECR1|ITGB3,-0.14,0
1,-3.2,C0858252,M1,1,0,DisGeNET,35,Breast adenocarcinoma,,-3.2,17,6.8,30286,219,24,3,12,6.8,308|3690|5925,ANXA5|ITGB3|RB1,-0.14,0
1,-3.2,C0220611,M1,1,0,DisGeNET,35,Childhood Rhabdomyosarcoma,,-3.2,9.8,5.7,30286,517,24,4,17,7.6,250|1760|2056|5925,ALPP|DMPK|EPO|RB1,-0.14,0
1,-3.2,C0040028,M1,1,0,DisGeNET,35,"Thrombocythemia, Essential",,-3.2,17,6.8,30286,220,24,3,12,6.8,308|2056|3690,ANXA5|EPO|ITGB3,-0.14,0
1,-3.1,C0018799,M1,1,0,DisGeNET,35,Heart Diseases,,-3.1,9.4,5.5,30286,537,24,4,17,7.6,308|1666|2056|7134,ANXA5|DECR1|EPO|TNNC1,-0.097,0
1,-3.1,C0007789,M1,1,0,DisGeNET,35,Cerebral Palsy,,-3.1,16,6.5,30286,241,24,3,12,6.8,250|2056|3690,ALPP|EPO|ITGB3,-0.074,0
1,-3.1,C0282193,M1,1,0,DisGeNET,35,Iron Overload,,-3.1,16,6.5,30286,241,24,3,12,6.8,250|1666|2056,ALPP|DECR1|EPO,-0.074,0
1,-3,C0003811,M1,1,0,DisGeNET,35,Cardiac Arrhythmia,,-3,9,5.4,30286,559,24,4,17,7.6,1666|1760|3741|23531,DECR1|DMPK|KCNA5|MMD,-0.074,0
1,-3,C0035412,M1,1,0,DisGeNET,35,Rhabdomyosarcoma,,-3,8.9,5.4,30286,565,24,4,17,7.6,250|1760|2056|5925,ALPP|DMPK|EPO|RB1,-0.07,0
1,-3,C0018939,M1,1,0,DisGeNET,35,Hematological Disease,,-3,15,6.3,30286,255,24,3,12,6.8,250|2056|10456,ALPP|EPO|HAX1,-0.05,0
1,-3,C4551687,M1,1,0,DisGeNET,35,Sarcoma of soft tissue,,-3,15,6.2,30286,258,24,3,12,6.8,308|3690|5925,ANXA5|ITGB3|RB1,-0.048,0
1,-2.9,C0747845,M1,1,0,DisGeNET,35,early pregnancy,,-2.9,14,6,30286,273,24,3,12,6.8,268|308|8404,AMH|ANXA5|SPARCL1,0,0
1,-2.9,C0004623,M1,1,0,DisGeNET,35,Bacterial Infections,,-2.9,8.2,5.1,30286,616,24,4,17,7.6,308|1666|2056|3556,ANXA5|DECR1|EPO|IL1RAP,0,0
1,-2.8,C0003130,M1,1,0,DisGeNET,35,Anoxia,,-2.8,13,5.8,30286,287,24,3,12,6.8,2056|3690|3741,EPO|ITGB3|KCNA5,0,0
1,-2.8,C0035126,M1,1,0,DisGeNET,35,Reperfusion Injury,,-2.8,13,5.7,30286,300,24,3,12,6.8,308|2056|3690,ANXA5|EPO|ITGB3,0,0
1,-2.8,C1378703,M1,1,0,DisGeNET,35,Renal carcinoma,,-2.8,7.6,4.8,30286,665,24,4,17,7.6,308|1666|1738|2056,ANXA5|DECR1|DLD|EPO,0,0
1,-2.8,C0020619,M1,1,0,DisGeNET,35,Hypogonadism,,-2.8,12,5.7,30286,304,24,3,12,6.8,250|268|1760,ALPP|AMH|DMPK,0,0
1,-2.6,C0555198,M1,1,0,DisGeNET,35,Malignant Glioma,,-2.6,7,4.6,30286,724,24,4,17,7.6,2056|3690|5925|9589,EPO|ITGB3|RB1|WTAP,0,0
1,-2.6,C0002893,M1,1,0,DisGeNET,35,Refractory anemias,,-2.6,11,5.3,30286,340,24,3,12,6.8,250|2056|5925,ALPP|EPO|RB1,0,0
1,-2.6,C1318485,M1,1,0,DisGeNET,35,Liver regeneration disorder,,-2.6,11,5.2,30286,346,24,3,12,6.8,250|2056|5925,ALPP|EPO|RB1,0,0
1,-2.6,C0008626,M1,1,0,DisGeNET,35,Congenital chromosomal disease,,-2.6,6.7,4.4,30286,757,24,4,17,7.6,250|308|2056|5925,ALPP|ANXA5|EPO|RB1,0,0
1,-2.5,C0079773,M1,1,0,DisGeNET,35,"Lymphoma, T-Cell, Cutaneous",,-2.5,10,5.1,30286,367,24,3,12,6.8,308|1666|5925,ANXA5|DECR1|RB1,0,0
1,-2.5,C1449563,M1,1,0,DisGeNET,35,"Cardiomyopathy, Familial Idiopathic",,-2.5,6.5,4.4,30286,772,24,4,17,7.6,1666|2056|5925|7134,DECR1|EPO|RB1|TNNC1,0,0
1,-2.5,C3203102,M1,1,0,DisGeNET,35,Idiopathic pulmonary arterial hypertension,,-2.5,6.5,4.4,30286,776,24,4,17,7.6,308|1666|3690|3741,ANXA5|DECR1|ITGB3|KCNA5,0,0
1,-2.5,C0035078,M1,1,0,DisGeNET,35,Kidney Failure,,-2.5,10,5,30286,378,24,3,12,6.8,250|1666|2056,ALPP|DECR1|EPO,0,0
1,-2.5,C1861172,M1,1,0,DisGeNET,35,Venous Thromboembolism,,-2.5,10,5,30286,378,24,3,12,6.8,308|2056|3690,ANXA5|EPO|ITGB3,0,0
1,-2.5,C0008479,M1,1,0,DisGeNET,35,Chondrosarcoma,,-2.5,9.8,4.9,30286,385,24,3,12,6.8,308|3690|5925,ANXA5|ITGB3|RB1,0,0
1,-2.4,C0149721,M1,1,0,DisGeNET,35,Left Ventricular Hypertrophy,,-2.4,9.4,4.8,30286,403,24,3,12,6.8,308|1666|2056,ANXA5|DECR1|EPO,0,0
1,-2.4,C4551683,M1,1,0,DisGeNET,35,Adrenal Gland Pheochromocytoma,,-2.4,9.1,4.7,30286,416,24,3,12,6.8,2056|5925|7141,EPO|RB1|TNP1,0,0
1,-2.4,C0812413,M1,1,0,DisGeNET,35,Malignant Pleural Mesothelioma,,-2.4,9,4.7,30286,421,24,3,12,6.8,250|1666|3487,ALPP|DECR1|IGFBP4,0,0
1,-2.3,C4552766,M1,1,0,DisGeNET,35,Miscarriage,,-2.3,8.9,4.6,30286,426,24,3,12,6.8,250|268|308,ALPP|AMH|ANXA5,0,0
1,-2.3,C0008497,M1,1,0,DisGeNET,35,Choriocarcinoma,,-2.3,8.8,4.6,30286,431,24,3,12,6.8,250|308|1738,ALPP|ANXA5|DLD,0,0
1,-2.3,C0948089,M1,1,0,DisGeNET,35,Acute Coronary Syndrome,,-2.3,8.6,4.5,30286,439,24,3,12,6.8,308|3487|3690,ANXA5|IGFBP4|ITGB3,0,0
1,-2.3,C2145472,M1,1,0,DisGeNET,35,Urothelial Carcinoma,,-2.3,8.5,4.5,30286,448,24,3,12,6.8,1666|8404|23531,DECR1|SPARCL1|MMD,0,0
1,-2.2,C4721532,M1,1,0,DisGeNET,35,"Lymphoma, Non-Hodgkin, Familial",,-2.2,8.2,4.4,30286,462,24,3,12,6.8,308|2056|5925,ANXA5|EPO|RB1,0,0
1,-2.2,C0024232,M1,1,0,DisGeNET,35,Lymphatic Metastasis,,-2.2,8.2,4.4,30286,463,24,3,12,6.8,308|7134|8404,ANXA5|TNNC1|SPARCL1,0,0
1,-2.2,C0242339,M1,1,0,DisGeNET,35,Dyslipidemias,,-2.2,8,4.3,30286,471,24,3,12,6.8,250|1666|2056,ALPP|DECR1|EPO,0,0
1,-2.2,C0038525,M1,1,0,DisGeNET,35,Subarachnoid Hemorrhage,,-2.2,7.6,4.2,30286,501,24,3,12,6.8,1666|2056|3690,DECR1|EPO|ITGB3,0,0
1,-2.2,C0004943,M1,1,0,DisGeNET,35,Behcet Syndrome,,-2.2,7.5,4.2,30286,502,24,3,12,6.8,268|308|3690,AMH|ANXA5|ITGB3,0,0
1,-2.1,C0025362,M1,1,0,DisGeNET,35,Mental Retardation,,-2.1,7.5,4.2,30286,504,24,3,12,6.8,268|1738|3556,AMH|DLD|IL1RAP,0,0
1,-2.1,C0021364,M1,1,0,DisGeNET,35,Male infertility,,-2.1,7.3,4.1,30286,516,24,3,12,6.8,268|308|7141,AMH|ANXA5|TNP1,0,0
1,-2.1,C0281361,M1,1,0,DisGeNET,35,Adenocarcinoma of pancreas,,-2.1,7.3,4.1,30286,518,24,3,12,6.8,250|2056|3556,ALPP|EPO|IL1RAP,0,0
1,-2.1,C0011853,M1,1,0,DisGeNET,35,"Diabetes Mellitus, Experimental",,-2.1,7.3,4.1,30286,522,24,3,12,6.8,2056|3690|3741,EPO|ITGB3|KCNA5,0,0
1,-2.1,C0238198,M1,1,0,DisGeNET,35,Gastrointestinal Stromal Tumors,,-2.1,7,4,30286,538,24,3,12,6.8,308|5925|8404,ANXA5|RB1|SPARCL1,0,0
