Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
DisGeNET,35,C0027126,Myotonic Dystrophy,,-5.2,33,11,30286,155,24,4,17,7.6,250|268|1760|23531,ALPP|AMH|DMPK|MMD,-0.7,MyList
DisGeNET,35,C0024305,"Lymphoma, Non-Hodgkin",,-4.7,10,7.2,30286,733,24,6,25,8.8,250|308|1666|2056|3690|5925,ALPP|ANXA5|DECR1|EPO|ITGB3|RB1,-0.55,MyList
DisGeNET,35,C0004509,Azoospermia,,-4.3,20,8.5,30286,254,24,4,17,7.6,250|268|1760|7141,ALPP|AMH|DMPK|TNP1,-0.54,MyList
DisGeNET,35,C1536220,ST segment elevation myocardial infarction,,-4.3,19,8.3,30286,263,24,4,17,7.6,1666|1738|2056|3487,DECR1|DLD|EPO|IGFBP4,-0.54,MyList
DisGeNET,35,C0042510,Ventricular Fibrillation,,-4.2,39,11,30286,96,24,3,12,6.8,2056|3741|7134,EPO|KCNA5|TNNC1,-0.54,MyList
DisGeNET,35,C0040053,Thrombosis,,-4.2,39,11,30286,98,24,3,12,6.8,308|2056|3690,ANXA5|EPO|ITGB3,-0.54,MyList
DisGeNET,35,C0085278,Antiphospholipid Syndrome,,-4.2,38,10,30286,99,24,3,12,6.8,268|308|1666,AMH|ANXA5|DECR1,-0.54,MyList
DisGeNET,35,C0041948,Uremia,,-4,34,9.9,30286,110,24,3,12,6.8,250|1666|2056,ALPP|DECR1|EPO,-0.47,MyList
DisGeNET,35,C0032580,Adenomatous Polyposis Coli,,-4,10,6.6,30286,609,24,5,21,8.3,250|308|1738|2056|5925,ALPP|ANXA5|DLD|EPO|RB1,-0.47,MyList
DisGeNET,35,C0220620,Gastrointestinal Carcinoid Tumor,,-3.9,16,7.4,30286,323,24,4,17,7.6,250|268|3487|5925,ALPP|AMH|IGFBP4|RB1,-0.46,MyList
DisGeNET,35,C0031099,Periodontitis,,-3.8,9.3,6.2,30286,679,24,5,21,8.3,250|1666|1738|2056|10456,ALPP|DECR1|DLD|EPO|HAX1,-0.35,MyList
DisGeNET,35,C0042373,Vascular Diseases,,-3.8,9.2,6.1,30286,688,24,5,21,8.3,268|1666|1738|2056|23531,AMH|DECR1|DLD|EPO|MMD,-0.35,MyList
DisGeNET,35,C0019202,Hepatolenticular Degeneration,,-3.7,26,8.5,30286,146,24,3,12,6.8,250|308|5925,ALPP|ANXA5|RB1,-0.31,MyList
DisGeNET,35,C0278595,Adult Fibrosarcoma,,-3.6,13,6.7,30286,387,24,4,17,7.6,308|1666|1738|3690,ANXA5|DECR1|DLD|ITGB3,-0.3,MyList
DisGeNET,35,C0398623,Thrombophilia,,-3.6,24,8.1,30286,161,24,3,12,6.8,308|1738|3690,ANXA5|DLD|ITGB3,-0.29,MyList
DisGeNET,35,C0155626,Acute myocardial infarction,,-3.5,8.2,5.7,30286,766,24,5,21,8.3,308|1666|2056|3690|3741,ANXA5|DECR1|EPO|ITGB3|KCNA5,-0.29,MyList
DisGeNET,35,C0016057,Fibrosarcoma,,-3.5,12,6.5,30286,413,24,4,17,7.6,308|1666|1738|3690,ANXA5|DECR1|DLD|ITGB3,-0.29,MyList
DisGeNET,35,C0085409,"Polyendocrinopathies, Autoimmune",,-3.5,23,7.9,30286,166,24,3,12,6.8,268|308|2056,AMH|ANXA5|EPO,-0.29,MyList
DisGeNET,35,C0002895,"Anemia, Sickle Cell",,-3.5,12,6.3,30286,433,24,4,17,7.6,268|308|1666|2056,AMH|ANXA5|DECR1|EPO,-0.25,MyList
DisGeNET,35,C3250443,MYOTONIC DYSTROPHY 1,,-3.4,21,7.6,30286,178,24,3,12,6.8,250|268|1760,ALPP|AMH|DMPK,-0.25,MyList
