0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
223229_at,229004_at,222549_at,224753_at,228503_at,222581_at,227198_at,237466_s_at,AFFX-PheX-5_at,237328_at,236706_at,237009_at,236919_at,238862_at,238611_at,238642_at,238082_at,238018_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229004_at,222549_at,224753_at,228503_at,222581_at,227198_at,237466_s_at,AFFX-PheX-5_at,236919_at,238862_at,238611_at,238018_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223229_at,229004_at,222549_at,224753_at,228503_at,222581_at,227198_at,237466_s_at,AFFX-PheX-5_at,237328_at,236706_at,237009_at,236919_at,238853_at,238862_at,238611_at,238642_at,238082_at,238018_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223229_at,229004_at,222549_at,224753_at,228503_at,222581_at,227198_at,237466_s_at,AFFX-PheX-5_at,237328_at,237172_at,236706_at,237009_at,237108_x_at,236919_at,238853_at,238862_at,238611_at,238642_at,238082_at,238018_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223229_at,229004_at,222549_at,222616_s_at,224753_at,228503_at,222581_at,227198_at,237466_s_at,AFFX-PheX-5_at,237310_at,237328_at,237323_at,237390_at,237408_at,237172_at,237660_at,237790_at,236641_at,236632_at,236590_at,236706_at,236471_at,236458_at,236450_at,236437_at,236555_at,236563_at,237009_at,236973_at,237094_at,237108_x_at,237051_at,236826_at,236821_at,236809_at,236919_at,236873_at,238751_at,238853_at,238842_at,238840_at,238862_at,238798_at,238701_x_at,238588_at,238611_at,238601_at,238642_at,239136_at,239084_at,239148_at,238948_at,238967_at,238082_at,238018_at,,,,,,,,,,,,,,,,,,,,,,
223229_at,229004_at,222549_at,222616_s_at,224753_at,228503_at,222581_at,227198_at,237466_s_at,AFFX-PheX-5_at,237328_at,237172_at,237660_at,236641_at,236706_at,236437_at,237009_at,237108_x_at,236826_at,236919_at,238751_at,238853_at,238862_at,238611_at,238642_at,238948_at,238967_at,238082_at,238018_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223229_at,229004_at,222549_at,222616_s_at,224753_at,228503_at,222581_at,227198_at,237466_s_at,AFFX-PheX-5_at,237328_at,237390_at,237408_at,237172_at,237660_at,237790_at,236641_at,236632_at,236706_at,236450_at,236437_at,236555_at,237009_at,237094_at,237108_x_at,237051_at,236826_at,236821_at,236809_at,236919_at,238751_at,238853_at,238862_at,238611_at,238601_at,238642_at,239136_at,239084_at,239148_at,238948_at,238967_at,238082_at,238018_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223229_at,229004_at,222549_at,224753_at,228503_at,222581_at,227198_at,237466_s_at,AFFX-PheX-5_at,237328_at,236706_at,237009_at,236919_at,238853_at,238862_at,238611_at,238642_at,238082_at,238018_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223229_at,229004_at,222549_at,222616_s_at,224753_at,228503_at,222581_at,227198_at,237466_s_at,AFFX-PheX-5_at,237310_at,237328_at,237323_at,237390_at,237408_at,237172_at,237660_at,237790_at,236641_at,236632_at,236590_at,236706_at,236471_at,236458_at,236450_at,236437_at,236555_at,236563_at,237009_at,236973_at,237094_at,237108_x_at,237051_at,236826_at,236821_at,236809_at,236919_at,236873_at,238751_at,238853_at,238842_at,238840_at,238862_at,238798_at,238588_at,238611_at,238601_at,238642_at,239136_at,239084_at,239148_at,238948_at,238967_at,238082_at,238018_at,,,,,,,,,,,,,,,,,,,,,,,
223229_at,229004_at,222549_at,222616_s_at,224753_at,228503_at,222581_at,227198_at,237466_s_at,AFFX-PheX-5_at,237328_at,237408_at,237172_at,237660_at,236641_at,236632_at,236706_at,236450_at,236437_at,236555_at,237009_at,237094_at,237108_x_at,236826_at,236809_at,236919_at,238751_at,238853_at,238862_at,238611_at,238601_at,238642_at,239136_at,239084_at,239148_at,238948_at,238967_at,238082_at,238018_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
