M11313_s_at,A2M
L32179_at,AADAC
M95627_at,AAMP
U40391_rna1_at,AANAT
D32050_at,AARS1
S75578_s_at,ABAT
U80226_s_at,ABAT
L32961_at,ABAT
U18235_at,ABCA2
U78735_at,ABCA3
U88667_at,ABCA4
X58723_at,ABCB1
M14758_at,ABCB1
U18237_at,ABCB10
M23234_s_at,ABCB4
AC002486_at,ABCB5
X78338_at,ABCC1
L05628_s_at,ABCC1
U49248_at,ABCC2
X95715_at,ABCC6
U63455_at,ABCC8
U52111_rna3_at,ABCD1
U28150_at,ABCD2
X58528_s_at,ABCD3
M81182_s_at,ABCD3
X74987_s_at,ABCE1
X91249_at,ABCG1
L07548_at,ABHD14A-ACY1
X12433_at,ABHD2
X95677_at,ABI2
U23435_s_at,ABI2
X95632_s_at,ABI2
X16416_at,ABL1
M35296_at,ABL2
D31883_at,ABLIM1
U15197_at,ABO
X84746_at,ABO
U01147_at,ABR
D63877_at,ABRAXAS2
X14813_at,ACAA1
D16294_at,ACAA2
M74096_at,ACADL
M91432_at,ACADM
Z80345_rna1_s_at,ACADS
U12778_at,ACADSB
D43682_s_at,ACADVL
M55172_at,ACAN
D30758_at,ACAP1
D26069_at,ACAP2
D10511_at,ACAT1
M26657_s_at,ACE
M55040_at,ACHE
S71129_at,ACHE
X85785_rna1_at,ACKR1
U67784_at,ACKR3
X64330_at,ACLY
Z11559_at,ACO1
U80040_at,ACO2
L40401_at,ACOT1
U91316_at,ACOT7
S69189_at,ACOX1
X95190_at,ACOX2
U25849_at,ACP1
X15525_rna1_at,ACP2
M24902_at,ACP3
J04430_s_at,ACP5
Y00970_at,ACR
S65583_rna1_at,ACRV1
D10040_at,ACSL1
L09229_s_at,ACSL1
D16350_at,ACSM3
M64936_at,ACSM3
X80062_at,ACSM3
M20543_at,ACTA1
X13839_at,ACTA2
AFFX-HSAC07/X00351_5_at,ACTB
AFFX-HSAC07/X00351_M_at,ACTB
AFFX-HSAC07/X00351_3_at,ACTB
M10277_s_at,ACTB
X00351_f_at,ACTB
AFFX-HSAC07/X00351_3_st,ACTB
AFFX-HSAC07/X00351_5_st,ACTB
AFFX-HSAC07/X00351_M_st,ACTB
J00073_at,ACTC1
M19283_at,ACTG1
D00654_at,ACTG2
U20582_at,ACTL8
M95178_at,ACTN1
M86406_at,ACTN2
M86407_at,ACTN3
X82206_s_at,ACTR1A
Z14978_at,ACTR1A
X82207_at,ACTR1B
Z22534_at,ACVR1
Z22536_at,ACVR1B
M93415_at,ACVR2A
X77533_at,ACVR2B
L17075_s_at,ACVRL1
X84194_at,ACYP1
X84195_at,ACYP2
M13792_at,ADA
Z48579_at,ADAM10
D17390_at,ADAM11
U41767_s_at,ADAM15
U86755_s_at,ADAM17
U69611_at,ADAM17
X99374_s_at,ADAM2
Y10615_at,ADAM3B
D26579_at,ADAM8
U41766_s_at,ADAM9
U10439_at,ADAR
U76421_at,ADARB1
L05500_at,ADCY1
L21993_at,ADCY2
D25538_at,ADCY7
Z35309_at,ADCY8
S83513_s_at,ADCYAP1
D17516_at,ADCYAP1R1
L07261_s_at,ADD1
Z68280_cds2_s_at,ADD1
S81083_cds1_at,ADD2
U43959_at,ADD2
X58199_s_at,ADD2
U37122_at,ADD3
M37712_at,ADGRA3
X81479_at,ADGRE1
U76764_s_at,ADGRE5
X81892_at,ADGRG2
M12963_s_at,ADH1A
X03350_at,ADH1B
X56411_rna1_at,ADH4
M81118_at,ADH5
M68895_rna1_at,ADH6
X63359_at,ADH6
L39009_at,ADH7
X76342_at,ADH7
D45371_at,ADIPOQ
D45370_at,ADIRF
U50196_at,ADK
U33936_s_at,ADK
D14874_at,ADM
L22214_at,ADORA1
X68487_at,ADORA2B
L77730_at,ADORA3
D32202_at,ADRA1A
M76446_at,ADRA1D
M23533_at,ADRA2A
M34041_at,ADRA2B
U72648_s_at,ADRA2C
M15169_at,ADRB2
J02960_cds1_s_at,ADRB2
X70811_at,ADRB3
M29932_s_at,ADRB3
D64154_at,ADRM1
X65867_at,ADSL
X66503_at,ADSS2
D86479_at,AEBP1
D25248_at,AFAP1
L13773_at,AFF1
L76569_at,AFF2
U48436_s_at,AFF2
X95463_s_at,AFF2
U34360_at,AFF3
L32140_at,AFM
M10950_cds2_at,AFP
V01514_at,AFP
X55330_at,AGA
D79989_at,AGAP2
U89336_cds3_at,AGER
L42025_rna1_at,AGFG1
U84011_s_at,AGL
U56417_at,AGPAT1
U56418_at,AGPAT2
Y09443_at,AGPS
K02215_at,AGT
S77410_at,AGTR1
D13814_s_at,AGTR1
U20860_at,AGTR2
X53414_at,AGXT
M61832_s_at,AHCY
U79259_at,AHDC1
M80899_at,AHNAK
L19872_at,AHR
M16961_at,AHSG
U19713_s_at,AIF1
U10117_at,AIMP1
U24169_at,AIMP2
J04809_rna1_at,AK1
X60673_rna1_at,AK4
X97335_at,AKAP1
U00957_at,AKAP10
U81607_at,AKAP12
U03634_at,AKAP13
M90359_at,AKAP5
U17195_at,AKAP6
AC000066_at,AKAP9
