Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
Oncogenic Signatures,4,M2660,CSR LATE UP.V1 UP,,-4.9,28,10,30286,166,26,4,15,7.1,1503|4502|4522|4605,CTPS1|MT2A|MTHFD1|MYBL2,-0.7,MyList
Hallmark Gene Sets,23,M5925,HALLMARK E2F TARGETS,,-4.6,23,9.3,30286,200,26,4,15,7.1,1503|4605|9837|11004,CTPS1|MYBL2|GINS1|KIF2C,-0.7,MyList
GO Biological Processes,19,GO:0005975,carbohydrate metabolic process,19_GO:0008152 metabolic process,-4.5,13,7.6,30286,435,26,5,19,7.7,1117|2760|3418|5973|9446,CHI3L2|GM2A|IDH2|RENBP|GSTO1,-0.7,MyList
GO Biological Processes,19,GO:1903047,mitotic cell cycle process,19_GO:0009987 cellular process,-4.2,12,7,30286,505,26,5,19,7.7,901|4605|9837|9928|11004,CCNG2|MYBL2|GINS1|KIF14|KIF2C,-0.52,MyList
GO Biological Processes,19,GO:0050852,T cell receptor signaling pathway,19_GO:0002376 immune system process,-3.9,31,9.3,30286,113,26,3,12,6.3,916|11118|11120,CD3E|BTN3A2|BTN2A1,-0.38,MyList
GO Biological Processes,19,GO:0000278,mitotic cell cycle,19_GO:0009987 cellular process,-3.9,9.9,6.4,30286,588,26,5,19,7.7,901|4605|9837|9928|11004,CCNG2|MYBL2|GINS1|KIF14|KIF2C,-0.38,MyList
WikiPathways,27,WP4630,Measles virus infection,,-3.7,26,8.5,30286,136,26,3,12,6.3,916|3561|5610,CD3E|IL2RG|EIF2AK2,-0.31,MyList
KEGG Pathway,24,hsa05162,Measles,,-3.7,25,8.4,30286,138,26,3,12,6.3,916|3561|5610,CD3E|IL2RG|EIF2AK2,-0.31,MyList
GO Biological Processes,19,GO:0000070,mitotic sister chromatid segregation,19_GO:0009987 cellular process,-3.6,25,8.3,30286,140,26,3,12,6.3,4605|9928|11004,MYBL2|KIF14|KIF2C,-0.31,MyList
GO Biological Processes,19,GO:0000819,sister chromatid segregation,19_GO:0009987 cellular process,-3.6,24,8.2,30286,144,26,3,12,6.3,4605|9928|11004,MYBL2|KIF14|KIF2C,-0.31,MyList
GO Biological Processes,19,GO:0050851,antigen receptor-mediated signaling pathway,19_GO:0002376 immune system process,-3.5,22,7.8,30286,159,26,3,12,6.3,916|11118|11120,CD3E|BTN3A2|BTN2A1,-0.22,MyList
