_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-3.2,M5934,HALLMARK XENOBIOTIC METABOLISM,M1,1,0
1,-2.4,GO:0002253,activation of immune response,M1,1,0
1,-2.5,GO:0002764,immune response-regulating signaling pathway,M1,1,0
1,-1.6,GO:0001775,cell activation,M1,1,0
1,-1.8,GO:0045321,leukocyte activation,M1,1,0
1,-4.2,GO:1903047,mitotic cell cycle process,M1,1,0
1,-3.3,M2641,GCNP SHH UP LATE.V1 UP,M1,1,0
1,-4.9,M2660,CSR LATE UP.V1 UP,M1,1,0
1,-2.5,GO:0008283,cell population proliferation,M1,1,0
1,-2,GO:0051301,cell division,M1,1,0
1,-3.3,GO:0019752,carboxylic acid metabolic process,M1,1,0
1,-3.9,GO:0000278,mitotic cell cycle,M1,1,0
1,-3.3,M2812,RPS14 DN.V1 DN,M1,1,0
1,-2.1,GO:0046649,lymphocyte activation,M1,1,0
1,-2,GO:0009117,nucleotide metabolic process,M1,1,0
1,-1.6,GO:0007420,brain development,M1,1,0
1,-2.3,GO:0051656,establishment of organelle localization,M1,1,0
1,-2.7,M2867,TBK1.DF UP,M1,1,0
1,-3.7,hsa05162,Measles,M1,1,0
1,-3.4,GO:0140014,mitotic nuclear division,M1,1,0
1,-3.1,GO:0051276,chromosome organization,M1,1,0
1,-3.5,GO:0050851,antigen receptor-mediated signaling pathway,M1,1,0
1,-2.7,M2864,TBK1.DF DN,M1,1,0
1,-2,GO:0006753,nucleoside phosphate metabolic process,M1,1,0
1,-3,GO:1901136,carbohydrate derivative catabolic process,M1,1,0
1,-3.6,GO:0000819,sister chromatid segregation,M1,1,0
1,-4.5,GO:0005975,carbohydrate metabolic process,M1,1,0
1,-2,GO:0051640,organelle localization,M1,1,0
1,-1.5,GO:0060322,head development,M1,1,0
1,-2.4,R-HSA-1280218,Adaptive Immune System,M1,1,0
1,-3.6,GO:0000070,mitotic sister chromatid segregation,M1,1,0
1,-3.2,M5901,HALLMARK G2M CHECKPOINT,M1,1,0
1,-2.6,GO:0002757,immune response-activating signaling pathway,M1,1,0
1,-1.7,GO:0009792,embryo development ending in birth or egg hatching,M1,1,0
1,-2.8,GO:0002768,immune response-regulating cell surface receptor signaling pathway,M1,1,0
1,-2.5,GO:0048285,organelle fission,M1,1,0
1,-2.4,R-HSA-1280215,Cytokine Signaling in Immune system,M1,1,0
1,-1.8,GO:0043009,chordate embryonic development,M1,1,0
1,-3.7,WP4630,Measles virus infection,M1,1,0
1,-2.6,GO:0000280,nuclear division,M1,1,0
1,-2.6,GO:0007059,chromosome segregation,M1,1,0
1,-1.9,R-HSA-69278,"Cell Cycle, Mitotic",M1,1,0
1,-2.2,GO:0009410,response to xenobiotic stimulus,M1,1,0
1,-1.7,R-HSA-1640170,Cell Cycle,M1,1,0
1,-4.6,M5925,HALLMARK E2F TARGETS,M1,1,0
1,-2.6,GO:0042110,T cell activation,M1,1,0
1,-3.9,GO:0050852,T cell receptor signaling pathway,M1,1,0
1,-1.8,GO:0055086,nucleobase-containing small molecule metabolic process,M1,1,0
1,-1.7,GO:0050778,positive regulation of immune response,M1,1,0
1,-1.6,GO:0071345,cellular response to cytokine stimulus,M1,1,0
1,-2.9,GO:0002429,immune response-activating cell surface receptor signaling pathway,M1,1,0
1,-2.1,GO:0001819,positive regulation of cytokine production,M1,1,0
1,-3.2,M5930,HALLMARK EPITHELIAL MESENCHYMAL TRANSITION,M1,1,0
1,-3,GO:0098813,nuclear chromosome segregation,M1,1,0
