_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-6.7,M39047,M1,1,0,Cell Type Signatures,7,FAN EMBRYONIC CTX BRAIN NAIVE LIKE T CELL,,-6.7,37,13,30286,158,26,5,19,7.7,916|1117|2014|3561|11118,CD3E|CHI3L2|EMP3|IL2RG|BTN3A2,-2.2,0
1,-5.4,M41687,M1,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG PROLIFERATING NK T CELL,,-5.4,36,12,30286,129,26,4,15,7.1,3418|4605|9928|11004,IDH2|MYBL2|KIF14|KIF2C,-1.3,0
1,-5.3,M39046,M1,1,0,Cell Type Signatures,7,FAN EMBRYONIC CTX BRAIN EFFECTOR T CELL,,-5.3,36,12,30286,131,26,4,15,7.1,916|2014|3561|11118,CD3E|EMP3|IL2RG|BTN3A2,-1.3,0
1,-5.1,M39021,M1,1,0,Cell Type Signatures,7,FAN EMBRYONIC CTX BIG GROUPS BRAIN IMMUNE,,-5.1,31,11,30286,148,26,4,15,7.1,916|2014|3561|11118,CD3E|EMP3|IL2RG|BTN3A2,-1.3,0
1,-5.1,M41697,M1,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG EREG DENDRITIC CELL,,-5.1,12,7.9,30286,579,26,6,23,8.3,2014|4502|6303|9446|11010|22936,EMP3|MT2A|SAT1|GSTO1|GLIPR1|ELL2,-1.3,0
1,-4.6,M41720,M1,1,0,Cell Type Signatures,7,FAN OVARY CL18 B LYMPHOCYTE,,-4.6,14,7.8,30286,422,26,5,19,7.7,2014|3561|4605|6303|11010,EMP3|IL2RG|MYBL2|SAT1|GLIPR1,-0.93,0
1,-4.4,M41715,M1,1,0,Cell Type Signatures,7,FAN OVARY CL13 MONOCYTE MACROPHAGE,,-4.4,13,7.4,30286,458,26,5,19,7.7,2014|3561|6303|9446|11010,EMP3|IL2RG|SAT1|GSTO1|GLIPR1,-0.82,0
1,-4.3,M39096,M1,1,0,Cell Type Signatures,7,ZHONG PFC C1 OPC,,-4.3,20,8.4,30286,238,26,4,15,7.1,2014|4502|9928|11004,EMP3|MT2A|KIF14|KIF2C,-0.79,0
1,-4.2,M39103,M1,1,0,Cell Type Signatures,7,ZHONG PFC C1 MICROGLIA,,-4.2,18,8.1,30286,257,26,4,15,7.1,1503|3418|9837|11004,CTPS1|IDH2|GINS1|KIF2C,-0.74,0
1,-4,M39263,M1,1,0,Cell Type Signatures,7,HU FETAL RETINA BLOOD,,-4,17,7.7,30286,282,26,4,15,7.1,2014|4502|9446|22936,EMP3|MT2A|GSTO1|ELL2,-0.62,0
1,-3.9,M39051,M1,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HMGL,,-3.9,10,6.5,30286,577,26,5,19,7.7,2760|6303|9928|11010|22936,GM2A|SAT1|KIF14|GLIPR1|ELL2,-0.58,0
1,-3.9,M39059,M1,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HPROGBP,,-3.9,16,7.4,30286,300,26,4,15,7.1,4605|9837|9928|11004,MYBL2|GINS1|KIF14|KIF2C,-0.58,0
1,-3.8,M39060,M1,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HPROGFPL,,-3.8,14,7.1,30286,323,26,4,15,7.1,4605|9837|9928|11004,MYBL2|GINS1|KIF14|KIF2C,-0.49,0
1,-3.5,M39266,M1,1,0,Cell Type Signatures,7,HU FETAL RETINA MICROGLIA,,-3.5,12,6.5,30286,382,26,4,15,7.1,2030|2760|6303|11010,SLC29A1|GM2A|SAT1|GLIPR1,-0.25,0
1,-3.5,M40243,M1,1,0,Cell Type Signatures,7,DESCARTES FETAL LUNG LYMPHOID CELLS,,-3.5,22,7.8,30286,157,26,3,12,6.3,916|1117|3561,CD3E|CHI3L2|IL2RG,-0.25,0
1,-3.5,M41700,M1,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG OLR1 CLASSICAL MONOCYTE CELL,,-3.5,8,5.6,30286,726,26,5,19,7.7,2014|4502|6303|9446|22936,EMP3|MT2A|SAT1|GSTO1|ELL2,-0.25,0
1,-3.5,M41714,M1,1,0,Cell Type Signatures,7,FAN OVARY CL12 T LYMPHOCYTE NK CELL 2,,-3.5,22,7.7,30286,161,26,3,12,6.3,2014|3561|11010,EMP3|IL2RG|GLIPR1,-0.25,0
1,-3.4,M40211,M1,1,0,Cell Type Signatures,7,DESCARTES FETAL INTESTINE LYMPHOID CELLS,,-3.4,21,7.6,30286,164,26,3,12,6.3,916|1117|3561,CD3E|CHI3L2|IL2RG,-0.24,0
1,-3.3,M41752,M1,1,0,Cell Type Signatures,7,RUBENSTEIN SKELETAL MUSCLE T CELLS,,-3.3,19,7.2,30286,181,26,3,12,6.3,916|2014|3561,CD3E|EMP3|IL2RG,-0.2,0
1,-3.3,M39077,M1,1,0,Cell Type Signatures,7,ZHONG PFC MAJOR TYPES MICROGLIA,,-3.3,11,6,30286,438,26,4,15,7.1,2030|2760|6303|11010,SLC29A1|GM2A|SAT1|GLIPR1,-0.2,0
1,-3.3,M39054,M1,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HRGL2B,,-3.3,11,5.9,30286,440,26,4,15,7.1,4605|9837|9928|11004,MYBL2|GINS1|KIF14|KIF2C,-0.2,0
1,-3.1,M40226,M1,1,0,Cell Type Signatures,7,DESCARTES FETAL KIDNEY LYMPHOID CELLS,,-3.1,17,6.7,30286,207,26,3,12,6.3,916|1117|3561,CD3E|CHI3L2|IL2RG,-0.077,0
1,-3,M39036,M1,1,0,Cell Type Signatures,7,FAN EMBRYONIC CTX NSC 2,,-3,15,6.3,30286,233,26,3,12,6.3,9837|9928|11004,GINS1|KIF14|KIF2C,0,0
1,-2.9,M41706,M1,1,0,Cell Type Signatures,7,FAN OVARY CL4 T LYMPHOCYTE NK CELL 1,,-2.9,14,6.1,30286,246,26,3,12,6.3,916|2014|3561,CD3E|EMP3|IL2RG,0,0
1,-2.9,M41709,M1,1,0,Cell Type Signatures,7,FAN OVARY CL7 ANGEIOGENIC ENDOTHELIAL CELL,,-2.9,14,6,30286,251,26,3,12,6.3,4502|6303|10443,MT2A|SAT1|N4BP2L2,0,0
1,-2.9,M41698,M1,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG TREM2 DENDRITIC CELL,,-2.9,8.1,5.1,30286,572,26,4,15,7.1,2030|2760|5973|9446,SLC29A1|GM2A|RENBP|GSTO1,0,0
1,-2.7,M40157,M1,1,0,Cell Type Signatures,7,DESCARTES FETAL CEREBELLUM MICROGLIA,,-2.7,7.3,4.7,30286,642,26,4,15,7.1,2760|5973|11010|22936,GM2A|RENBP|GLIPR1|ELL2,0,0
1,-2.7,M39115,M1,1,0,Cell Type Signatures,7,AIZARANI LIVER C11 HEPATOCYTES 1,,-2.7,12,5.5,30286,298,26,3,12,6.3,4502|4522|22936,MT2A|MTHFD1|ELL2,0,0
1,-2.7,M40025,M1,1,0,Cell Type Signatures,7,BUSSLINGER DUODENAL DIFFERENTIATING STEM CELLS,,-2.7,11,5.4,30286,305,26,3,12,6.3,3418|4502|4522,IDH2|MT2A|MTHFD1,0,0
1,-2.6,M39053,M1,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HRGL2C,,-2.6,11,5.2,30286,326,26,3,12,6.3,4502|4605|9837,MT2A|MYBL2|GINS1,0,0
1,-2.6,M39238,M1,1,0,Cell Type Signatures,7,LAKE ADULT KIDNEY C19 COLLECTING DUCT INTERCALATED CELLS TYPE A MEDULLA,,-2.6,11,5.2,30286,326,26,3,12,6.3,3418|4502|6303,IDH2|MT2A|SAT1,0,0
1,-2.5,M41751,M1,1,0,Cell Type Signatures,7,RUBENSTEIN SKELETAL MUSCLE MYELOID CELLS,,-2.5,10,5,30286,347,26,3,12,6.3,2014|6303|11010,EMP3|SAT1|GLIPR1,0,0
1,-2.5,M39229,M1,1,0,Cell Type Signatures,7,LAKE ADULT KIDNEY C10 THIN ASCENDING LIMB,,-2.5,9.9,4.9,30286,353,26,3,12,6.3,3418|4502|6303,IDH2|MT2A|SAT1,0,0
1,-2.5,M39061,M1,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HPROGFPM,,-2.5,9.8,4.9,30286,356,26,3,12,6.3,9837|9928|11004,GINS1|KIF14|KIF2C,0,0
1,-2.4,M39166,M1,1,0,Cell Type Signatures,7,GAO LARGE INTESTINE ADULT CI MESENCHYMAL CELLS,,-2.4,9.7,4.9,30286,361,26,3,12,6.3,916|2014|11010,CD3E|EMP3|GLIPR1,0,0
1,-2.4,M41711,M1,1,0,Cell Type Signatures,7,FAN OVARY CL9 PUTATIVE APOPTOTIC ENDOTHELIAL CELL,,-2.4,9.6,4.8,30286,365,26,3,12,6.3,4502|5610|6303,MT2A|EIF2AK2|SAT1,0,0
1,-2.4,M41688,M1,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG NEUTROPHIL CELL,,-2.4,9.5,4.8,30286,368,26,3,12,6.3,2014|3561|6303,EMP3|IL2RG|SAT1,0,0
1,-2.4,M39204,M1,1,0,Cell Type Signatures,7,HAY BONE MARROW NK CELLS,,-2.4,9.4,4.8,30286,370,26,3,12,6.3,3561|9638|11118,IL2RG|FEZ1|BTN3A2,0,0
1,-2.4,M39022,M1,1,0,Cell Type Signatures,7,FAN EMBRYONIC CTX BIG GROUPS MICROGLIA,,-2.4,9.4,4.8,30286,371,26,3,12,6.3,2760|6303|11010,GM2A|SAT1|GLIPR1,0,0
1,-2.4,M39264,M1,1,0,Cell Type Signatures,7,HU FETAL RETINA FIBROBLAST,,-2.4,9.1,4.7,30286,385,26,3,12,6.3,2014|4502|9446,EMP3|MT2A|GSTO1,0,0
1,-2.1,M41690,M1,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG BASOPHIL MAST 2 CELL,,-2.1,7,3.9,30286,502,26,3,12,6.3,2014|5973|22936,EMP3|RENBP|ELL2,0,0
