_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-5,C4733095,M1,1,0,DisGeNET,35,HER2-negative breast cancer,,-5,29,10,30286,160,26,4,15,7.1,3561|4605|5610|11004,IL2RG|MYBL2|EIF2AK2|KIF2C,-1.3,0
1,-4.3,C1997217,M1,1,0,DisGeNET,35,Low grade glioma,,-4.3,41,11,30286,85,26,3,12,6.3,2014|3418|4605,EMP3|IDH2|MYBL2,-0.79,0
1,-3.4,C0008074,M1,1,0,DisGeNET,35,"Child Development Disorders, Pervasive",,-3.4,21,7.5,30286,168,26,3,12,6.3,9638|11118|11120,FEZ1|BTN3A2|BTN2A1,-0.23,0
1,-3.3,C0023530,M1,1,0,DisGeNET,35,Leukopenia,,-3.3,11,5.9,30286,440,26,4,15,7.1,2030|4522|9837|10443,SLC29A1|MTHFD1|GINS1|N4BP2L2,-0.2,0
1,-3.1,C0079772,M1,1,0,DisGeNET,35,T-Cell Lymphoma,,-3.1,9.6,5.6,30286,485,26,4,15,7.1,916|3418|3561|5610,CD3E|IDH2|IL2RG|EIF2AK2,-0.077,0
1,-3,C0282612,M1,1,0,DisGeNET,35,Prostatic Intraepithelial Neoplasias,,-3,15,6.3,30286,230,26,3,12,6.3,4502|11010|22936,MT2A|GLIPR1|ELL2,0,0
1,-3,C0024312,M1,1,0,DisGeNET,35,Lymphopenia,,-3,15,6.2,30286,239,26,3,12,6.3,1503|3561|4522,CTPS1|IL2RG|MTHFD1,0,0
1,-2.8,C4086152,M1,1,0,DisGeNET,35,Childhood Astrocytoma,,-2.8,7.6,4.8,30286,615,26,4,15,7.1,901|3418|9928|11010,CCNG2|IDH2|KIF14|GLIPR1,0,0
1,-2.7,C0085110,M1,1,0,DisGeNET,35,Severe Combined Immunodeficiency,,-2.7,12,5.6,30286,284,26,3,12,6.3,916|3561|4522,CD3E|IL2RG|MTHFD1,0,0
1,-2.7,C0007138,M1,1,0,DisGeNET,35,"Carcinoma, Transitional Cell",,-2.7,7.5,4.8,30286,622,26,4,15,7.1,916|2014|3418|9446,CD3E|EMP3|IDH2|GSTO1,0,0
1,-2.7,C1960398,M1,1,0,DisGeNET,35,HER2-positive carcinoma of breast,,-2.7,12,5.6,30286,288,26,3,12,6.3,3561|5610|11004,IL2RG|EIF2AK2|KIF2C,0,0
1,-2.7,C0023465,M1,1,0,DisGeNET,35,Acute monocytic leukemia,,-2.7,7.4,4.7,30286,633,26,4,15,7.1,3418|3561|5610|11010,IDH2|IL2RG|EIF2AK2|GLIPR1,0,0
1,-2.7,C0085669,M1,1,0,DisGeNET,35,Acute leukemia,,-2.7,7.3,4.7,30286,639,26,4,15,7.1,1503|3418|4522|5610,CTPS1|IDH2|MTHFD1|EIF2AK2,0,0
1,-2.6,C1861403,M1,1,0,DisGeNET,35,Variable expressivity,,-2.6,11,5.2,30286,319,26,3,12,6.3,916|2760|9928,CD3E|GM2A|KIF14,0,0
1,-2.6,C3900098,M1,1,0,DisGeNET,35,Adult Myelodysplastic Syndrome,,-2.6,11,5.1,30286,332,26,3,12,6.3,2030|3418|11010,SLC29A1|IDH2|GLIPR1,0,0
