Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
Cell Type Signatures,7,M39047,FAN EMBRYONIC CTX BRAIN NAIVE LIKE T CELL,,-6.7,37,13,30286,158,26,5,19,7.7,916|1117|2014|3561|11118,CD3E|CHI3L2|EMP3|IL2RG|BTN3A2,-2.2,MyList
Cell Type Signatures,7,M41687,TRAVAGLINI LUNG PROLIFERATING NK T CELL,,-5.4,36,12,30286,129,26,4,15,7.1,3418|4605|9928|11004,IDH2|MYBL2|KIF14|KIF2C,-1.3,MyList
Cell Type Signatures,7,M39046,FAN EMBRYONIC CTX BRAIN EFFECTOR T CELL,,-5.3,36,12,30286,131,26,4,15,7.1,916|2014|3561|11118,CD3E|EMP3|IL2RG|BTN3A2,-1.3,MyList
Cell Type Signatures,7,M39021,FAN EMBRYONIC CTX BIG GROUPS BRAIN IMMUNE,,-5.1,31,11,30286,148,26,4,15,7.1,916|2014|3561|11118,CD3E|EMP3|IL2RG|BTN3A2,-1.3,MyList
Cell Type Signatures,7,M41697,TRAVAGLINI LUNG EREG DENDRITIC CELL,,-5.1,12,7.9,30286,579,26,6,23,8.3,2014|4502|6303|9446|11010|22936,EMP3|MT2A|SAT1|GSTO1|GLIPR1|ELL2,-1.3,MyList
DisGeNET,35,C4733095,HER2-negative breast cancer,,-5,29,10,30286,160,26,4,15,7.1,3561|4605|5610|11004,IL2RG|MYBL2|EIF2AK2|KIF2C,-1.3,MyList
Cell Type Signatures,7,M41720,FAN OVARY CL18 B LYMPHOCYTE,,-4.6,14,7.8,30286,422,26,5,19,7.7,2014|3561|4605|6303|11010,EMP3|IL2RG|MYBL2|SAT1|GLIPR1,-0.93,MyList
Cell Type Signatures,7,M41715,FAN OVARY CL13 MONOCYTE MACROPHAGE,,-4.4,13,7.4,30286,458,26,5,19,7.7,2014|3561|6303|9446|11010,EMP3|IL2RG|SAT1|GSTO1|GLIPR1,-0.82,MyList
Cell Type Signatures,7,M39096,ZHONG PFC C1 OPC,,-4.3,20,8.4,30286,238,26,4,15,7.1,2014|4502|9928|11004,EMP3|MT2A|KIF14|KIF2C,-0.79,MyList
DisGeNET,35,C1997217,Low grade glioma,,-4.3,41,11,30286,85,26,3,12,6.3,2014|3418|4605,EMP3|IDH2|MYBL2,-0.79,MyList
Cell Type Signatures,7,M39103,ZHONG PFC C1 MICROGLIA,,-4.2,18,8.1,30286,257,26,4,15,7.1,1503|3418|9837|11004,CTPS1|IDH2|GINS1|KIF2C,-0.74,MyList
Cell Type Signatures,7,M39263,HU FETAL RETINA BLOOD,,-4,17,7.7,30286,282,26,4,15,7.1,2014|4502|9446|22936,EMP3|MT2A|GSTO1|ELL2,-0.62,MyList
Cell Type Signatures,7,M39051,MANNO MIDBRAIN NEUROTYPES HMGL,,-3.9,10,6.5,30286,577,26,5,19,7.7,2760|6303|9928|11010|22936,GM2A|SAT1|KIF14|GLIPR1|ELL2,-0.58,MyList
Cell Type Signatures,7,M39059,MANNO MIDBRAIN NEUROTYPES HPROGBP,,-3.9,16,7.4,30286,300,26,4,15,7.1,4605|9837|9928|11004,MYBL2|GINS1|KIF14|KIF2C,-0.58,MyList
Cell Type Signatures,7,M39060,MANNO MIDBRAIN NEUROTYPES HPROGFPL,,-3.8,14,7.1,30286,323,26,4,15,7.1,4605|9837|9928|11004,MYBL2|GINS1|KIF14|KIF2C,-0.49,MyList
Cell Type Signatures,7,M39266,HU FETAL RETINA MICROGLIA,,-3.5,12,6.5,30286,382,26,4,15,7.1,2030|2760|6303|11010,SLC29A1|GM2A|SAT1|GLIPR1,-0.25,MyList
Cell Type Signatures,7,M40243,DESCARTES FETAL LUNG LYMPHOID CELLS,,-3.5,22,7.8,30286,157,26,3,12,6.3,916|1117|3561,CD3E|CHI3L2|IL2RG,-0.25,MyList
Cell Type Signatures,7,M41700,TRAVAGLINI LUNG OLR1 CLASSICAL MONOCYTE CELL,,-3.5,8,5.6,30286,726,26,5,19,7.7,2014|4502|6303|9446|22936,EMP3|MT2A|SAT1|GSTO1|ELL2,-0.25,MyList
Cell Type Signatures,7,M41714,FAN OVARY CL12 T LYMPHOCYTE NK CELL 2,,-3.5,22,7.7,30286,161,26,3,12,6.3,2014|3561|11010,EMP3|IL2RG|GLIPR1,-0.25,MyList
Cell Type Signatures,7,M40211,DESCARTES FETAL INTESTINE LYMPHOID CELLS,,-3.4,21,7.6,30286,164,26,3,12,6.3,916|1117|3561,CD3E|CHI3L2|IL2RG,-0.24,MyList
DisGeNET,35,C0008074,"Child Development Disorders, Pervasive",,-3.4,21,7.5,30286,168,26,3,12,6.3,9638|11118|11120,FEZ1|BTN3A2|BTN2A1,-0.23,MyList
Cell Type Signatures,7,M41752,RUBENSTEIN SKELETAL MUSCLE T CELLS,,-3.3,19,7.2,30286,181,26,3,12,6.3,916|2014|3561,CD3E|EMP3|IL2RG,-0.2,MyList
Cell Type Signatures,7,M39077,ZHONG PFC MAJOR TYPES MICROGLIA,,-3.3,11,6,30286,438,26,4,15,7.1,2030|2760|6303|11010,SLC29A1|GM2A|SAT1|GLIPR1,-0.2,MyList
Cell Type Signatures,7,M39054,MANNO MIDBRAIN NEUROTYPES HRGL2B,,-3.3,11,5.9,30286,440,26,4,15,7.1,4605|9837|9928|11004,MYBL2|GINS1|KIF14|KIF2C,-0.2,MyList
DisGeNET,35,C0023530,Leukopenia,,-3.3,11,5.9,30286,440,26,4,15,7.1,2030|4522|9837|10443,SLC29A1|MTHFD1|GINS1|N4BP2L2,-0.2,MyList
Cell Type Signatures,7,M40226,DESCARTES FETAL KIDNEY LYMPHOID CELLS,,-3.1,17,6.7,30286,207,26,3,12,6.3,916|1117|3561,CD3E|CHI3L2|IL2RG,-0.077,MyList
DisGeNET,35,C0079772,T-Cell Lymphoma,,-3.1,9.6,5.6,30286,485,26,4,15,7.1,916|3418|3561|5610,CD3E|IDH2|IL2RG|EIF2AK2,-0.077,MyList
DisGeNET,35,C0282612,Prostatic Intraepithelial Neoplasias,,-3,15,6.3,30286,230,26,3,12,6.3,4502|11010|22936,MT2A|GLIPR1|ELL2,0,MyList
Cell Type Signatures,7,M39036,FAN EMBRYONIC CTX NSC 2,,-3,15,6.3,30286,233,26,3,12,6.3,9837|9928|11004,GINS1|KIF14|KIF2C,0,MyList
DisGeNET,35,C0024312,Lymphopenia,,-3,15,6.2,30286,239,26,3,12,6.3,1503|3561|4522,CTPS1|IL2RG|MTHFD1,0,MyList
Cell Type Signatures,7,M41706,FAN OVARY CL4 T LYMPHOCYTE NK CELL 1,,-2.9,14,6.1,30286,246,26,3,12,6.3,916|2014|3561,CD3E|EMP3|IL2RG,0,MyList
Cell Type Signatures,7,M41709,FAN OVARY CL7 ANGEIOGENIC ENDOTHELIAL CELL,,-2.9,14,6,30286,251,26,3,12,6.3,4502|6303|10443,MT2A|SAT1|N4BP2L2,0,MyList
Cell Type Signatures,7,M41698,TRAVAGLINI LUNG TREM2 DENDRITIC CELL,,-2.9,8.1,5.1,30286,572,26,4,15,7.1,2030|2760|5973|9446,SLC29A1|GM2A|RENBP|GSTO1,0,MyList
DisGeNET,35,C4086152,Childhood Astrocytoma,,-2.8,7.6,4.8,30286,615,26,4,15,7.1,901|3418|9928|11010,CCNG2|IDH2|KIF14|GLIPR1,0,MyList
DisGeNET,35,C0085110,Severe Combined Immunodeficiency,,-2.7,12,5.6,30286,284,26,3,12,6.3,916|3561|4522,CD3E|IL2RG|MTHFD1,0,MyList
DisGeNET,35,C0007138,"Carcinoma, Transitional Cell",,-2.7,7.5,4.8,30286,622,26,4,15,7.1,916|2014|3418|9446,CD3E|EMP3|IDH2|GSTO1,0,MyList
DisGeNET,35,C1960398,HER2-positive carcinoma of breast,,-2.7,12,5.6,30286,288,26,3,12,6.3,3561|5610|11004,IL2RG|EIF2AK2|KIF2C,0,MyList
DisGeNET,35,C0023465,Acute monocytic leukemia,,-2.7,7.4,4.7,30286,633,26,4,15,7.1,3418|3561|5610|11010,IDH2|IL2RG|EIF2AK2|GLIPR1,0,MyList
DisGeNET,35,C0085669,Acute leukemia,,-2.7,7.3,4.7,30286,639,26,4,15,7.1,1503|3418|4522|5610,CTPS1|IDH2|MTHFD1|EIF2AK2,0,MyList
Cell Type Signatures,7,M40157,DESCARTES FETAL CEREBELLUM MICROGLIA,,-2.7,7.3,4.7,30286,642,26,4,15,7.1,2760|5973|11010|22936,GM2A|RENBP|GLIPR1|ELL2,0,MyList
Cell Type Signatures,7,M39115,AIZARANI LIVER C11 HEPATOCYTES 1,,-2.7,12,5.5,30286,298,26,3,12,6.3,4502|4522|22936,MT2A|MTHFD1|ELL2,0,MyList
Cell Type Signatures,7,M40025,BUSSLINGER DUODENAL DIFFERENTIATING STEM CELLS,,-2.7,11,5.4,30286,305,26,3,12,6.3,3418|4502|4522,IDH2|MT2A|MTHFD1,0,MyList
DisGeNET,35,C1861403,Variable expressivity,,-2.6,11,5.2,30286,319,26,3,12,6.3,916|2760|9928,CD3E|GM2A|KIF14,0,MyList
Cell Type Signatures,7,M39238,LAKE ADULT KIDNEY C19 COLLECTING DUCT INTERCALATED CELLS TYPE A MEDULLA,,-2.6,11,5.2,30286,326,26,3,12,6.3,3418|4502|6303,IDH2|MT2A|SAT1,0,MyList
Cell Type Signatures,7,M39053,MANNO MIDBRAIN NEUROTYPES HRGL2C,,-2.6,11,5.2,30286,326,26,3,12,6.3,4502|4605|9837,MT2A|MYBL2|GINS1,0,MyList
DisGeNET,35,C3900098,Adult Myelodysplastic Syndrome,,-2.6,11,5.1,30286,332,26,3,12,6.3,2030|3418|11010,SLC29A1|IDH2|GLIPR1,0,MyList
DisGeNET,35,C2347761,Childhood Myelodysplastic Syndrome,,-2.5,10,5.1,30286,335,26,3,12,6.3,2030|3418|11010,SLC29A1|IDH2|GLIPR1,0,MyList
Cell Type Signatures,7,M41751,RUBENSTEIN SKELETAL MUSCLE MYELOID CELLS,,-2.5,10,5,30286,347,26,3,12,6.3,2014|6303|11010,EMP3|SAT1|GLIPR1,0,MyList
Cell Type Signatures,7,M39229,LAKE ADULT KIDNEY C10 THIN ASCENDING LIMB,,-2.5,9.9,4.9,30286,353,26,3,12,6.3,3418|4502|6303,IDH2|MT2A|SAT1,0,MyList
Cell Type Signatures,7,M39061,MANNO MIDBRAIN NEUROTYPES HPROGFPM,,-2.5,9.8,4.9,30286,356,26,3,12,6.3,9837|9928|11004,GINS1|KIF14|KIF2C,0,MyList
Cell Type Signatures,7,M39166,GAO LARGE INTESTINE ADULT CI MESENCHYMAL CELLS,,-2.4,9.7,4.9,30286,361,26,3,12,6.3,916|2014|11010,CD3E|EMP3|GLIPR1,0,MyList
Cell Type Signatures,7,M41711,FAN OVARY CL9 PUTATIVE APOPTOTIC ENDOTHELIAL CELL,,-2.4,9.6,4.8,30286,365,26,3,12,6.3,4502|5610|6303,MT2A|EIF2AK2|SAT1,0,MyList
Cell Type Signatures,7,M41688,TRAVAGLINI LUNG NEUTROPHIL CELL,,-2.4,9.5,4.8,30286,368,26,3,12,6.3,2014|3561|6303,EMP3|IL2RG|SAT1,0,MyList
Cell Type Signatures,7,M39204,HAY BONE MARROW NK CELLS,,-2.4,9.4,4.8,30286,370,26,3,12,6.3,3561|9638|11118,IL2RG|FEZ1|BTN3A2,0,MyList
Cell Type Signatures,7,M39022,FAN EMBRYONIC CTX BIG GROUPS MICROGLIA,,-2.4,9.4,4.8,30286,371,26,3,12,6.3,2760|6303|11010,GM2A|SAT1|GLIPR1,0,MyList
DisGeNET,35,C0003504,Aortic Valve Insufficiency,,-2.4,9.3,4.7,30286,377,26,3,12,6.3,916|2030|3418,CD3E|SLC29A1|IDH2,0,MyList
DisGeNET,35,C0035078,Kidney Failure,,-2.4,9.2,4.7,30286,378,26,3,12,6.3,3418|4502|5973,IDH2|MT2A|RENBP,0,MyList
Cell Type Signatures,7,M39264,HU FETAL RETINA FIBROBLAST,,-2.4,9.1,4.7,30286,385,26,3,12,6.3,2014|4502|9446,EMP3|MT2A|GSTO1,0,MyList
DisGeNET,35,C0027947,Neutropenia,,-2.4,9,4.6,30286,389,26,3,12,6.3,2030|9837|10443,SLC29A1|GINS1|N4BP2L2,0,MyList
DisGeNET,35,C0542476,Forgetful,,-2.2,8.1,4.4,30286,429,26,3,12,6.3,2030|5610|9446,SLC29A1|EIF2AK2|GSTO1,0,MyList
DisGeNET,35,C0085580,Essential Hypertension,,-2.2,7.9,4.3,30286,445,26,3,12,6.3,4522|5973|9446,MTHFD1|RENBP|GSTO1,0,MyList
DisGeNET,35,C2145472,Urothelial Carcinoma,,-2.2,7.8,4.3,30286,448,26,3,12,6.3,2014|3418|9446,EMP3|IDH2|GSTO1,0,MyList
DisGeNET,35,C0242339,Dyslipidemias,,-2.1,7.4,4.1,30286,471,26,3,12,6.3,3418|5973|11120,IDH2|RENBP|BTN2A1,0,MyList
DisGeNET,35,C0032927,Precancerous Conditions,,-2.1,7.4,4.1,30286,471,26,3,12,6.3,3418|4605|9446,IDH2|MYBL2|GSTO1,0,MyList
Cell Type Signatures,7,M41690,TRAVAGLINI LUNG BASOPHIL MAST 2 CELL,,-2.1,7,3.9,30286,502,26,3,12,6.3,2014|5973|22936,EMP3|RENBP|ELL2,0,MyList
DisGeNET,35,C0023493,Adult T-Cell Lymphoma/Leukemia,,-2,6.5,3.8,30286,540,26,3,12,6.3,3561|5973|9446,IL2RG|RENBP|GSTO1,0,MyList
DisGeNET,35,C0001973,"Alcoholic Intoxication, Chronic",,-1.9,6.1,3.6,30286,577,26,3,12,6.3,2030|2760|6303,SLC29A1|GM2A|SAT1,0,MyList
DisGeNET,35,C0020459,Hyperinsulinism,,-1.8,5.6,3.4,30286,620,26,3,12,6.3,901|4502|5973,CCNG2|MT2A|RENBP,0,MyList
DisGeNET,35,C0011991,Diarrhea,,-1.8,5.5,3.4,30286,631,26,3,12,6.3,3561|6303|9837,IL2RG|SAT1|GINS1,0,MyList
DisGeNET,35,C0019348,Herpes Simplex Infections,,-1.8,5.4,3.3,30286,645,26,3,12,6.3,2030|4605|5610,SLC29A1|MYBL2|EIF2AK2,0,MyList
DisGeNET,35,C0085207,Gestational Diabetes,,-1.8,5.4,3.3,30286,649,26,3,12,6.3,901|2030|6303,CCNG2|SLC29A1|SAT1,0,MyList
DisGeNET,35,C4521042,Complete Trisomy 21 Syndrome,,-1.7,5.2,3.2,30286,668,26,3,12,6.3,4502|4522|5973,MT2A|MTHFD1|RENBP,0,MyList
DisGeNET,35,C0242383,Age related macular degeneration,,-1.7,5.1,3.2,30286,685,26,3,12,6.3,3561|4502|5973,IL2RG|MT2A|RENBP,0,MyList
DisGeNET,35,C4551686,Malignant neoplasm of soft tissue,,-1.7,5,3.1,30286,699,26,3,12,6.3,916|3418|3561,CD3E|IDH2|IL2RG,0,MyList
DisGeNET,35,C0024115,Lung diseases,,-1.7,5,3.1,30286,700,26,3,12,6.3,2030|5973|9446,SLC29A1|RENBP|GSTO1,0,MyList
DisGeNET,35,C0038013,Ankylosing spondylitis,,-1.7,4.9,3.1,30286,710,26,3,12,6.3,3561|6303|9837,IL2RG|SAT1|GINS1,0,MyList
DisGeNET,35,C0024305,"Lymphoma, Non-Hodgkin",,-1.6,4.8,3,30286,733,26,3,12,6.3,3418|3561|4522,IDH2|IL2RG|MTHFD1,0,MyList
DisGeNET,35,C0521158,Recurrent tumor,,-1.6,4.8,3,30286,735,26,3,12,6.3,3418|9446|11010,IDH2|GSTO1|GLIPR1,0,MyList
DisGeNET,35,C0233794,Memory impairment,,-1.6,4.6,2.9,30286,763,26,3,12,6.3,2030|5610|9446,SLC29A1|EIF2AK2|GSTO1,0,MyList
DisGeNET,35,C0013080,Down Syndrome,,-1.6,4.6,2.9,30286,765,26,3,12,6.3,4502|4522|5973,MT2A|MTHFD1|RENBP,0,MyList
