Accuracy_LR,Accuracy_SVM,Accuracy_RF,Accuracy_Voting,Accuracy_Stacking,Balanced_Accuracy_LR,Balanced_Accuracy_SVM,Balanced_Accuracy_RF,Balanced_Accuracy_Voting,Balanced_Accuracy_Stacking,Precision_LR,Precision_SVM,Precision_RF,Precision_Voting,Precision_Stacking,Recall_LR,Recall_SVM,Recall_RF,Recall_Voting,Recall_Stacking,F1_LR,F1_SVM,F1_RF,F1_Voting,F1_Stacking,ROC_AUC_LR,ROC_AUC_SVM,ROC_AUC_RF,ROC_AUC_Voting,ROC_AUC_Stacking,MCC_LR,MCC_SVM,MCC_RF,MCC_Voting,MCC_Stacking
[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.94444444 0.88888889 0.83333333 0.82352941 0.76470588 0.76470588
 0.88235294 0.88235294 0.88235294 0.88235294]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.875      0.75       0.625      0.625      0.5        0.5
 0.66666667 0.66666667 0.66666667 0.66666667]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.93333333 0.875      0.82352941 0.8125     0.76470588 0.76470588
 0.875      0.875      0.875      0.875     ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.96551724 0.93333333 0.90322581 0.89655172 0.86666667 0.86666667
 0.93333333 0.93333333 0.93333333 0.93333333]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.94642857 0.92857143 0.94642857 1.         0.99038462 0.94230769
 0.98809524 0.97619048 0.98809524 1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.83666003 0.66143783 0.45374261 0.45069391 0.         0.
 0.54006172 0.54006172 0.54006172 0.54006172]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.94444444 1.         0.94444444 1.         0.94117647 1.
 1.         1.         1.         1.        ]","[0.83333333 0.77777778 0.77777778 0.76470588 0.82352941 0.76470588
 0.82352941 0.82352941 0.88235294 0.82352941]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[0.875 1.    0.875 1.    0.875 1.    1.    1.    1.    1.   ],"[0.625      0.58928571 0.5        0.5        0.625      0.5
 0.5        0.5        0.66666667 0.5       ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.93333333 1.         0.93333333 1.         0.92857143 1.
 1.         1.         1.         1.        ]","[0.82352941 0.8125     0.77777778 0.76470588 0.8125     0.76470588
 0.82352941 0.82352941 0.875      0.82352941]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         0.92857143 1.         1.         1.         1.
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.96551724 1.         0.96551724 1.         0.96296296 1.
 1.         1.         1.         1.        ]","[0.90322581 0.86666667 0.875      0.86666667 0.89655172 0.86666667
 0.90322581 0.90322581 0.93333333 0.90322581]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         0.85714286 0.96428571 1.         1.         0.98076923
 1.         0.95238095 0.8452381  0.98809524]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.83666003 1.         0.83666003 1.         0.83452296 1.
 1.         1.         1.         1.        ]","[0.45374261 0.2362278  0.         0.         0.45069391 0.
 0.         0.         0.54006172 0.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.94444444 1.         0.94444444 0.94117647 1.         1.
 1.         1.         1.         1.        ]","[0.83333333 0.83333333 0.83333333 0.82352941 0.82352941 0.76470588
 0.88235294 0.88235294 0.88235294 0.88235294]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[0.875 1.    0.875 0.875 1.    1.    1.    1.    1.    1.   ],"[0.625      0.625      0.625      0.625      0.625      0.5
 0.79761905 0.66666667 0.66666667 0.66666667]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.93333333 1.         0.93333333 0.92857143 1.         1.
 1.         1.         1.         1.        ]","[0.82352941 0.82352941 0.82352941 0.8125     0.8125     0.76470588
 0.92857143 0.875      0.875      0.875     ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         1.         1.         1.         1.
 0.92857143 1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.96551724 1.         0.96551724 0.96296296 1.         1.
 1.         1.         1.         1.        ]","[0.90322581 0.90322581 0.90322581 0.89655172 0.89655172 0.86666667
 0.92857143 0.93333333 0.93333333 0.93333333]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         0.99107143 0.94642857 1.         0.88461538 0.90384615
 0.95238095 1.         1.         0.95238095]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.83666003 1.         0.83666003 0.83452296 1.         1.
 1.         1.         1.         1.        ]","[0.45374261 0.45374261 0.45374261 0.45069391 0.45069391 0.
 0.5952381  0.54006172 0.54006172 0.54006172]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.83333333 0.88888889 0.83333333 0.82352941 0.88235294 0.76470588
 0.94117647 0.94117647 0.88235294 0.94117647]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.625      0.75       0.625      0.625      0.75       0.5
 0.83333333 0.83333333 0.66666667 0.83333333]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.82352941 0.875      0.82352941 0.8125     0.86666667 0.76470588
 0.93333333 0.93333333 0.875      0.93333333]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.90322581 0.93333333 0.90322581 0.89655172 0.92857143 0.86666667
 0.96551724 0.96551724 0.93333333 0.96551724]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         0.9375     0.98076923 0.94230769 1.
 0.96428571 1.         0.9047619  1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.45374261 0.66143783 0.45374261 0.45069391 0.65828059 0.
 0.78881064 0.78881064 0.54006172 0.78881064]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.94444444 0.94444444 1.         1.         1.         1.
 0.94117647 1.         1.         1.        ]","[0.77777778 0.77777778 0.88888889 0.76470588 0.76470588 0.76470588
 0.88235294 0.82352941 0.82352941 0.82352941]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.875      0.875      1.         1.         1.         1.
 0.83333333 1.         1.         1.        ]","[0.5        0.5        0.75       0.5        0.5        0.5
 0.66666667 0.5        0.5        0.5       ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.93333333 0.93333333 1.         1.         1.         1.
 0.93333333 1.         1.         1.        ]","[0.77777778 0.77777778 0.875      0.76470588 0.76470588 0.76470588
 0.875      0.82352941 0.82352941 0.82352941]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.96551724 0.96551724 1.         1.         1.         1.
 0.96551724 1.         1.         1.        ]","[0.875      0.875      0.93333333 0.86666667 0.86666667 0.86666667
 0.93333333 0.90322581 0.90322581 0.90322581]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.96428571 0.95535714 0.99107143 1.         1.         1.
 0.97619048 0.92857143 0.95238095 1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.83666003 0.83666003 1.         1.         1.         1.
 0.78881064 1.         1.         1.        ]","[0.         0.         0.66143783 0.         0.         0.
 0.54006172 0.         0.         0.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
"[1.         1.         1.         0.94117647 0.94117647 1.
 1.         0.82352941 0.94117647 1.        ]","[0.94444444 0.94444444 0.88888889 1.         0.94117647 1.
 1.         0.94117647 0.94117647 0.94117647]","[0.88888889 0.88888889 0.83333333 0.76470588 0.94117647 0.94117647
 0.94117647 0.88235294 1.         0.94117647]","[1.         0.94444444 0.94444444 0.94117647 0.94117647 1.
 1.         0.94117647 0.94117647 0.94117647]","[1.         0.94444444 0.94444444 0.94117647 0.94117647 1.
 1.         0.94117647 0.94117647 0.94117647]","[1.         1.         1.         0.875      0.875      1.
 1.         0.76190476 0.96428571 1.        ]","[0.875      0.875      0.75       1.         0.875      1.
 1.         0.83333333 0.96428571 0.83333333]","[0.75       0.75       0.625      0.5        0.875      0.875
 0.83333333 0.66666667 1.         0.83333333]","[1.         0.875      0.875      0.875      0.875      1.
 1.         0.83333333 0.96428571 0.83333333]","[1.         0.875      0.875      0.875      0.875      1.
 1.         0.83333333 0.96428571 0.83333333]","[1.         1.         1.         0.92857143 0.92857143 1.
 1.         0.92307692 1.         1.        ]","[0.93333333 0.93333333 0.875      1.         0.92857143 1.
 1.         0.93333333 1.         0.93333333]","[0.875      0.875      0.82352941 0.76470588 0.92857143 0.92857143
 0.93333333 0.875      1.         0.93333333]","[1.         0.93333333 0.93333333 0.92857143 0.92857143 1.
 1.         0.93333333 1.         0.93333333]","[1.         0.93333333 0.93333333 0.92857143 0.92857143 1.
 1.         0.93333333 1.         0.93333333]","[1.         1.         1.         1.         1.         1.
 1.         0.85714286 0.92857143 1.        ]","[1.         1.         1.         1.         1.         1.
 1.         1.         0.92857143 1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         1.         1.         1.         1.
 1.         1.         0.92857143 1.        ]","[1.         1.         1.         1.         1.         1.
 1.         1.         0.92857143 1.        ]","[1.         1.         1.         0.96296296 0.96296296 1.
 1.         0.88888889 0.96296296 1.        ]","[0.96551724 0.96551724 0.93333333 1.         0.96296296 1.
 1.         0.96551724 0.96296296 0.96551724]","[0.93333333 0.93333333 0.90322581 0.86666667 0.96296296 0.96296296
 0.96551724 0.93333333 1.         0.96551724]","[1.         0.96551724 0.96551724 0.96296296 0.96296296 1.
 1.         0.96551724 0.96296296 0.96551724]","[1.         0.96551724 0.96551724 0.96296296 0.96296296 1.
 1.         0.96551724 0.96296296 0.96551724]","[1.         1.         1.         1.         0.98076923 1.
 1.         0.95238095 1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.98214286 0.95535714 0.94642857 0.97115385 0.98076923 0.96153846
 1.         1.         1.         0.97619048]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         1.         1.         1.         1.
 1.         0.97619048 1.         1.        ]","[1.         1.         1.         0.83452296 0.83452296 1.
 1.         0.47075654 0.83452296 1.        ]","[0.83666003 0.83666003 0.66143783 1.         0.83452296 1.
 1.         0.78881064 0.83452296 0.78881064]","[0.66143783 0.66143783 0.45374261 0.         0.83452296 0.83452296
 0.78881064 0.54006172 1.         0.78881064]","[1.         0.83666003 0.83666003 0.83452296 0.83452296 1.
 1.         0.78881064 0.83452296 0.78881064]","[1.         0.83666003 0.83666003 0.83452296 0.83452296 1.
 1.         0.78881064 0.83452296 0.78881064]"
"[1.         1.         1.         0.94117647 1.         1.
 0.94117647 1.         1.         1.        ]","[1.         1.         1.         0.94117647 1.         1.
 1.         1.         1.         1.        ]","[0.83333333 0.83333333 0.83333333 0.76470588 0.88235294 0.94117647
 0.94117647 0.88235294 0.76470588 0.94117647]","[1.         1.         1.         0.94117647 1.         1.
 1.         1.         1.         1.        ]","[1.         1.         1.         0.94117647 1.         1.
 0.94117647 1.         1.         1.        ]","[1.         1.         1.         0.875      1.         1.
 0.83333333 1.         1.         1.        ]",[1.    1.    1.    0.875 1.    1.    1.    1.    1.    1.   ],"[0.625      0.71428571 0.71428571 0.5        0.75       0.875
 0.83333333 0.66666667 0.46428571 0.83333333]",[1.    1.    1.    0.875 1.    1.    1.    1.    1.    1.   ],"[1.         1.         1.         0.875      1.         1.
 0.83333333 1.         1.         1.        ]","[1.         1.         1.         0.92857143 1.         1.
 0.93333333 1.         1.         1.        ]","[1.         1.         1.         0.92857143 1.         1.
 1.         1.         1.         1.        ]","[0.82352941 0.86666667 0.86666667 0.76470588 0.86666667 0.92857143
 0.93333333 0.875      0.8125     0.93333333]","[1.         1.         1.         0.92857143 1.         1.
 1.         1.         1.         1.        ]","[1.         1.         1.         0.92857143 1.         1.
 0.93333333 1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         0.92857143 0.92857143 1.         1.         1.
 1.         1.         0.92857143 1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         1.         0.96296296 1.         1.
 0.96551724 1.         1.         1.        ]","[1.         1.         1.         0.96296296 1.         1.
 1.         1.         1.         1.        ]","[0.90322581 0.89655172 0.89655172 0.86666667 0.92857143 0.96296296
 0.96551724 0.93333333 0.86666667 0.96551724]","[1.         1.         1.         0.96296296 1.         1.
 1.         1.         1.         1.        ]","[1.         1.         1.         0.96296296 1.         1.
 0.96551724 1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.98214286 0.92857143 0.96428571 1.         1.         1.
 0.97619048 1.         0.88095238 0.97619048]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         1.         0.83452296 1.         1.
 0.78881064 1.         1.         1.        ]","[1.         1.         1.         0.83452296 1.         1.
 1.         1.         1.         1.        ]","[ 0.45374261  0.47809144  0.47809144  0.          0.65828059  0.83452296
  0.78881064  0.54006172 -0.11572751  0.78881064]","[1.         1.         1.         0.83452296 1.         1.
 1.         1.         1.         1.        ]","[1.         1.         1.         0.83452296 1.         1.
 0.78881064 1.         1.         1.        ]"
[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         0.88888889 1.         1.         1.
 1.         1.         1.         1.        ]","[0.77777778 0.83333333 0.77777778 0.82352941 0.76470588 0.76470588
 0.82352941 0.88235294 0.82352941 0.94117647]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1.   1.   0.75 1.   1.   1.   1.   1.   1.   1.  ],"[0.5        0.625      0.5        0.625      0.5        0.5
 0.5        0.66666667 0.5        0.83333333]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1.    1.    0.875 1.    1.    1.    1.    1.    1.    1.   ],"[0.77777778 0.82352941 0.77777778 0.8125     0.76470588 0.76470588
 0.82352941 0.875      0.82352941 0.93333333]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         0.93333333 1.         1.         1.
 1.         1.         1.         1.        ]","[0.875      0.90322581 0.875      0.89655172 0.86666667 0.86666667
 0.90322581 0.93333333 0.90322581 0.96551724]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         0.99107143 1.         0.90384615 0.98076923
 0.92857143 1.         0.91666667 1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         0.66143783 1.         1.         1.
 1.         1.         1.         1.        ]","[0.         0.45374261 0.         0.45069391 0.         0.
 0.         0.54006172 0.         0.78881064]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         0.94444444 1.         1.         1.         1.
 1.         1.         1.         1.        ]","[0.72222222 0.77777778 0.88888889 0.88235294 0.94117647 0.76470588
 0.88235294 0.82352941 0.82352941 0.94117647]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1.    0.875 1.    1.    1.    1.    1.    1.    1.    1.   ],"[0.46428571 0.5        0.75       0.75       0.875      0.5
 0.66666667 0.5        0.5        0.83333333]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         0.93333333 1.         1.         1.         1.
 1.         1.         1.         1.        ]","[0.76470588 0.77777778 0.875      0.86666667 0.92857143 0.76470588
 0.875      0.82352941 0.82352941 0.93333333]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.92857143 1.         1.         1.         1.         1.
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         0.96551724 1.         1.         1.         1.
 1.         1.         1.         1.        ]","[0.83870968 0.875      0.93333333 0.92857143 0.96296296 0.86666667
 0.93333333 0.90322581 0.90322581 0.96551724]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.875      1.         1.         1.         1.         1.
 1.         0.89285714 0.94047619 1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         0.83666003 1.         1.         1.         1.
 1.         1.         1.         1.        ]","[-0.12964074  0.          0.66143783  0.65828059  0.83452296  0.
  0.54006172  0.          0.          0.78881064]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
"[0.94444444 0.94444444 1.         1.         1.         1.
 0.94117647 1.         1.         1.        ]","[0.88888889 0.83333333 0.83333333 0.94117647 0.88235294 0.88235294
 0.88235294 0.94117647 0.88235294 0.94117647]","[0.77777778 0.77777778 0.77777778 0.76470588 0.76470588 0.76470588
 0.88235294 0.82352941 0.82352941 0.82352941]","[1.         0.94444444 1.         1.         1.         1.
 0.94117647 1.         1.         1.        ]","[1.         0.94444444 1.         1.         1.         1.
 0.94117647 1.         1.         1.        ]","[0.875      0.875      1.         1.         1.         1.
 0.83333333 1.         1.         1.        ]","[0.75       0.625      0.625      0.875      0.75       0.75
 0.66666667 0.83333333 0.66666667 0.83333333]","[0.5        0.5        0.5        0.5        0.5        0.5
 0.66666667 0.5        0.5        0.5       ]","[1.         0.875      1.         1.         1.         1.
 0.83333333 1.         1.         1.        ]","[1.         0.875      1.         1.         1.         1.
 0.83333333 1.         1.         1.        ]","[0.93333333 0.93333333 1.         1.         1.         1.
 0.93333333 1.         1.         1.        ]","[0.875      0.82352941 0.82352941 0.92857143 0.86666667 0.86666667
 0.875      0.93333333 0.875      0.93333333]","[0.77777778 0.77777778 0.77777778 0.76470588 0.76470588 0.76470588
 0.875      0.82352941 0.82352941 0.82352941]","[1.         0.93333333 1.         1.         1.         1.
 0.93333333 1.         1.         1.        ]","[1.         0.93333333 1.         1.         1.         1.
 0.93333333 1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.96551724 0.96551724 1.         1.         1.         1.
 0.96551724 1.         1.         1.        ]","[0.93333333 0.90322581 0.90322581 0.96296296 0.92857143 0.92857143
 0.93333333 0.96551724 0.93333333 0.96551724]","[0.875      0.875      0.875      0.86666667 0.86666667 0.86666667
 0.93333333 0.90322581 0.90322581 0.90322581]","[1.         0.96551724 1.         1.         1.         1.
 0.96551724 1.         1.         1.        ]","[1.         0.96551724 1.         1.         1.         1.
 0.96551724 1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         1.         1.         1.         1.
 0.97619048 1.         1.         1.        ]","[0.97321429 0.89285714 0.96428571 0.94230769 1.         1.
 0.76190476 1.         1.         1.        ]","[1.         1.         1.         1.         1.         1.
 0.97619048 1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.83666003 0.83666003 1.         1.         1.         1.
 0.78881064 1.         1.         1.        ]","[0.66143783 0.45374261 0.45374261 0.83452296 0.65828059 0.65828059
 0.54006172 0.78881064 0.54006172 0.78881064]","[0.         0.         0.         0.         0.         0.
 0.54006172 0.         0.         0.        ]","[1.         0.83666003 1.         1.         1.         1.
 0.78881064 1.         1.         1.        ]","[1.         0.83666003 1.         1.         1.         1.
 0.78881064 1.         1.         1.        ]"
