0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389
35977_at,35848_at,37415_at,34571_at,636_at,33729_at,36538_at,41014_s_at,31360_at,35481_at,33130_at,1368_at,588_at,39171_at,1700_at,36725_at,814_s_at,34074_s_at,41150_r_at,38368_at,38280_s_at,38498_at,38561_at,38437_at,37976_at,38228_g_at,39119_s_at,39294_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37206_at,35977_at,35848_at,40733_f_at,514_at,40532_at,1642_at,40243_at,37415_at,38611_at,34571_at,40448_at,31395_i_at,636_at,33729_at,37263_at,41758_at,36538_at,37578_at,41014_s_at,883_s_at,31360_at,2038_g_at,36818_at,35481_at,35763_at,33130_at,32463_at,1368_at,160028_s_at,588_at,39171_at,41210_at,35530_f_at,32244_at,34744_at,33576_at,1700_at,37212_at,36725_at,814_s_at,34074_s_at,35607_at,39377_at,41150_r_at,38374_at,38361_g_at,38368_at,38334_g_at,38276_at,38279_at,38280_s_at,38282_at,38262_at,38244_at,38247_at,38286_at,38322_at,38318_at,38304_r_at,38514_at,38515_at,38513_at,38494_at,38495_s_at,38498_at,38571_at,38561_at,38550_at,38439_at,38432_at,38434_at,38437_at,38395_at,38396_at,38411_at,38238_at,37976_at,37981_at,37972_at,37956_at,37995_s_at,38024_at,38028_at,38030_at,38034_at,38002_s_at,38013_at,37875_at,37878_at,37879_r_at,37882_at,37892_at,37873_g_at,37862_at,37926_at,37938_at,37903_at,37919_at,38176_at,38182_at,38183_at,38187_at,38146_at,38148_at,38153_at,38162_at,38217_at,38223_at,38228_g_at,38197_at,38199_at,38087_s_at,38090_at,38046_at,38051_at,38066_at,38125_at,38133_at,38112_g_at,39119_s_at,39120_at,39082_at,39084_at,39124_r_at,39125_at,39155_at,39156_at,39136_at,39145_at,39007_at,38986_at,39051_at,39068_at,39071_at,39031_at,39320_at,39308_r_at,39315_at,39294_at,39351_at,39332_at,39335_at,39274_at,39210_at,39181_at,39192_at,39251_at,39247_at,38715_at,38721_at,38722_at,38725_s_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37206_at,35977_at,35848_at,40733_f_at,514_at,40532_at,40243_at,37415_at,38611_at,34571_at,636_at,33729_at,41758_at,36538_at,41014_s_at,883_s_at,31360_at,2038_g_at,35481_at,35763_at,33130_at,32463_at,1368_at,160028_s_at,588_at,39171_at,41210_at,35530_f_at,34744_at,1700_at,37212_at,36725_at,814_s_at,34074_s_at,35607_at,39377_at,41150_r_at,38368_at,38276_at,38279_at,38280_s_at,38244_at,38247_at,38514_at,38494_at,38495_s_at,38498_at,38561_at,38550_at,38432_at,38437_at,37976_at,37981_at,37956_at,38028_at,38030_at,38034_at,38013_at,37875_at,37879_r_at,37882_at,37892_at,37862_at,37926_at,37903_at,37919_at,38176_at,38146_at,38217_at,38228_g_at,38197_at,38199_at,38087_s_at,38090_at,38046_at,38051_at,38125_at,38133_at,38112_g_at,39119_s_at,39124_r_at,39051_at,39068_at,39071_at,39320_at,39294_at,39210_at,39181_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37206_at,35977_at,35848_at,40733_f_at,37415_at,34571_at,636_at,33729_at,36538_at,41014_s_at,883_s_at,31360_at,35481_at,33130_at,1368_at,588_at,39171_at,1700_at,36725_at,814_s_at,34074_s_at,41150_r_at,38368_at,38280_s_at,38494_at,38498_at,38561_at,38437_at,37976_at,38034_at,38228_g_at,39119_s_at,39294_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37206_at,35977_at,35848_at,40733_f_at,514_at,40532_at,1642_at,40243_at,37415_at,38611_at,34571_at,40448_at,31395_i_at,636_at,33729_at,37263_at,41758_at,36538_at,37578_at,41014_s_at,883_s_at,31360_at,2038_g_at,36818_at,35481_at,35763_at,33130_at,32463_at,1368_at,160028_s_at,588_at,39171_at,41210_at,35530_f_at,32244_at,34744_at,33576_at,1700_at,37212_at,36725_at,814_s_at,34074_s_at,36734_at,35607_at,39377_at,41150_r_at,38382_at,38374_at,38361_g_at,38368_at,38334_g_at,38276_at,38279_at,38280_s_at,38282_at,38262_at,38244_at,38247_at,38286_at,38322_at,38318_at,38304_r_at,38514_at,38515_at,38513_at,38494_at,38495_s_at,38498_at,38571_at,38561_at,38550_at,38439_at,38432_at,38434_at,38437_at,38395_at,38396_at,38411_at,38238_at,37976_at,37981_at,37972_at,37970_at,37956_at,37995_s_at,38024_at,38028_at,38030_at,38034_at,38002_s_at,38013_at,37875_at,37878_at,37879_r_at,37882_at,37892_at,37873_g_at,37862_at,37926_at,37938_at,37903_at,37919_at,38176_at,38182_at,38183_at,38187_at,38146_at,38148_at,38153_at,38162_at,38217_at,38223_at,38228_g_at,38197_at,38199_at,38087_s_at,38090_at,38046_at,38051_at,38066_at,38125_at,38133_at,38112_g_at,39119_s_at,39120_at,39082_at,39084_at,39124_r_at,39125_at,39155_at,39156_at,39136_at,39140_at,39145_at,39007_at,38986_at,39051_at,39064_at,39068_at,39071_at,39031_at,39175_at,39320_at,39308_r_at,39315_at,39294_at,39351_at,39332_at,39335_at,39274_at,39203_at,39210_at,39181_at,39192_at,39251_at,39258_at,39247_at,38715_at,38721_at,38722_at,38725_s_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35977_at,35848_at,37415_at,34571_at,636_at,35481_at,33130_at,39171_at,1700_at,36725_at,814_s_at,39119_s_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35977_at,35848_at,37415_at,34571_at,636_at,41014_s_at,35481_at,33130_at,39171_at,1700_at,36725_at,814_s_at,38368_at,38437_at,39119_s_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37206_at,35977_at,35848_at,40733_f_at,514_at,37415_at,34571_at,636_at,33729_at,41758_at,36538_at,41014_s_at,883_s_at,31360_at,2038_g_at,35481_at,35763_at,33130_at,32463_at,1368_at,588_at,39171_at,41210_at,35530_f_at,1700_at,36725_at,814_s_at,34074_s_at,41150_r_at,38368_at,38279_at,38280_s_at,38244_at,38514_at,38494_at,38498_at,38561_at,38437_at,37976_at,37981_at,38028_at,38030_at,38034_at,37875_at,37862_at,37903_at,38176_at,38217_at,38228_g_at,38090_at,38046_at,38051_at,39119_s_at,39124_r_at,39068_at,39071_at,39294_at,39181_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37206_at,35977_at,35848_at,40733_f_at,37415_at,34571_at,636_at,33729_at,36538_at,41014_s_at,883_s_at,31360_at,2038_g_at,35481_at,33130_at,32463_at,1368_at,588_at,39171_at,1700_at,36725_at,814_s_at,34074_s_at,41150_r_at,38368_at,38280_s_at,38244_at,38514_at,38494_at,38498_at,38561_at,38437_at,37976_at,38030_at,38034_at,37875_at,38228_g_at,39119_s_at,39124_r_at,39071_at,39294_at,39181_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36451_at,37206_at,37451_at,37810_at,35977_at,33170_at,35848_at,34483_at,40733_f_at,31979_at,1489_s_at,514_at,40532_at,40045_g_at,34043_at,1642_at,40243_at,37415_at,38611_at,1716_at,34571_at,34105_f_at,40448_at,31395_i_at,38770_at,636_at,765_s_at,33729_at,37263_at,32435_at,41758_at,36538_at,35289_at,37578_at,34210_at,1950_s_at,41014_s_at,883_s_at,31360_at,2038_g_at,36818_at,32629_f_at,39072_at,35481_at,35763_at,33130_at,32463_at,1368_at,37899_at,160028_s_at,588_at,39171_at,41210_at,35530_f_at,32244_at,1690_at,34744_at,33576_at,1700_at,41311_f_at,37212_at,36725_at,814_s_at,34074_s_at,36734_at,35607_at,41337_at,39377_at,41150_r_at,34444_at,38339_at,38382_at,38338_at,38385_at,38377_at,38374_at,38376_at,38361_g_at,38357_at,38367_s_at,38368_at,38354_at,38353_at,38350_f_at,38334_g_at,38266_at,38267_at,38268_at,38275_at,38276_at,38279_at,38280_s_at,38282_at,38283_at,38262_at,38249_at,38243_at,38244_at,38247_at,38251_at,38253_at,38285_at,38286_at,38287_at,38322_at,38318_at,38319_at,38321_r_at,38327_at,38329_at,38310_at,38298_at,38292_at,38299_at,38300_at,38302_at,38304_r_at,38305_at,100_g_at,38514_at,38515_at,38518_at,38524_at,38529_at,38513_at,38511_at,385_at,38494_at,38495_s_at,38497_at,38498_at,38502_at,38504_at,38508_s_at,38537_at,38563_at,38566_at,38568_at,38571_at,38572_at,38574_at,38575_at,38580_at,38561_at,38544_at,38547_at,38550_at,38551_at,38439_at,38418_at,38421_at,38432_at,38434_at,38437_at,38414_at,38395_at,38396_at,38413_at,38408_at,38411_at,38484_at,38486_at,38446_at,38450_at,38457_at,38220_at,38238_at,37974_at,37976_at,37977_at,37978_at,37981_at,37982_at,37983_at,37986_at,37989_at,37972_at,37970_at,37952_at,37956_at,37957_at,37958_at,37968_at,37995_s_at,38024_at,38028_at,38030_at,38034_at,37999_at,38002_s_at,38005_at,38017_at,38009_at,38011_at,38013_at,37874_at,37875_at,37878_at,37879_r_at,37882_at,37892_at,37893_at,37873_g_at,37849_at,37850_at,37851_at,37853_at,37861_at,37862_at,37863_at,37867_at,37895_at,37896_at,37926_at,37931_at,37938_at,37942_at,37903_at,37909_at,37919_at,37913_at,37918_at,38170_at,38172_at,38175_at,38176_at,38178_at,38182_at,38183_at,38184_at,38186_g_at,38187_at,38146_at,38147_at,38148_at,38153_at,38159_at,38162_at,38191_at,38217_at,38219_at,38585_at,38223_at,38228_g_at,38229_at,38235_at,38194_s_at,38197_at,38199_at,382_at,38141_at,38071_at,38072_at,38074_at,38076_at,38081_at,38082_at,38087_s_at,38089_at,38090_at,38046_at,38051_at,38066_at,38063_at,38091_at,38139_at,38123_at,38125_at,38133_at,38137_at,38116_at,38098_at,38105_at,38112_g_at,38113_at,38584_at,38609_at,39114_at,39116_at,39119_s_at,39120_at,39121_at,38977_at,39078_at,39081_at,39082_at,39084_at,39088_at,39094_at,39096_at,39098_at,39124_r_at,39125_at,39155_at,39156_at,39161_at,39162_at,39168_at,39149_at,39128_r_at,39136_at,39140_at,39143_at,39145_at,39006_r_at,39007_at,39008_at,39013_at,39015_f_at,39000_at,38988_at,38979_at,38980_at,38986_at,39051_at,39061_at,39062_at,39064_at,39068_at,39069_at,39071_at,39031_at,39047_at,39039_s_at,39175_at,39320_at,39300_at,39302_at,39308_r_at,39309_at,39312_r_at,39315_at,39275_at,39283_at,39285_at,39295_s_at,39287_at,39294_at,39321_at,39351_at,39353_at,39356_at,39360_at,39362_r_at,39363_at,39364_s_at,39345_at,39332_at,39323_at,39330_s_at,39334_s_at,39335_at,39342_at,39274_at,39223_at,39201_r_at,39203_at,39205_at,39207_r_at,39210_at,39211_at,39219_at,39220_at,39199_at,39181_at,39185_at,39189_at,39192_at,39194_at,39197_s_at,39251_at,39258_at,39261_at,39262_at,39268_at,39270_at,39247_at,39229_at,39246_at,39238_at,39240_at,39242_at,38711_at,38715_at,38719_at,38721_at,38722_at,38725_s_at,38686_at,38687_at
