0,1,2,3
MZ435.07512,MZ2.8234234,MZ245.53704,
MZ435.07512,MZ2.8234234,MZ245.53704,
MZ435.07512,MZ2.8234234,MZ245.53704,
MZ435.07512,MZ2.8234234,MZ245.53704,
MZ435.07512,MZ2.8234234,MZ245.53704,
MZ435.07512,MZ2.8234234,MZ245.53704,
MZ435.07512,MZ2.8234234,MZ245.53704,
MZ435.07512,MZ2.8234234,MZ245.53704,
MZ435.07512,MZ2.8234234,MZ245.53704,
MZ435.07512,MZ2.8234234,MZ245.53704,
MZ435.07512,MZ2.8234234,MZ245.53704,
MZ435.07512,MZ2.8234234,MZ245.53704,
MZ244.95245,MZ435.07512,MZ2.8234234,MZ245.53704
MZ435.07512,MZ2.8234234,MZ245.53704,
MZ435.07512,MZ2.8234234,MZ245.53704,
MZ435.07512,MZ2.8234234,MZ245.53704,
MZ435.07512,MZ2.8234234,MZ245.53704,
MZ435.07512,MZ2.8234234,MZ245.53704,
MZ435.07512,MZ2.8234234,MZ245.53704,
MZ435.07512,MZ2.8234234,MZ245.53704,
