_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-3.9,GO:0055086,nucleobase-containing small molecule metabolic process,M1,1,0
1,-2.8,GO:0046394,carboxylic acid biosynthetic process,M1,1,0
1,-3.8,GO:0048565,digestive tract development,M1,1,0
1,-1.7,GO:0031175,neuron projection development,M1,1,0
1,-2.1,GO:0009991,response to extracellular stimulus,M1,1,0
1,-2.7,GO:0048608,reproductive structure development,M1,1,0
1,-2.8,GO:0098662,inorganic cation transmembrane transport,M1,1,0
1,-3.4,GO:0008015,blood circulation,M1,1,0
1,-3.1,GO:0050679,positive regulation of epithelial cell proliferation,M1,1,0
1,-4,GO:0046660,female sex differentiation,M1,1,0
1,-3.3,M2698,P53 DN.V1 UP,M1,1,0
1,-3.9,GO:0042326,negative regulation of phosphorylation,M1,1,0
1,-4,GO:0002065,columnar/cuboidal epithelial cell differentiation,M1,1,0
1,-2.1,GO:0001501,skeletal system development,M1,1,0
1,-2.7,hsa05016,Huntington disease,M1,1,0
1,-2.7,R-HSA-1852241,Organelle biogenesis and maintenance,M1,1,0
1,-3.5,GO:0050678,regulation of epithelial cell proliferation,M1,1,0
1,-2.9,GO:0051259,protein complex oligomerization,M1,1,0
1,-4.3,GO:0072521,purine-containing compound metabolic process,M1,1,0
1,-2.2,GO:0031667,response to nutrient levels,M1,1,0
1,-3.3,GO:0006163,purine nucleotide metabolic process,M1,1,0
1,-2.4,GO:0009725,response to hormone,M1,1,0
1,-2.8,GO:0007548,sex differentiation,M1,1,0
1,-2.9,GO:0009165,nucleotide biosynthetic process,M1,1,0
1,-2.8,M2882,KRAS.600 UP.V1 UP,M1,1,0
1,-1.6,GO:0006325,chromatin organization,M1,1,0
1,-2.8,GO:0016053,organic acid biosynthetic process,M1,1,0
1,-1.9,GO:0030162,regulation of proteolysis,M1,1,0
1,-2,GO:0046903,secretion,M1,1,0
1,-3.1,GO:2000241,regulation of reproductive process,M1,1,0
1,-2,GO:0032103,positive regulation of response to external stimulus,M1,1,0
1,-2.7,GO:0061458,reproductive system development,M1,1,0
1,-2.8,GO:0016042,lipid catabolic process,M1,1,0
1,-3.1,R-HSA-1428517,Aerobic respiration and respiratory electron transport,M1,1,0
1,-2.4,GO:0006812,monoatomic cation transport,M1,1,0
1,-2.8,GO:0030855,epithelial cell differentiation,M1,1,0
1,-3.1,GO:0009117,nucleotide metabolic process,M1,1,0
1,-3.4,GO:0060322,head development,M1,1,0
1,-2.6,GO:0045862,positive regulation of proteolysis,M1,1,0
1,-3.6,GO:0010563,negative regulation of phosphorus metabolic process,M1,1,0
1,-3.4,GO:0031400,negative regulation of protein modification process,M1,1,0
1,-2.2,GO:0044283,small molecule biosynthetic process,M1,1,0
1,-2.6,GO:0007420,brain development,M1,1,0
1,-3.1,GO:0006753,nucleoside phosphate metabolic process,M1,1,0
1,-2.3,GO:0005975,carbohydrate metabolic process,M1,1,0
1,-4.2,GO:0010817,regulation of hormone levels,M1,1,0
1,-1.8,GO:0006338,chromatin remodeling,M1,1,0
1,-2,GO:0090407,organophosphate biosynthetic process,M1,1,0
1,-2.4,GO:0030900,forebrain development,M1,1,0
1,-2.4,GO:0008285,negative regulation of cell population proliferation,M1,1,0
1,-3.1,GO:0032787,monocarboxylic acid metabolic process,M1,1,0
1,-3.7,M2900,KRAS.LUNG.BREAST UP.V1 UP,M1,1,0
1,-2.7,GO:0098655,monoatomic cation transmembrane transport,M1,1,0
1,-4.2,GO:0051262,protein tetramerization,M1,1,0
1,-1.9,GO:0043068,positive regulation of programmed cell death,M1,1,0
1,-2.8,M2886,KRAS.600.LUNG.BREAST UP.V1 UP,M1,1,0
1,-2.6,GO:0062012,regulation of small molecule metabolic process,M1,1,0
1,-2.6,GO:0098660,inorganic ion transmembrane transport,M1,1,0
1,-4,GO:0001933,negative regulation of protein phosphorylation,M1,1,0
1,-3.2,GO:0042445,hormone metabolic process,M1,1,0
1,-1.7,GO:0045596,negative regulation of cell differentiation,M1,1,0
1,-2.9,GO:1901293,nucleoside phosphate biosynthetic process,M1,1,0
1,-4.7,M2905,LEF1 UP.V1 UP,M1,1,0
1,-3.3,GO:0044242,cellular lipid catabolic process,M1,1,0
1,-3.5,GO:0072330,monocarboxylic acid biosynthetic process,M1,1,0
1,-3.7,GO:0055123,digestive system development,M1,1,0
1,-3.7,GO:0035239,tube morphogenesis,M1,1,0
1,-3.1,GO:0003013,circulatory system process,M1,1,0
1,-3.6,GO:0045936,negative regulation of phosphate metabolic process,M1,1,0
1,-1.9,GO:0008610,lipid biosynthetic process,M1,1,0
1,-2,GO:0043065,positive regulation of apoptotic process,M1,1,0
1,-2.3,GO:0006091,generation of precursor metabolites and energy,M1,1,0
1,-3.4,GO:0019752,carboxylic acid metabolic process,M1,1,0
1,-2.5,R-HSA-556833,Metabolism of lipids,M1,1,0
1,-3.3,GO:0008217,regulation of blood pressure,M1,1,0
