_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-6.4,M39125,M1,1,0,Cell Type Signatures,7,AIZARANI LIVER C24 EPCAM POS BILE DUCT CELLS 3,,-6.4,33,12,30286,185,25,5,20,8,1366|6690|7026|7280|10551,CLDN7|SPINK1|NR2F2|TUBB2A|AGR2,-2.4,0
1,-5.5,M39131,M1,1,0,Cell Type Signatures,7,AIZARANI LIVER C32 MVECS 3,,-5.5,39,12,30286,125,25,4,16,7.3,2823|5730|7026|7052,GPM6A|PTGDS|NR2F2|TGM2,-1.8,0
1,-4.7,M39122,M1,1,0,Cell Type Signatures,7,AIZARANI LIVER C21 STELLATE CELLS 1,,-4.7,25,9.6,30286,194,25,4,16,7.3,5730|5947|7026|25976,PTGDS|RBP1|NR2F2|TIPARP,-1.3,0
1,-3.9,M39128,M1,1,0,Cell Type Signatures,7,AIZARANI LIVER C29 MVECS 2,,-3.9,15,7.4,30286,313,25,4,16,7.3,2823|5730|7026|7052,GPM6A|PTGDS|NR2F2|TGM2,-0.61,0
1,-3.3,M40010,M1,1,0,Cell Type Signatures,7,BUSSLINGER GASTRIC ISTHMUS CELLS,,-3.3,11,5.9,30286,458,25,4,16,7.3,521|4199|6690|10551,ATP5ME|ME1|SPINK1|AGR2,-0.22,0
1,-3.3,M40019,M1,1,0,Cell Type Signatures,7,BUSSLINGER GASTRIC X CELLS,,-3.3,19,7.2,30286,191,25,3,12,6.5,3249|5947|7026,HPN|RBP1|NR2F2,-0.22,0
1,-3.3,M40026,M1,1,0,Cell Type Signatures,7,BUSSLINGER DUODENAL TRANSIT AMPLIFYING CELLS,,-3.3,19,7.1,30286,194,25,3,12,6.5,517|521|10551,ATP5MC2|ATP5ME|AGR2,-0.22,0
1,-3.1,M40145,M1,1,0,Cell Type Signatures,7,DESCARTES FETAL ADRENAL CSH1 CSH2 POSITIVE CELLS,,-3.1,17,6.7,30286,218,25,3,12,6.5,1366|7052|8626,CLDN7|TGM2|TP63,-0.18,0
1,-2.9,M41705,M1,1,0,Cell Type Signatures,7,FAN OVARY CL3 MATURE CUMULUS GRANULOSA CELL 1,,-2.9,14,6.1,30286,254,25,3,12,6.5,517|521|5947,ATP5MC2|ATP5ME|RBP1,-0.069,0
1,-2.9,M39114,M1,1,0,Cell Type Signatures,7,AIZARANI LIVER C10 MVECS 1,,-2.9,14,5.9,30286,269,25,3,12,6.5,5730|7026|7052,PTGDS|NR2F2|TGM2,-0.037,0
1,-2.8,M41712,M1,1,0,Cell Type Signatures,7,FAN OVARY CL10 PUTATIVE EARLY ATRESIA GRANULOSA CELL,,-2.8,13,5.9,30286,274,25,3,12,6.5,517|521|5947,ATP5MC2|ATP5ME|RBP1,-0.033,0
1,-2.7,M40025,M1,1,0,Cell Type Signatures,7,BUSSLINGER DUODENAL DIFFERENTIATING STEM CELLS,,-2.7,12,5.5,30286,305,25,3,12,6.5,517|6690|10551,ATP5MC2|SPINK1|AGR2,0,0
1,-2.7,M39058,M1,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HPROGM,,-2.7,12,5.5,30286,307,25,3,12,6.5,4852|5947|23171,NPY|RBP1|GPD1L,0,0
1,-2.7,M41748,M1,1,0,Cell Type Signatures,7,RUBENSTEIN SKELETAL MUSCLE SATELLITE CELLS,,-2.7,12,5.5,30286,310,25,3,12,6.5,517|5947|22933,ATP5MC2|RBP1|SIRT2,0,0
1,-2.7,M40024,M1,1,0,Cell Type Signatures,7,BUSSLINGER DUODENAL STEM CELLS,,-2.7,12,5.4,30286,311,25,3,12,6.5,517|6690|10551,ATP5MC2|SPINK1|AGR2,0,0
1,-2.5,M39174,M1,1,0,Cell Type Signatures,7,MURARO PANCREAS ACINAR CELL,,-2.5,6.6,4.4,30286,731,25,4,16,7.3,1366|3249|6690|7280,CLDN7|HPN|SPINK1|TUBB2A,0,0
1,-2.4,M39231,M1,1,0,Cell Type Signatures,7,LAKE ADULT KIDNEY C12 THICK ASCENDING LIMB,,-2.4,9.5,4.8,30286,381,25,3,12,6.5,517|521|3249,ATP5MC2|ATP5ME|HPN,0,0
1,-2.4,M41659,M1,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG ALVEOLAR EPITHELIAL TYPE 1 CELL,,-2.4,9.3,4.7,30286,391,25,3,12,6.5,1366|2823|5947,CLDN7|GPM6A|RBP1,0,0
1,-2.3,M39039,M1,1,0,Cell Type Signatures,7,FAN EMBRYONIC CTX BRAIN ENDOTHELIAL 1,,-2.3,8.3,4.4,30286,440,25,3,12,6.5,5947|7052|23171,RBP1|TGM2|GPD1L,0,0
1,-2.2,M41746,M1,1,0,Cell Type Signatures,7,RUBENSTEIN SKELETAL MUSCLE SMOOTH MUSCLE CELLS,,-2.2,8.2,4.4,30286,445,25,3,12,6.5,517|521|7026,ATP5MC2|ATP5ME|NR2F2,0,0
1,-2.2,M39203,M1,1,0,Cell Type Signatures,7,HAY BONE MARROW NEUTROPHIL,,-2.2,8.1,4.4,30286,449,25,3,12,6.5,517|521|7941,ATP5MC2|ATP5ME|PLA2G7,0,0
1,-2.1,M39104,M1,1,0,Cell Type Signatures,7,ZHONG PFC C3 MICROGLIA,,-2.1,7.4,4.1,30286,488,25,3,12,6.5,4753|4852|7280,NELL2|NPY|TUBB2A,0,0
1,-1.9,M41698,M1,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG TREM2 DENDRITIC CELL,,-1.9,6.4,3.7,30286,572,25,3,12,6.5,4199|5730|7941,ME1|PTGDS|PLA2G7,0,0
1,-1.8,M41652,M1,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG PROXIMAL BASAL CELL,,-1.8,5.8,3.5,30286,629,25,3,12,6.5,517|8626|10551,ATP5MC2|TP63|AGR2,0,0
1,-1.8,M41717,M1,1,0,Cell Type Signatures,7,FAN OVARY CL15 SMALL ANTRAL FOLLICLE GRANULOSA CELL,,-1.8,5.6,3.4,30286,645,25,3,12,6.5,517|5947|7280,ATP5MC2|RBP1|TUBB2A,0,0
1,-1.8,M41710,M1,1,0,Cell Type Signatures,7,FAN OVARY CL8 MATURE CUMULUS GRANULOSA CELL 2,,-1.8,5.6,3.4,30286,646,25,3,12,6.5,517|521|5947,ATP5MC2|ATP5ME|RBP1,0,0
1,-1.8,M41679,M1,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG MESOTHELIAL CELL,,-1.8,5.6,3.4,30286,649,25,3,12,6.5,517|5947|7280,ATP5MC2|RBP1|TUBB2A,0,0
1,-1.6,M39209,M1,1,0,Cell Type Signatures,7,HAY BONE MARROW STROMAL,,-1.6,4.8,3,30286,765,25,3,12,6.5,5730|5947|7026,PTGDS|RBP1|NR2F2,0,0
