Accuracy_LR,Accuracy_SVM,Accuracy_RF,Accuracy_Voting,Accuracy_Stacking,Balanced_Accuracy_LR,Balanced_Accuracy_SVM,Balanced_Accuracy_RF,Balanced_Accuracy_Voting,Balanced_Accuracy_Stacking,Precision_LR,Precision_SVM,Precision_RF,Precision_Voting,Precision_Stacking,Recall_LR,Recall_SVM,Recall_RF,Recall_Voting,Recall_Stacking,F1_LR,F1_SVM,F1_RF,F1_Voting,F1_Stacking,ROC_AUC_LR,ROC_AUC_SVM,ROC_AUC_RF,ROC_AUC_Voting,ROC_AUC_Stacking,MCC_LR,MCC_SVM,MCC_RF,MCC_Voting,MCC_Stacking
"[1.         0.92307692 1.         1.         1.         1.
 1.         1.         1.         1.        ]","[1.         0.92307692 1.         1.         1.         1.
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         1.         1.
 1.         0.84615385 0.92307692 1.        ]","[1.         0.92307692 1.         1.         1.         1.
 1.         1.         1.         1.        ]","[1.         0.92307692 1.         1.         1.         1.
 1.         1.         1.         1.        ]",[1.   0.96 1.   1.   1.   1.   1.   1.   1.   1.  ],[1.   0.96 1.   1.   1.   1.   1.   1.   1.   1.  ],[1.   1.   1.   1.   1.   1.   1.   0.8  0.95 1.  ],[1.   0.96 1.   1.   1.   1.   1.   1.   1.   1.  ],[1.   0.96 1.   1.   1.   1.   1.   1.   1.   1.  ],"[1.         0.96153846 1.         1.         1.         1.
 1.         1.         1.         1.        ]","[1.         0.96153846 1.         1.         1.         1.
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         1.         1.
 1.         0.74358974 0.96153846 1.        ]","[1.         0.96153846 1.         1.         1.         1.
 1.         1.         1.         1.        ]","[1.         0.96153846 1.         1.         1.         1.
 1.         1.         1.         1.        ]","[1.         0.92307692 1.         1.         1.         1.
 1.         1.         1.         1.        ]","[1.         0.92307692 1.         1.         1.         1.
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         1.         1.
 1.         0.84615385 0.92307692 1.        ]","[1.         0.92307692 1.         1.         1.         1.
 1.         1.         1.         1.        ]","[1.         0.92307692 1.         1.         1.         1.
 1.         1.         1.         1.        ]","[1.         0.93162393 1.         1.         1.         1.
 1.         1.         1.         1.        ]","[1.         0.93162393 1.         1.         1.         1.
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         1.         1.
 1.         0.78461538 0.93040293 1.        ]","[1.         0.93162393 1.         1.         1.         1.
 1.         1.         1.         1.        ]","[1.         0.93162393 1.         1.         1.         1.
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         0.90576456 1.         1.         1.         1.
 1.         1.         1.         1.        ]","[1.         0.90576456 1.         1.         1.         1.
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         1.         1.
 1.         0.81848755 0.90779975 1.        ]","[1.         0.90576456 1.         1.         1.         1.
 1.         1.         1.         1.        ]","[1.         0.90576456 1.         1.         1.         1.
 1.         1.         1.         1.        ]"
"[1.         1.         0.92307692 1.         1.         1.
 1.         1.         1.         0.92307692]","[1.         0.92307692 0.92307692 1.         1.         1.
 1.         1.         1.         0.92307692]","[1.         1.         1.         1.         0.92307692 1.
 1.         1.         1.         0.92307692]","[1.         1.         0.92307692 1.         1.         1.
 1.         1.         1.         0.92307692]","[1.         1.         0.92307692 1.         1.         1.
 1.         1.         1.         0.92307692]",[1.   1.   0.96 1.   1.   1.   1.   1.   1.   0.95],"[1.         0.93333333 0.96       1.         1.         1.
 1.         1.         1.         0.95      ]",[1.   1.   1.   1.   0.9  1.   1.   1.   1.   0.95],[1.   1.   0.96 1.   1.   1.   1.   1.   1.   0.95],[1.   1.   0.96 1.   1.   1.   1.   1.   1.   0.95],"[1.         1.         0.96153846 1.         1.         1.
 1.         1.         1.         0.96153846]","[1.         0.94230769 0.96153846 1.         1.         1.
 1.         1.         1.         0.96153846]","[1.         1.         1.         1.         0.94230769 1.
 1.         1.         1.         0.96153846]","[1.         1.         0.96153846 1.         1.         1.
 1.         1.         1.         0.96153846]","[1.         1.         0.96153846 1.         1.         1.
 1.         1.         1.         0.96153846]","[1.         1.         0.92307692 1.         1.         1.
 1.         1.         1.         0.92307692]","[1.         0.92307692 0.92307692 1.         1.         1.
 1.         1.         1.         0.92307692]","[1.         1.         1.         1.         0.92307692 1.
 1.         1.         1.         0.92307692]","[1.         1.         0.92307692 1.         1.         1.
 1.         1.         1.         0.92307692]","[1.         1.         0.92307692 1.         1.         1.
 1.         1.         1.         0.92307692]","[1.         1.         0.93162393 1.         1.         1.
 1.         1.         1.         0.93040293]","[1.         0.92087912 0.93162393 1.         1.         1.
 1.         1.         1.         0.93040293]","[1.         1.         1.         1.         0.91575092 1.
 1.         1.         1.         0.93040293]","[1.         1.         0.93162393 1.         1.         1.
 1.         1.         1.         0.93040293]","[1.         1.         0.93162393 1.         1.         1.
 1.         1.         1.         0.93040293]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         0.98333333 1.         1.         1.
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         1.         1.
 1.         1.         1.         0.98888889]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         0.90722211 1.         1.         1.
 1.         1.         1.         0.90779975]","[1.         0.90246885 0.90722211 1.         1.         1.
 1.         1.         1.         0.90779975]","[1.         1.         1.         1.         0.90334331 1.
 1.         1.         1.         0.90779975]","[1.         1.         0.90722211 1.         1.         1.
 1.         1.         1.         0.90779975]","[1.         1.         0.90722211 1.         1.         1.
 1.         1.         1.         0.90779975]"
"[0.92307692 1.         1.         1.         1.         1.
 1.         1.         1.         1.        ]","[0.92307692 1.         1.         1.         1.         1.
 1.         1.         0.92307692 0.92307692]","[1.         1.         0.92307692 1.         1.         1.
 0.92307692 1.         1.         0.92307692]","[0.92307692 1.         1.         1.         1.         1.
 1.         1.         1.         1.        ]","[0.92307692 1.         1.         1.         1.         1.
 1.         1.         1.         1.        ]",[0.96 1.   1.   1.   1.   1.   1.   1.   1.   1.  ],[0.96 1.   1.   1.   1.   1.   1.   1.   0.9  0.95],[1.   1.   0.8  1.   1.   1.   0.9  1.   1.   0.95],[0.96 1.   1.   1.   1.   1.   1.   1.   1.   1.  ],[0.96 1.   1.   1.   1.   1.   1.   1.   1.   1.  ],"[0.96153846 1.         1.         1.         1.         1.
 1.         1.         1.         1.        ]","[0.96153846 1.         1.         1.         1.         1.
 1.         1.         0.93846154 0.96153846]","[1.         1.         0.86538462 1.         1.         1.
 0.93846154 1.         1.         0.96153846]","[0.96153846 1.         1.         1.         1.         1.
 1.         1.         1.         1.        ]","[0.96153846 1.         1.         1.         1.         1.
 1.         1.         1.         1.        ]","[0.92307692 1.         1.         1.         1.         1.
 1.         1.         1.         1.        ]","[0.92307692 1.         1.         1.         1.         1.
 1.         1.         0.92307692 0.92307692]","[1.         1.         0.92307692 1.         1.         1.
 0.92307692 1.         1.         0.92307692]","[0.92307692 1.         1.         1.         1.         1.
 1.         1.         1.         1.        ]","[0.92307692 1.         1.         1.         1.         1.
 1.         1.         1.         1.        ]","[0.93162393 1.         1.         1.         1.         1.
 1.         1.         1.         1.        ]","[0.93162393 1.         1.         1.         1.         1.
 1.         1.         0.91452991 0.93040293]","[1.         1.         0.89010989 1.         1.         1.
 0.91452991 1.         1.         0.93040293]","[0.93162393 1.         1.         1.         1.         1.
 1.         1.         1.         1.        ]","[0.93162393 1.         1.         1.         1.         1.
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         1.         1.         1.         1.
 1.         1.         1.         0.99444444]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.90576456 1.         1.         1.         1.         1.
 1.         1.         1.         1.        ]","[0.90576456 1.         1.         1.         1.         1.
 1.         1.         0.90426046 0.90779975]","[1.         1.         0.90270757 1.         1.         1.
 0.90426046 1.         1.         0.90779975]","[0.90576456 1.         1.         1.         1.         1.
 1.         1.         1.         1.        ]","[0.90576456 1.         1.         1.         1.         1.
 1.         1.         1.         1.        ]"
"[1.         0.92307692 1.         1.         1.         1.
 1.         1.         1.         1.        ]","[1.         0.92307692 1.         1.         1.         0.92307692
 1.         1.         1.         1.        ]","[0.92307692 1.         1.         1.         1.         0.92307692
 1.         0.92307692 1.         1.        ]","[1.         0.92307692 1.         1.         1.         0.92307692
 1.         1.         1.         1.        ]","[1.         0.92307692 1.         1.         1.         1.
 1.         1.         1.         1.        ]",[1.   0.96 1.   1.   1.   1.   1.   1.   1.   1.  ],"[1.         0.96       1.         1.         1.         0.93333333
 1.         1.         1.         1.        ]","[0.93333333 1.         1.         1.         1.         0.93333333
 1.         0.9        1.         1.        ]","[1.         0.96       1.         1.         1.         0.93333333
 1.         1.         1.         1.        ]",[1.   0.96 1.   1.   1.   1.   1.   1.   1.   1.  ],"[1.         0.96153846 1.         1.         1.         1.
 1.         1.         1.         1.        ]","[1.         0.96153846 1.         1.         1.         0.96153846
 1.         1.         1.         1.        ]","[0.94230769 1.         1.         1.         1.         0.96153846
 1.         0.93846154 1.         1.        ]","[1.         0.96153846 1.         1.         1.         0.96153846
 1.         1.         1.         1.        ]","[1.         0.96153846 1.         1.         1.         1.
 1.         1.         1.         1.        ]","[1.         0.92307692 1.         1.         1.         1.
 1.         1.         1.         1.        ]","[1.         0.92307692 1.         1.         1.         0.92307692
 1.         1.         1.         1.        ]","[0.92307692 1.         1.         1.         1.         0.92307692
 1.         0.92307692 1.         1.        ]","[1.         0.92307692 1.         1.         1.         0.92307692
 1.         1.         1.         1.        ]","[1.         0.92307692 1.         1.         1.         1.
 1.         1.         1.         1.        ]","[1.         0.93162393 1.         1.         1.         1.
 1.         1.         1.         1.        ]","[1.         0.93162393 1.         1.         1.         0.92820513
 1.         1.         1.         1.        ]","[0.92087912 1.         1.         1.         1.         0.92820513
 1.         0.91452991 1.         1.        ]","[1.         0.93162393 1.         1.         1.         0.92820513
 1.         1.         1.         1.        ]","[1.         0.93162393 1.         1.         1.         1.
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         0.90576456 1.         1.         1.         1.
 1.         1.         1.         1.        ]","[1.         0.90576456 1.         1.         1.         0.90553988
 1.         1.         1.         1.        ]","[0.90246885 1.         1.         1.         1.         0.90553988
 1.         0.90426046 1.         1.        ]","[1.         0.90576456 1.         1.         1.         0.90553988
 1.         1.         1.         1.        ]","[1.         0.90576456 1.         1.         1.         1.
 1.         1.         1.         1.        ]"
"[1.         1.         1.         1.         0.92307692 1.
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         0.92307692 1.
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         1.         1.
 0.92307692 1.         1.         1.        ]","[1.         1.         1.         1.         0.92307692 1.
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         0.92307692 1.
 1.         1.         1.         1.        ]",[1.   1.   1.   1.   0.96 1.   1.   1.   1.   1.  ],[1.   1.   1.   1.   0.96 1.   1.   1.   1.   1.  ],[1.  1.  1.  1.  1.  1.  0.9 1.  1.  1. ],[1.   1.   1.   1.   0.96 1.   1.   1.   1.   1.  ],[1.   1.   1.   1.   0.96 1.   1.   1.   1.   1.  ],"[1.         1.         1.         1.         0.96153846 1.
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         0.96153846 1.
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         1.         1.
 0.93846154 1.         1.         1.        ]","[1.         1.         1.         1.         0.96153846 1.
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         0.96153846 1.
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         0.92307692 1.
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         0.92307692 1.
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         1.         1.
 0.92307692 1.         1.         1.        ]","[1.         1.         1.         1.         0.92307692 1.
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         0.92307692 1.
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         0.93162393 1.
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         0.93162393 1.
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         1.         1.
 0.91452991 1.         1.         1.        ]","[1.         1.         1.         1.         0.93162393 1.
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         0.93162393 1.
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         1.         1.         0.90722211 1.
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         0.90722211 1.
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         1.         1.
 0.90426046 1.         1.         1.        ]","[1.         1.         1.         1.         0.90722211 1.
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         0.90722211 1.
 1.         1.         1.         1.        ]"
"[1.         1.         1.         1.         1.         1.
 1.         1.         1.         0.92307692]","[0.92307692 1.         0.92307692 1.         1.         1.
 1.         1.         1.         0.92307692]","[1.         1.         0.92307692 1.         1.         1.
 1.         1.         1.         0.92307692]","[1.         1.         1.         1.         1.         1.
 1.         1.         1.         0.92307692]","[1.         1.         1.         1.         1.         1.
 1.         1.         1.         0.92307692]",[1.   1.   1.   1.   1.   1.   1.   1.   1.   0.95],"[0.93333333 1.         0.93333333 1.         1.         1.
 1.         1.         1.         0.95      ]","[1.         1.         0.93333333 1.         1.         1.
 1.         1.         1.         0.95      ]",[1.   1.   1.   1.   1.   1.   1.   1.   1.   0.95],[1.   1.   1.   1.   1.   1.   1.   1.   1.   0.95],"[1.         1.         1.         1.         1.         1.
 1.         1.         1.         0.94871795]","[0.94230769 1.         0.94871795 1.         1.         1.
 1.         1.         1.         0.94871795]","[1.         1.         0.94871795 1.         1.         1.
 1.         1.         1.         0.94871795]","[1.         1.         1.         1.         1.         1.
 1.         1.         1.         0.94871795]","[1.         1.         1.         1.         1.         1.
 1.         1.         1.         0.94871795]","[1.         1.         1.         1.         1.         1.
 1.         1.         1.         0.92307692]","[0.92307692 1.         0.92307692 1.         1.         1.
 1.         1.         1.         0.92307692]","[1.         1.         0.92307692 1.         1.         1.
 1.         1.         1.         0.92307692]","[1.         1.         1.         1.         1.         1.
 1.         1.         1.         0.92307692]","[1.         1.         1.         1.         1.         1.
 1.         1.         1.         0.92307692]","[1.         1.         1.         1.         1.         1.
 1.         1.         1.         0.92527473]","[0.92087912 1.         0.92307692 1.         1.         1.
 1.         1.         1.         0.92527473]","[1.         1.         0.92307692 1.         1.         1.
 1.         1.         1.         0.92527473]","[1.         1.         1.         1.         1.         1.
 1.         1.         1.         0.92527473]","[1.         1.         1.         1.         1.         1.
 1.         1.         1.         0.92527473]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         0.99333333 1.         1.         1.
 1.         1.         1.         0.99444444]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.       1.       1.       1.       1.       1.       1.       1.
 1.       0.907004]","[0.90246885 1.         0.9047619  1.         1.         1.
 1.         1.         1.         0.907004  ]","[1.        1.        0.9047619 1.        1.        1.        1.
 1.        1.        0.907004 ]","[1.       1.       1.       1.       1.       1.       1.       1.
 1.       0.907004]","[1.       1.       1.       1.       1.       1.       1.       1.
 1.       0.907004]"
"[1.         1.         1.         1.         1.         0.92307692
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         1.         0.92307692
 1.         1.         1.         1.        ]","[1.         0.92307692 0.92307692 1.         1.         0.92307692
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         1.         0.92307692
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         1.         0.92307692
 1.         1.         1.         1.        ]",[1.   1.   1.   1.   1.   0.96 1.   1.   1.   1.  ],[1.   1.   1.   1.   1.   0.96 1.   1.   1.   1.  ],"[1.         0.93333333 0.93333333 1.         1.         0.96
 1.         1.         1.         1.        ]",[1.   1.   1.   1.   1.   0.96 1.   1.   1.   1.  ],[1.   1.   1.   1.   1.   0.96 1.   1.   1.   1.  ],"[1.         1.         1.         1.         1.         0.94871795
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         1.         0.94871795
 1.         1.         1.         1.        ]","[1.         0.94230769 0.94871795 1.         1.         0.94871795
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         1.         0.94871795
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         1.         0.94871795
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         1.         0.92307692
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         1.         0.92307692
 1.         1.         1.         1.        ]","[1.         0.92307692 0.92307692 1.         1.         0.92307692
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         1.         0.92307692
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         1.         0.92307692
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         1.         0.92649573
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         1.         0.92649573
 1.         1.         1.         1.        ]","[1.         0.92087912 0.92307692 1.         1.         0.92649573
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         1.         0.92649573
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         1.         0.92649573
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         1.         1.         1.         0.99090909
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         1.         1.         1.         0.90636065
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         1.         0.90636065
 1.         1.         1.         1.        ]","[1.         0.90246885 0.9047619  1.         1.         0.90636065
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         1.         0.90636065
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         1.         0.90636065
 1.         1.         1.         1.        ]"
"[1.         1.         1.         1.         1.         1.
 0.92307692 1.         1.         1.        ]","[1.         1.         1.         1.         1.         1.
 0.92307692 1.         1.         1.        ]","[1.         1.         1.         1.         1.         1.
 1.         0.92307692 0.92307692 1.        ]","[1.         1.         1.         1.         1.         1.
 0.92307692 1.         1.         1.        ]","[1.         1.         1.         1.         1.         1.
 0.92307692 1.         1.         1.        ]",[1.   1.   1.   1.   1.   1.   0.95 1.   1.   1.  ],[1.   1.   1.   1.   1.   1.   0.95 1.   1.   1.  ],[1.   1.   1.   1.   1.   1.   1.   0.9  0.95 1.  ],[1.   1.   1.   1.   1.   1.   0.95 1.   1.   1.  ],[1.   1.   1.   1.   1.   1.   0.95 1.   1.   1.  ],"[1.         1.         1.         1.         1.         1.
 0.94871795 1.         1.         1.        ]","[1.         1.         1.         1.         1.         1.
 0.94871795 1.         1.         1.        ]","[1.         1.         1.         1.         1.         1.
 1.         0.93846154 0.96153846 1.        ]","[1.         1.         1.         1.         1.         1.
 0.94871795 1.         1.         1.        ]","[1.         1.         1.         1.         1.         1.
 0.94871795 1.         1.         1.        ]","[1.         1.         1.         1.         1.         1.
 0.92307692 1.         1.         1.        ]","[1.         1.         1.         1.         1.         1.
 0.92307692 1.         1.         1.        ]","[1.         1.         1.         1.         1.         1.
 1.         0.92307692 0.92307692 1.        ]","[1.         1.         1.         1.         1.         1.
 0.92307692 1.         1.         1.        ]","[1.         1.         1.         1.         1.         1.
 0.92307692 1.         1.         1.        ]","[1.         1.         1.         1.         1.         1.
 0.92527473 1.         1.         1.        ]","[1.         1.         1.         1.         1.         1.
 0.92527473 1.         1.         1.        ]","[1.         1.         1.         1.         1.         1.
 1.         0.91452991 0.93040293 1.        ]","[1.         1.         1.         1.         1.         1.
 0.92527473 1.         1.         1.        ]","[1.         1.         1.         1.         1.         1.
 0.92527473 1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.       1.       1.       1.       1.       1.       0.907004 1.
 1.       1.      ]","[1.       1.       1.       1.       1.       1.       0.907004 1.
 1.       1.      ]","[1.         1.         1.         1.         1.         1.
 1.         0.90426046 0.90779975 1.        ]","[1.       1.       1.       1.       1.       1.       0.907004 1.
 1.       1.      ]","[1.       1.       1.       1.       1.       1.       0.907004 1.
 1.       1.      ]"
"[1.         0.92307692 1.         1.         1.         1.
 1.         1.         1.         1.        ]","[1.         0.92307692 1.         1.         1.         1.
 1.         1.         1.         1.        ]","[1.         0.92307692 0.92307692 1.         1.         1.
 1.         1.         1.         1.        ]","[1.         0.92307692 1.         1.         1.         1.
 1.         1.         1.         1.        ]","[1.         0.92307692 1.         1.         1.         1.
 1.         1.         1.         1.        ]",[1.   0.96 1.   1.   1.   1.   1.   1.   1.   1.  ],[1.   0.96 1.   1.   1.   1.   1.   1.   1.   1.  ],[1.   0.96 0.8  1.   1.   1.   1.   1.   1.   1.  ],[1.   0.96 1.   1.   1.   1.   1.   1.   1.   1.  ],[1.   0.96 1.   1.   1.   1.   1.   1.   1.   1.  ],"[1.         0.96153846 1.         1.         1.         1.
 1.         1.         1.         1.        ]","[1.         0.96153846 1.         1.         1.         1.
 1.         1.         1.         1.        ]","[1.         0.96153846 0.86538462 1.         1.         1.
 1.         1.         1.         1.        ]","[1.         0.96153846 1.         1.         1.         1.
 1.         1.         1.         1.        ]","[1.         0.96153846 1.         1.         1.         1.
 1.         1.         1.         1.        ]","[1.         0.92307692 1.         1.         1.         1.
 1.         1.         1.         1.        ]","[1.         0.92307692 1.         1.         1.         1.
 1.         1.         1.         1.        ]","[1.         0.92307692 0.92307692 1.         1.         1.
 1.         1.         1.         1.        ]","[1.         0.92307692 1.         1.         1.         1.
 1.         1.         1.         1.        ]","[1.         0.92307692 1.         1.         1.         1.
 1.         1.         1.         1.        ]","[1.         0.93162393 1.         1.         1.         1.
 1.         1.         1.         1.        ]","[1.         0.93162393 1.         1.         1.         1.
 1.         1.         1.         1.        ]","[1.         0.93162393 0.89010989 1.         1.         1.
 1.         1.         1.         1.        ]","[1.         0.93162393 1.         1.         1.         1.
 1.         1.         1.         1.        ]","[1.         0.93162393 1.         1.         1.         1.
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1.     1.     1.     1.     1.     0.9975 1.     1.     1.     1.    ],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         0.90576456 1.         1.         1.         1.
 1.         1.         1.         1.        ]","[1.         0.90576456 1.         1.         1.         1.
 1.         1.         1.         1.        ]","[1.         0.90576456 0.90270757 1.         1.         1.
 1.         1.         1.         1.        ]","[1.         0.90576456 1.         1.         1.         1.
 1.         1.         1.         1.        ]","[1.         0.90576456 1.         1.         1.         1.
 1.         1.         1.         1.        ]"
"[1.         1.         1.         1.         1.         1.
 0.92307692 1.         1.         1.        ]","[0.92307692 1.         1.         1.         1.         1.
 0.92307692 1.         1.         1.        ]","[1.         1.         1.         1.         1.         1.
 0.84615385 1.         1.         1.        ]","[1.         1.         1.         1.         1.         1.
 0.92307692 1.         1.         1.        ]","[1.         1.         1.         1.         1.         1.
 0.92307692 1.         1.         1.        ]",[1.   1.   1.   1.   1.   1.   0.95 1.   1.   1.  ],"[0.93333333 1.         1.         1.         1.         1.
 0.95       1.         1.         1.        ]",[1.  1.  1.  1.  1.  1.  0.9 1.  1.  1. ],[1.   1.   1.   1.   1.   1.   0.95 1.   1.   1.  ],[1.   1.   1.   1.   1.   1.   0.95 1.   1.   1.  ],"[1.         1.         1.         1.         1.         1.
 0.94871795 1.         1.         1.        ]","[0.94230769 1.         1.         1.         1.         1.
 0.94871795 1.         1.         1.        ]","[1.         1.         1.         1.         1.         1.
 0.88461538 1.         1.         1.        ]","[1.         1.         1.         1.         1.         1.
 0.94871795 1.         1.         1.        ]","[1.         1.         1.         1.         1.         1.
 0.94871795 1.         1.         1.        ]","[1.         1.         1.         1.         1.         1.
 0.92307692 1.         1.         1.        ]","[0.92307692 1.         1.         1.         1.         1.
 0.92307692 1.         1.         1.        ]","[1.         1.         1.         1.         1.         1.
 0.84615385 1.         1.         1.        ]","[1.         1.         1.         1.         1.         1.
 0.92307692 1.         1.         1.        ]","[1.         1.         1.         1.         1.         1.
 0.92307692 1.         1.         1.        ]","[1.         1.         1.         1.         1.         1.
 0.92527473 1.         1.         1.        ]","[0.92087912 1.         1.         1.         1.         1.
 0.92527473 1.         1.         1.        ]","[1.         1.         1.         1.         1.         1.
 0.85347985 1.         1.         1.        ]","[1.         1.         1.         1.         1.         1.
 0.92527473 1.         1.         1.        ]","[1.         1.         1.         1.         1.         1.
 0.92527473 1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         1.         1.         1.         1.
 0.99166667 1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.       1.       1.       1.       1.       1.       0.907004 1.
 1.       1.      ]","[0.90246885 1.         1.         1.         1.         1.
 0.907004   1.         1.         1.        ]","[1.         1.         1.         1.         1.         1.
 0.80778791 1.         1.         1.        ]","[1.       1.       1.       1.       1.       1.       0.907004 1.
 1.       1.      ]","[1.       1.       1.       1.       1.       1.       0.907004 1.
 1.       1.      ]"
