0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474,475,476,477,478,479,480,481,482,483,484
31198,13055,549,34044,30451,53962,109,40733,30481,32609,4465,27500,22092,15641,45159,3192,33774,354,13994,972,39135,49188,9511,46438,2836,42132,14459,48777,32717,4058,15040,52513,26833,48262,13180,26268,25663,11925,43953,4088,26847,2767,25622,34950,23144,3248,5727,19315,45564,30797,42049,27268,40472,53136,23360,32796,42322,33088,25325,30829,637,42167,5795,28965,3900,32542,18278,34949,47354,11623,18731,33514,17090,33505,53192,50588,50330,38500,41223,30329,35528,21496,15738,11739,17990,23718,30473,14307,10701,266,6247,3074,29077,3282,2735,6513,11998,3943,26894,43491,36480,30483,29280,5612,4653,40469,1245,1974,39188,27220,53854,36640,20146,40006,2194,229,9733,14698,46062,11344,32319,41681,5374,53973,36522,36516,36484,36488,36491,36492,36494,36501,36524,36553,34315,36557,36558,36561,36526,36528,36532,36535,36544,36547,34317,36415,36417,36411,36428,36431,34323,36399,36392,36398,36434,36435,36474,36437,34321,36455,36701,36715,36716,36695,36719,36672,36674,36677,36682,36687,36688,36690,36745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31198,549,30451,32609,4465,15641,3192,972,39135,49188,2836,14459,48777,32717,15040,52513,48262,13180,25663,11925,26847,25622,34950,3248,5727,45564,42049,27268,40472,53136,30829,637,42167,5795,3900,32542,18278,34949,47354,33514,17090,33505,53192,50588,41223,30329,15738,23718,30473,266,6247,3282,2735,11998,3943,26894,43491,30483,5612,4653,1245,1974,39188,27220,36640,20146,14698,11344,32319,36488,36501,34315,36532,36544,34317,36411,36431,34323,36399,36392,36434,36437,34321,36716,36719,36674,36677,36690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37375,31198,14603,13055,44558,22389,549,3866,13356,34044,16683,51377,30451,53962,109,53722,34497,42304,40733,30481,10307,32181,32609,2360,4465,878,27500,10,22092,54,15641,169,39419,140,41,1059,9332,11446,45159,21477,13801,3192,33774,354,13994,972,27382,39135,24796,35555,21586,49188,9511,11909,46438,15325,51376,12813,2836,11685,53951,6144,42132,9173,34009,50306,19871,14459,6,51,48777,32717,27,4058,15040,52513,310,21726,26833,31355,48262,43256,13180,30530,27336,5842,26268,25663,21173,27048,11925,43953,32548,19,9170,4088,32479,4211,17724,5447,54346,26847,2767,28897,27550,25622,9318,34950,23144,3248,1689,8305,5727,22,19315,45564,39537,30797,27385,40516,51766,42049,27268,40472,53136,23360,21599,32796,42322,4068,33088,25325,30829,637,42167,11629,15677,27796,3532,2596,37839,5795,28965,0,3900,51910,32542,18278,34949,11260,12229,47354,16,24814,8669,11623,19089,38218,18731,33514,17090,24589,35275,33505,53192,18794,50588,50330,38500,19680,24728,30459,18342,41223,51995,7331,370,44502,30329,47011,30648,35528,25958,8164,43641,21496,21294,15738,18703,14831,12606,275,11739,32151,2107,17990,43560,4372,10735,23718,18127,30473,36466,22029,32772,14307,2970,10701,266,2786,1291,41593,6247,54547,3074,29077,3282,2735,42211,6513,11998,3943,41097,26894,14149,43491,42026,52399,19539,36480,32004,30483,20541,29280,5612,4653,40469,52501,16941,1245,5274,1974,39188,27220,53854,36640,20146,40006,2194,229,9733,15177,3117,14698,46062,29645,53831,18959,11344,7663,32319,41681,21787,46456,37406,5374,53973,9,44713,36514,36523,36522,36521,36519,36506,36510,36511,36517,36516,36512,36513,36515,34478,36505,36504,36484,36485,36486,36487,36488,36489,36490,36491,36492,36494,36495,36498,36499,36500,36501,36503,36524,36529,36525,36552,36553,36554,34315,36555,36556,36557,36558,36559,36560,36561,36562,36563,36564,36565,36566,34314,36569,36551,36526,36548,36527,36528,36482,36530,36532,36533,36534,36535,36536,36539,36540,36541,36543,36544,36546,36547,36483,34317,34316,36422,36412,36414,36415,36416,36417,36418,36419,36421,36423,36411,36424,36425,36426,36427,36428,36429,36430,36431,36432,34323,36410,36481,36399,36390,36391,36392,36393,36396,36397,36398,34326,36400,34324,36401,36402,34325,36406,36407,36409,36433,36434,36435,36462,36463,36464,34318,36467,36470,36436,36471,36472,36473,36474,36475,36476,36477,36478,36479,36572,36459,36458,36456,36437,36438,34321,36439,36440,34320,36441,36442,36443,36444,36445,36446,36448,36449,36452,36453,36454,36455,36571,36574,36573,36706,36696,36699,36700,36701,36702,36703,36704,36705,36694,36708,36710,36712,36713,36714,36715,36716,36717,36695,36719,36680,34305,36672,36673,36674,36675,36676,36677,34304,36678,36679,36681,36682,36683,36684,36685,36686,36687,36688,36689,36690,36691,36718,36670,36745,36746,,,,,,,,,,,
37375,31198,14603,13055,44558,22389,549,3866,13356,34044,16683,51377,30451,53962,109,29104,53722,34497,42304,40733,30481,10307,32181,32609,2360,4465,878,27500,10,22092,54,15641,169,39419,140,41,1059,9332,11446,45159,21477,13801,3192,33774,354,13994,972,27382,39135,24796,35555,21586,49188,9511,11909,46438,15325,51376,12813,2836,11685,53951,6144,42132,9173,34009,50306,19871,14459,6,51,48777,32717,27,4058,15040,52513,310,21726,26833,31355,48262,43256,13180,30530,27336,5842,26268,25663,21173,27048,11925,43953,32548,19,9170,4088,32479,4211,17724,5447,54346,26847,2767,12996,28897,27550,25622,9318,34950,23144,3248,1689,8305,5727,22,19315,45564,39537,30797,27385,40516,51766,42049,27268,40472,53136,23360,21599,32796,42322,4068,33088,25325,30829,637,42167,11629,15677,27796,3532,2596,37839,5795,28965,0,3900,51910,32542,18278,34949,11260,12229,47354,16,24814,8669,11623,19089,38218,18731,33514,17090,24589,35275,33505,53192,18794,50588,50330,38500,19680,24728,30459,18342,41223,51995,7331,370,44502,30329,47011,30648,35528,25958,8164,43641,21496,21294,15738,18703,14831,12606,275,11739,32151,2107,17990,43560,4372,10735,23718,18127,30473,36466,22029,32772,14307,2970,10701,266,2786,1291,41593,6247,54547,3074,29077,3282,2735,42211,6513,11998,3943,41097,26894,14149,43491,42026,52399,19539,36480,32004,30483,20541,29280,5612,4653,40469,52501,16941,1245,5274,1974,39188,27220,53854,36640,20146,40006,2194,229,9733,15177,3117,14698,46062,29645,53831,18959,11344,7663,32319,41681,21787,46456,37406,5374,53973,9,44713,36514,36523,36522,36521,36519,36506,36510,36511,36517,36516,36512,36513,36515,34478,36505,36504,36484,36485,36486,36487,36488,36489,36490,36491,36492,36494,36495,36498,36499,36500,36501,36503,36524,36529,36525,36552,36553,36554,34315,36555,36556,36557,36558,36559,36560,36561,36562,36563,36564,36565,36566,34314,36569,36551,36549,36526,36548,36527,36528,36482,36530,36532,36533,36534,36535,36536,36538,36539,36540,36541,36543,36544,36546,36547,36483,34317,34316,36422,36412,36413,36414,36415,36416,36417,36418,36419,36421,36423,36411,36424,34322,36425,36426,36427,36428,36429,36430,36431,36432,34323,36410,36481,36399,36390,36391,36392,36393,36396,36397,36398,34326,36400,34324,36401,36402,34325,36406,36407,36409,36433,36434,36435,36469,36462,36463,36464,34318,36467,36468,36470,36436,36471,36472,36473,36474,36475,36476,36477,36478,36479,36572,36459,36458,36456,36437,36438,34321,36439,36440,34320,36441,36442,36443,36444,36445,36446,36448,36449,36450,36452,36453,36454,36455,36571,36574,36573,36706,36696,36699,36700,36701,36702,36703,36704,36705,36707,36694,36708,36710,36712,36713,36714,36715,36716,36717,36695,36693,36719,36680,34305,36672,36673,36674,36675,36676,36677,34304,36678,36679,36681,36682,36683,36684,36685,36686,36687,36688,36689,36690,36691,36718,36670,36745,36746
37375,31198,14603,13055,44558,549,3866,13356,34044,16683,51377,30451,53962,109,53722,34497,42304,40733,30481,32181,32609,4465,878,27500,22092,54,15641,169,39419,140,41,1059,9332,11446,45159,21477,13801,3192,33774,354,13994,972,27382,39135,35555,21586,49188,9511,46438,15325,51376,12813,2836,11685,53951,42132,9173,34009,50306,19871,14459,6,48777,32717,27,4058,15040,52513,310,21726,26833,31355,48262,43256,13180,30530,5842,26268,25663,21173,27048,11925,43953,32548,19,9170,4088,32479,4211,17724,5447,54346,26847,2767,28897,27550,25622,9318,34950,23144,3248,1689,8305,5727,19315,45564,39537,30797,27385,40516,51766,42049,27268,40472,53136,23360,21599,32796,42322,4068,33088,25325,30829,637,42167,11629,27796,3532,2596,37839,5795,28965,0,3900,51910,32542,18278,34949,12229,47354,16,24814,8669,11623,19089,38218,18731,33514,17090,24589,35275,33505,53192,50588,50330,38500,19680,24728,30459,18342,41223,51995,7331,370,44502,30329,47011,30648,35528,8164,43641,21496,15738,18703,14831,12606,275,11739,2107,17990,43560,4372,10735,23718,18127,30473,36466,22029,32772,14307,2970,10701,266,2786,41593,6247,54547,3074,29077,3282,2735,42211,6513,11998,3943,41097,26894,43491,42026,52399,19539,36480,32004,30483,20541,29280,5612,4653,40469,52501,16941,1245,5274,1974,39188,27220,53854,36640,20146,40006,2194,229,9733,15177,3117,14698,46062,29645,53831,18959,11344,7663,32319,41681,46456,37406,5374,53973,9,36514,36523,36522,36521,36519,36506,36510,36517,36516,36512,36513,36515,34478,36505,36484,36485,36486,36488,36489,36490,36491,36492,36494,36495,36499,36500,36501,36503,36524,36529,36552,36553,36554,34315,36555,36557,36558,36559,36561,36564,36565,36526,36548,36527,36528,36530,36532,36533,36534,36535,36536,36540,36541,36543,36544,36546,36547,36483,34317,36422,36414,36415,36416,36417,36418,36419,36421,36423,36411,36425,36426,36427,36428,36429,36431,36432,34323,36410,36481,36399,36390,36391,36392,36393,36397,36398,34326,36400,34324,36401,36402,36406,36407,36409,36433,36434,36435,36463,34318,36470,36436,36473,36474,36475,36476,36477,36478,36572,36456,36437,34321,36439,36440,34320,36441,36442,36443,36445,36446,36448,36449,36452,36455,36571,36573,36706,36696,36699,36700,36701,36702,36703,36705,36708,36712,36715,36716,36717,36695,36719,34305,36672,36673,36674,36675,36676,36677,34304,36679,36681,36682,36683,36684,36685,36686,36687,36688,36689,36690,36691,36718,36670,36745,36746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31198,549,34044,30451,53962,109,40733,30481,32609,4465,22092,15641,45159,3192,354,13994,972,39135,49188,9511,2836,42132,14459,48777,32717,15040,52513,26833,48262,13180,26268,25663,11925,4088,26847,25622,34950,23144,3248,5727,19315,45564,30797,42049,27268,40472,53136,33088,25325,30829,637,42167,5795,28965,3900,32542,18278,34949,47354,33514,17090,33505,53192,50588,41223,30329,21496,15738,11739,17990,23718,30473,14307,10701,266,6247,3074,29077,3282,2735,11998,3943,26894,43491,36480,30483,29280,5612,4653,1245,1974,39188,27220,53854,36640,20146,40006,229,9733,14698,11344,32319,53973,36522,36516,36488,36501,36524,36553,34315,36558,36561,36526,36532,36535,36544,34317,36417,36411,36431,34323,36399,36392,36434,36435,36474,36437,34321,36715,36716,36719,36674,36677,36687,36688,36690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31198,13055,549,34044,30451,53962,109,40733,30481,32609,4465,27500,22092,15641,45159,3192,33774,354,13994,972,39135,49188,9511,46438,2836,42132,14459,48777,32717,4058,15040,52513,26833,48262,13180,26268,25663,11925,43953,4088,26847,2767,25622,34950,23144,3248,5727,19315,45564,30797,42049,27268,40472,53136,23360,32796,42322,33088,25325,30829,637,42167,27796,5795,28965,3900,32542,18278,34949,47354,11623,18731,33514,17090,33505,53192,50588,50330,38500,41223,30329,35528,21496,15738,11739,17990,23718,30473,14307,10701,266,6247,3074,29077,3282,2735,6513,11998,3943,26894,43491,36480,30483,29280,5612,4653,40469,1245,1974,39188,27220,53854,36640,20146,40006,2194,229,9733,14698,46062,11344,32319,41681,5374,53973,36522,36516,36484,36488,36491,36492,36494,36501,36524,36553,34315,36557,36558,36561,36526,36528,36532,36535,36541,36544,36547,34317,36415,36417,36411,36428,36431,34323,36410,36399,36392,36393,36398,36401,36434,36435,36470,36474,36437,34321,36455,36701,36715,36716,36695,36719,36672,36674,36677,36682,36687,36688,36690,36745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31198,549,34044,30451,53962,109,40733,30481,32609,4465,22092,15641,45159,3192,354,13994,972,39135,49188,9511,2836,42132,14459,48777,32717,15040,52513,48262,13180,26268,25663,11925,4088,26847,25622,34950,3248,5727,19315,45564,42049,27268,40472,53136,33088,25325,30829,637,42167,5795,28965,3900,32542,18278,34949,47354,33514,17090,33505,53192,50588,41223,30329,21496,15738,23718,30473,14307,10701,266,6247,3074,3282,2735,11998,3943,26894,43491,36480,30483,29280,5612,4653,1245,1974,39188,27220,53854,36640,20146,40006,9733,14698,11344,32319,53973,36522,36516,36488,36501,36553,34315,36561,36526,36532,36544,34317,36417,36411,36431,34323,36399,36392,36434,36435,36474,36437,34321,36715,36716,36719,36674,36677,36687,36688,36690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37375,31198,13055,549,3866,34044,16683,51377,30451,53962,109,42304,40733,30481,32609,4465,27500,22092,15641,41,9332,45159,3192,33774,354,13994,972,39135,35555,21586,49188,9511,46438,2836,53951,42132,34009,14459,6,48777,32717,4058,15040,52513,21726,26833,31355,48262,43256,13180,30530,5842,26268,25663,11925,43953,9170,4088,32479,26847,2767,28897,27550,25622,34950,23144,3248,8305,5727,19315,45564,30797,42049,27268,40472,53136,23360,21599,32796,42322,33088,25325,30829,637,42167,27796,37839,5795,28965,3900,32542,18278,34949,12229,47354,11623,18731,33514,17090,35275,33505,53192,50588,50330,38500,30459,41223,51995,7331,30329,35528,21496,15738,18703,14831,275,11739,17990,23718,30473,14307,2970,10701,266,41593,6247,3074,29077,3282,2735,42211,6513,11998,3943,41097,26894,43491,42026,52399,36480,32004,30483,20541,29280,5612,4653,40469,16941,1245,1974,39188,27220,53854,36640,20146,40006,2194,229,9733,15177,14698,46062,53831,18959,11344,7663,32319,41681,5374,53973,36522,36521,36506,36516,36512,36484,36485,36488,36490,36491,36492,36494,36501,36503,36524,36553,36554,34315,36557,36558,36561,36565,36526,36527,36528,36532,36535,36541,36544,36547,34317,36422,36415,36417,36418,36411,36428,36431,34323,36410,36399,36390,36391,36392,36393,36398,36401,36434,36435,36470,36436,36474,36456,36437,34321,34320,36442,36448,36455,36573,36696,36701,36702,36703,36715,36716,36695,36719,36672,36674,36677,36681,36682,36685,36687,36688,36690,36670,36745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37375,31198,13055,549,34044,16683,30451,53962,109,42304,40733,30481,32609,4465,27500,22092,15641,41,45159,3192,33774,354,13994,972,39135,21586,49188,9511,46438,2836,42132,34009,14459,48777,32717,4058,15040,52513,21726,26833,48262,13180,30530,5842,26268,25663,11925,43953,4088,26847,2767,25622,34950,23144,3248,5727,19315,45564,30797,42049,27268,40472,53136,23360,32796,42322,33088,25325,30829,637,42167,27796,5795,28965,3900,32542,18278,34949,47354,11623,18731,33514,17090,33505,53192,50588,50330,38500,41223,51995,7331,30329,35528,21496,15738,14831,11739,17990,23718,30473,14307,10701,266,41593,6247,3074,29077,3282,2735,42211,6513,11998,3943,41097,26894,43491,42026,52399,36480,30483,20541,29280,5612,4653,40469,16941,1245,1974,39188,27220,53854,36640,20146,40006,2194,229,9733,15177,14698,46062,18959,11344,32319,41681,5374,53973,36522,36506,36516,36512,36484,36485,36488,36491,36492,36494,36501,36524,36553,34315,36557,36558,36561,36565,36526,36527,36528,36532,36535,36541,36544,36547,34317,36415,36417,36418,36411,36428,36431,34323,36410,36399,36392,36393,36398,36401,36434,36435,36470,36474,36437,34321,34320,36442,36448,36455,36696,36701,36715,36716,36695,36719,36672,36674,36677,36682,36687,36688,36690,36670,36745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
