0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
X95735_at,M23197_at,U05259_rna1_at,X04145_at,U46499_at,M31523_at,M27891_at,U23852_s_at,M92287_at,M89957_at,L08895_at,AFFX-HSAC07/X00351_5_at,X89750_at,X90568_at,X69398_at,X69819_at,X69433_at,X98172_at,X98833_rna1_at,X69111_at,X75593_at,X77094_at,X71973_at,X70297_at,Z35227_at,Z49194_at,L20688_at,M61853_at,M21535_at,,,,,,,,,,,,,,,,,,,,,,,
X95735_at,U05259_rna1_at,M31523_at,U23852_s_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X95735_at,M23197_at,U05259_rna1_at,X04145_at,U46499_at,M31523_at,M27891_at,D63880_at,U23852_s_at,M74719_at,M92287_at,M89957_at,L08895_at,AFFX-HSAC07/X00351_5_at,X89750_at,X90568_at,X69398_at,X69819_at,X69433_at,X98172_at,X98833_rna1_at,X94612_at,X69111_at,X75593_at,X77094_at,X71973_at,X70297_at,X74570_at,X80907_at,X80230_at,Z35278_at,Z35227_at,Z49194_at,L20688_at,L06133_at,M61853_at,M21535_at,J02783_at,,,,,,,,,,,,,,
X95735_at,M23197_at,U05259_rna1_at,M31523_at,U23852_s_at,M92287_at,X69398_at,X75593_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X95735_at,M23197_at,U05259_rna1_at,X04145_at,U46499_at,M31523_at,M27891_at,D63880_at,U23852_s_at,M74719_at,M92287_at,M89957_at,L08895_at,AFFX-HSAC07/X00351_5_at,X89750_at,X90568_at,X69398_at,X69819_at,X69433_at,X98172_at,X98833_rna1_at,X94612_at,X69111_at,X75593_at,X77094_at,X71973_at,X70297_at,X74570_at,X80907_at,X80230_at,Z35227_at,Z49194_at,L20688_at,M61853_at,M21535_at,J02783_at,,,,,,,,,,,,,,,,
X95735_at,M23197_at,U05259_rna1_at,X04145_at,U46499_at,M31523_at,M27891_at,U23852_s_at,M92287_at,M89957_at,L08895_at,AFFX-HSAC07/X00351_5_at,X89750_at,X90568_at,X69398_at,X69819_at,X69433_at,X98172_at,X98833_rna1_at,X94612_at,X69111_at,X75593_at,X77094_at,X71973_at,X70297_at,X80907_at,Z35227_at,Z49194_at,L20688_at,M61853_at,M21535_at,J02783_at,,,,,,,,,,,,,,,,,,,,
X95735_at,M23197_at,U05259_rna1_at,M31523_at,U23852_s_at,M92287_at,X69398_at,X75593_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X95735_at,U05259_rna1_at,M31523_at,U23852_s_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X95735_at,M23197_at,U05259_rna1_at,X04145_at,U46499_at,M31523_at,M27891_at,D63880_at,U23852_s_at,M74719_at,M92287_at,M89957_at,D87292_at,L08895_at,AFFX-HSAC07/X00351_5_at,J04605_at,X89750_at,X90568_at,X69398_at,X69819_at,X87241_at,X69433_at,X98172_at,X98833_rna1_at,X94612_at,X69111_at,X75593_at,X77094_at,X71973_at,X70683_at,X70297_at,X74570_at,X83378_at,X80907_at,X80230_at,Z35278_at,Z35227_at,Z49194_at,L20688_at,L06133_at,M61853_at,M21535_at,D45132_at,J02783_at,,,,,,,,
X95735_at,M23197_at,U05259_rna1_at,M31523_at,U23852_s_at,M92287_at,L08895_at,X69398_at,X69819_at,X69433_at,X98833_rna1_at,X75593_at,X71973_at,Z35227_at,Z49194_at,M61853_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X95735_at,M23197_at,U05259_rna1_at,X04145_at,U46499_at,M31523_at,M27891_at,U23852_s_at,M92287_at,M89957_at,L08895_at,AFFX-HSAC07/X00351_5_at,X89750_at,X90568_at,X69398_at,X69819_at,X69433_at,X98172_at,X98833_rna1_at,X94612_at,X69111_at,X75593_at,X77094_at,X71973_at,X70297_at,X80907_at,Z35227_at,Z49194_at,L20688_at,M61853_at,M21535_at,J02783_at,,,,,,,,,,,,,,,,,,,,
X95735_at,M23197_at,U05259_rna1_at,X04145_at,U46499_at,AFFX-HSAC07/X00351_5_st,M31523_at,M27891_at,D63880_at,U23852_s_at,M74719_at,M92287_at,M89957_at,D87292_at,L08895_at,AFFX-HSAC07/X00351_5_at,J04605_at,X89750_at,X90568_at,X69398_at,X69819_at,X87241_at,X69433_at,X98172_at,X98834_rna1_at,X98833_rna1_at,X94612_at,X94232_at,X69111_at,X76061_at,X76029_at,X75593_at,X77094_at,X72012_at,X71973_at,X71125_at,X70683_at,X70040_at,X70297_at,X74570_at,X83378_at,X80907_at,X80230_at,Z35278_at,Z35227_at,Z49194_at,L20688_at,L06133_at,M61853_at,M21535_at,D45132_at,J02783_at
X95735_at,M23197_at,U05259_rna1_at,M31523_at,U23852_s_at,M92287_at,X69398_at,X75593_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X95735_at,M23197_at,U05259_rna1_at,M31523_at,U23852_s_at,X69398_at,X75593_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X95735_at,U05259_rna1_at,M31523_at,U23852_s_at,X69398_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X95735_at,M23197_at,U05259_rna1_at,X04145_at,U46499_at,M31523_at,U23852_s_at,M92287_at,M89957_at,L08895_at,AFFX-HSAC07/X00351_5_at,X90568_at,X69398_at,X69819_at,X69433_at,X98172_at,X98833_rna1_at,X69111_at,X75593_at,X77094_at,X71973_at,X70297_at,Z35227_at,Z49194_at,M61853_at,M21535_at,,,,,,,,,,,,,,,,,,,,,,,,,,
X95735_at,M23197_at,U05259_rna1_at,X04145_at,U46499_at,M31523_at,M27891_at,U23852_s_at,M92287_at,M89957_at,L08895_at,AFFX-HSAC07/X00351_5_at,X89750_at,X90568_at,X69398_at,X69819_at,X69433_at,X98172_at,X98833_rna1_at,X94612_at,X69111_at,X75593_at,X77094_at,X71973_at,X70297_at,X80907_at,Z35227_at,Z49194_at,L20688_at,M61853_at,M21535_at,,,,,,,,,,,,,,,,,,,,,
X95735_at,M23197_at,U05259_rna1_at,M31523_at,U23852_s_at,M92287_at,L08895_at,X69398_at,X69819_at,X75593_at,X71973_at,Z35227_at,Z49194_at,M61853_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X95735_at,M23197_at,U05259_rna1_at,M31523_at,U23852_s_at,M92287_at,L08895_at,X69398_at,X75593_at,X71973_at,Z35227_at,Z49194_at,M61853_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X95735_at,M23197_at,U05259_rna1_at,M31523_at,U23852_s_at,M92287_at,X69398_at,X75593_at,X71973_at,Z35227_at,Z49194_at,M61853_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
